,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067618183885,-6.500067618183885,0.5416723015153238,0.5416723015153238,0.0030029064251517633,0.0030029064251517633,5.668018739162974
1,1,0.7051921986328915,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067648532159,-6.500067648532159,0.5416723040443466,0.5416723040443466,0.003002906173245289,0.0030029064251517633,5.668018704204684
2,2,0.7051921837317303,2.7367789081695317,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067549948,-6.500067648532159,0.541672295829,0.5416723040443466,0.003002906513499797,0.003002906513499797,5.668018816069782
3,3,0.7051921837317303,2.7367788932683705,0.6573602031183963,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.50006760774067,-6.500067648532159,0.5416723006450558,0.5416723040443466,0.003002906129578329,0.003002906513499797,5.668018728156596
4,4,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.886715185707006,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067487187922,-6.500067648532159,0.5416722905989935,0.5416723040443466,0.0030029061646505003,0.003002906513499797,5.668018878156474
5,5,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395049056621057,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067602835292,-6.500067648532159,0.5416723002362743,0.5416723040443466,0.003002906121654182,0.003002906513499797,5.668018756148328
6,6,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.9257326018457281,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067642718091,-6.500067648532159,0.5416723035598409,0.5416723040443466,0.003002906239970883,0.003002906513499797,5.668018653277073
7,7,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511431581623,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.50006763706448,-6.500067648532159,0.5416723030887066,0.5416723040443466,0.003002906359338664,0.003002906513499797,5.668018709368106
8,8,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739772128728,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067585256127,-6.500067648532159,0.5416722987713439,0.5416723040443466,0.003002906319119482,0.003002906513499797,5.668018780486236
9,9,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582852190237,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067644179696,-6.500067648532159,0.5416723036816413,0.5416723040443466,0.003002906339104146,0.003002906513499797,5.668018697493764
10,10,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664354995865,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067621411309,-6.500067648532159,0.5416723017842757,0.5416723040443466,0.003002906771421296,0.003002906771421296,5.668018774845912
11,11,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284877900676235,2.322494206691365,1.3920007203823874,0.5057620187197105,-6.500067633074839,-6.500067648532159,0.5416723027562366,0.5416723040443466,0.0030029061753634686,0.003002906771421296,5.668018730135707
12,12,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.3224942215925264,1.3920007203823874,0.5057620187197105,-6.500067585388407,-6.500067648532159,0.5416722987823672,0.5416723040443466,0.0030029067186955445,0.003002906771421296,5.668018839467152
13,13,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007352835486,0.5057620187197105,-6.500067665229827,-6.500067665229827,0.5416723054358189,0.5416723054358189,0.0030029063336600085,0.003002906771421296,5.668018633233494
14,14,0.7051921837317303,2.7367788932683705,0.6573601882172351,2.8867151708058447,1.5395048907609445,1.925732586944567,2.408511416680462,1.6334739623117116,0.9394582703178626,0.5978664205984253,0.26284876410560115,2.322494206691365,1.3920007203823874,0.5057620336208717,-6.500067631798433,-6.500067665229827,0.5416723026498694,0.5416723054358189,0.003002906325612208,0.003002906771421296,5.668018677928401
15,15,0.8836338433559621,2.335565809856394,0.5959562137546037,2.1164856340083658,1.4492582978449406,2.069988711028414,2.519525462144369,1.4398654620092424,1.092308333927996,0.6168430132143927,0.35040453677161026,2.1296634855916454,1.6686212617066294,0.5858127813883609,-6.807733617112791,-6.807733617112791,0.5673111347593992,0.5673111347593992,0.016826485827118154,0.016826485827118154,4.941542569751789
16,16,0.8836338582571233,2.335565809856394,0.5959562137546037,2.1164856340083658,1.4492582978449406,2.069988711028414,2.519525462144369,1.4398654620092424,1.092308333927996,0.6168430132143927,0.35040453677161026,2.1296634855916454,1.6686212617066294,0.5858127813883609,-6.807733614010666,-6.807733617112791,0.5673111345008889,0.5673111347593992,0.016826484857007582,0.016826485827118154,4.941542562045477
17,17,0.8836338433559621,2.335565824757555,0.5959562137546037,2.1164856340083658,1.4492582978449406,2.069988711028414,2.519525462144369,1.4398654620092424,1.092308333927996,0.6168430132143927,0.35040453677161026,2.1296634855916454,1.6686212617066294,0.5858127813883609,-6.807733614403802,-6.807733617112791,0.5673111345336502,0.5673111347593992,0.016826486394962696,0.016826486394962696,4.941542623413071
18,18,0.8836338433559621,2.335565809856394,0.5959562286557649,2.1164856340083658,1.4492582978449406,2.069988711028414,2.519525462144369,1.4398654620092424,1.092308333927996,0.6168430132143927,0.35040453677161026,2.1296634855916454,1.6686212617066294,0.5858127813883609,-6.807733628860164,-6.807733628860164,0.567311135738347,0.567311135738347,0.01682648634135348,0.016826486394962696,4.94154256350933
19,19,0.8836338433559621,2.335565809856394,0.5959562137546037,2.116485648909527,1.4492582978449406,2.069988711028414,2.519525462144369,1.4398654620092424,1.092308333927996,0.6168430132143927,0.35040453677161026,2.1296634855916454,1.6686212617066294,0.5858127813883609,-6.807733608817636,-6.807733628860164,0.5673111340681364,0.567311135738347,0.016826485797374016,0.016826486394962696,4.941542617566718
