,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.3753584325504997,0.09119039712749037,1.731318977678928,1.3732524066665275,1.3264207208228689,1.0444740986806316,-6.9831274730200805,-6.9831274730200805,0.58192728941834,0.58192728941834,0.0019543885804966746,0.0019543885804966746,5.216970903084125
1,1,1.375358447451661,0.09119039712749037,1.731318977678928,1.3732524066665275,1.3264207208228689,1.0444740986806316,-6.9831275229126,-6.9831275229126,0.58192729357605,0.58192729357605,0.0019543886664737586,0.0019543886664737586,5.216970869368566
2,2,1.3753584325504997,0.09119041202865157,1.731318977678928,1.3732524066665275,1.3264207208228689,1.0444740986806316,-6.983127514815281,-6.9831275229126,0.5819272929012734,0.58192729357605,0.001954388989939773,0.001954388989939773,5.216970837328887
3,3,1.3753584325504997,0.09119039712749037,1.7313189925800891,1.3732524066665275,1.3264207208228689,1.0444740986806316,-6.983127502365115,-6.9831275229126,0.5819272918637596,0.58192729357605,0.001954388582969077,0.001954388989939773,5.216970886339503
4,4,1.3753584325504997,0.09119039712749037,1.731318977678928,1.3732524215676887,1.3264207208228689,1.0444740986806316,-6.9831274889679475,-6.9831275229126,0.581927290747329,0.58192729357605,0.0019543885505311693,0.001954388989939773,5.21697094891897
5,5,1.3753584325504997,0.09119039712749037,1.731318977678928,1.3732524066665275,1.32642073572403,1.0444740986806316,-6.983127521686149,-6.9831275229126,0.5819272934738458,0.58192729357605,0.001954388610438122,0.001954388989939773,5.2169708162215045
6,6,1.3753584325504997,0.09119039712749037,1.731318977678928,1.3732524066665275,1.3264207208228689,1.0444741135817928,-6.983127475737639,-6.9831275229126,0.5819272896448032,0.58192729357605,0.001954388691442356,0.001954388989939773,5.21697080120348
7,7,1.9486054747702135,0.5714021633842292,2.0684828374181468,1.5564876432079455,1.885576284359888,1.0756978664848946,-7.353325514241449,-7.353325514241449,0.6127771261867875,0.6127771261867875,0.024944570332230298,0.024944570332230298,5.1232789819681415
8,8,1.9486054896713747,0.5714021633842292,2.0684828374181468,1.5564876432079455,1.885576284359888,1.0756978664848946,-7.3533254919220274,-7.353325514241449,0.6127771243268356,0.6127771261867875,0.024944570628717525,0.024944570628717525,5.123279068490746
9,9,1.9486054747702135,0.5714021782853904,2.0684828374181468,1.5564876432079455,1.885576284359888,1.0756978664848946,-7.35332549506405,-7.353325514241449,0.6127771245886708,0.6127771261867875,0.02494457221404217,0.02494457221404217,5.123279147299002
10,10,1.9486054747702135,0.5714021633842292,2.068482852319308,1.5564876432079455,1.885576284359888,1.0756978664848946,-7.353325478621347,-7.353325514241449,0.6127771232184456,0.6127771261867875,0.024944568876656227,0.02494457221404217,5.123278976701208
11,11,1.9486054747702135,0.5714021633842292,2.0684828374181468,1.5564876581091067,1.885576284359888,1.0756978664848946,-7.35332545869938,-7.353325514241449,0.6127771215582817,0.6127771261867875,0.02494457189011436,0.02494457221404217,5.123279211301536
12,12,1.9486054747702135,0.5714021633842292,2.0684828374181468,1.5564876432079455,1.8855762992610492,1.0756978664848946,-7.353325479105513,-7.353325514241449,0.6127771232587927,0.6127771261867875,0.024944568845372207,0.02494457221404217,5.123278974993383
13,13,1.9486054747702135,0.5714021633842292,2.0684828374181468,1.5564876432079455,1.885576284359888,1.0756978813860558,-7.353325458242746,-7.353325514241449,0.6127771215202288,0.6127771261867875,0.02494456922458916,0.02494457221404217,5.1232790062274205
