,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,2.432641316997888,2.0638408181846515,1.7565103908399993,0.5681978305135225,0.7634096189370206,1.5947569690414034,1.2524459157988412,1.5227320700115707,3.0029878650948394,2.8334508034560417,-7.865932832636661,-7.865932832636661,0.6554944027197217,0.6554944027197217,0.043811384999817425,0.043811384999817425,4.98579564385475
1,1,2.4326413318990494,2.0638408181846515,1.7565103908399993,0.5681978305135225,0.7634096189370206,1.5947569690414034,1.2524459157988412,1.5227320700115707,3.0029878650948394,2.8334508034560417,-7.865932823956883,-7.865932832636661,0.655494401996407,0.6554944027197217,0.043811384386122254,0.043811384999817425,4.985795660712341
2,2,2.432641316997888,2.0638408330858127,1.7565103908399993,0.5681978305135225,0.7634096189370206,1.5947569690414034,1.2524459157988412,1.5227320700115707,3.0029878650948394,2.8334508034560417,-7.865932800860711,-7.865932832636661,0.6554944000717259,0.6554944027197217,0.04381138553413075,0.04381138553413075,4.985795768448412
3,3,2.432641316997888,2.0638408181846515,1.7565104057411605,0.5681978305135225,0.7634096189370206,1.5947569690414034,1.2524459157988412,1.5227320700115707,3.0029878650948394,2.8334508034560417,-7.865932863209703,-7.865932863209703,0.6554944052674753,0.6554944052674753,0.043811386394228706,0.043811386394228706,4.985795624521188
4,4,2.432641316997888,2.0638408181846515,1.7565103908399993,0.5681978454146837,0.7634096189370206,1.5947569690414034,1.2524459157988412,1.5227320700115707,3.0029878650948394,2.8334508034560417,-7.865932841448098,-7.865932863209703,0.6554944034540081,0.6554944052674753,0.04381138821546687,0.04381138821546687,4.985795666748814
5,5,2.432641316997888,2.0638408181846515,1.7565103908399993,0.5681978305135225,0.7634096338381818,1.5947569690414034,1.2524459157988412,1.5227320700115707,3.0029878650948394,2.8334508034560417,-7.865932854204676,-7.865932863209703,0.6554944045170563,0.6554944052674753,0.04381138555110092,0.04381138821546687,4.985795586115209
6,6,2.432641316997888,2.0638408181846515,1.7565103908399993,0.5681978305135225,0.7634096189370206,1.5947569839425646,1.2524459157988412,1.5227320700115707,3.0029878650948394,2.8334508034560417,-7.865932821338409,-7.865932863209703,0.6554944017782007,0.6554944052674753,0.04381138624977761,0.04381138821546687,4.985795618855164
7,7,2.432641316997888,2.0638408181846515,1.7565103908399993,0.5681978305135225,0.7634096189370206,1.5947569690414034,1.2524459307000024,1.5227320700115707,3.0029878650948394,2.8334508034560417,-7.865932856137823,-7.865932863209703,0.6554944046781519,0.6554944052674753,0.043811385690552554,0.04381138821546687,4.985795582460121
8,8,2.432641316997888,2.0638408181846515,1.7565103908399993,0.5681978305135225,0.7634096189370206,1.5947569690414034,1.2524459157988412,1.522732084912732,3.0029878650948394,2.8334508034560417,-7.865932841888059,-7.865932863209703,0.6554944034906716,0.6554944052674753,0.043811386337746096,0.04381138821546687,4.985795713591735
9,9,2.432641316997888,2.0638408181846515,1.7565103908399993,0.5681978305135225,0.7634096189370206,1.5947569690414034,1.2524459157988412,1.5227320700115707,3.0029878799960006,2.8334508034560417,-7.865932859851409,-7.865932863209703,0.6554944049876174,0.6554944052674753,0.04381138578834094,0.04381138821546687,4.9857955714694455
10,10,2.432641316997888,2.0638408181846515,1.7565103908399993,0.5681978305135225,0.7634096189370206,1.5947569690414034,1.2524459157988412,1.5227320700115707,3.0029878650948394,2.833450818357203,-7.865932834308805,-7.865932863209703,0.6554944028590671,0.6554944052674753,0.043811384037421304,0.04381138821546687,4.985795549180608
11,11,2.29525312982369,1.5608740076856416,2.240436927161941,0.7076699891181134,1.10479974958126,1.4159221631010757,1.624434935621696,1.6691681670651632,3.4337575179049846,2.859918400453665,-7.900761858462539,-7.900761858462539,0.658396821538545,0.658396821538545,0.03404138326237449,0.04381138821546687,4.948094157955644
12,12,2.295253144724851,1.5608740076856416,2.240436927161941,0.7076699891181134,1.10479974958126,1.4159221631010757,1.624434935621696,1.6691681670651632,3.4337575179049846,2.859918400453665,-7.9007618466878835,-7.900761858462539,0.6583968205573236,0.658396821538545,0.03404138282815962,0.04381138821546687,4.9480941276334605
13,13,2.29525312982369,1.5608740225868027,2.240436927161941,0.7076699891181134,1.10479974958126,1.4159221631010757,1.624434935621696,1.6691681670651632,3.4337575179049846,2.859918400453665,-7.90076177093997,-7.900761858462539,0.6583968142449975,0.658396821538545,0.03404137966767877,0.04381138821546687,4.948094188100981
14,14,2.29525312982369,1.5608740076856416,2.240436942063102,0.7076699891181134,1.10479974958126,1.4159221631010757,1.624434935621696,1.6691681670651632,3.4337575179049846,2.859918400453665,-7.900761845317063,-7.900761858462539,0.6583968204430886,0.658396821538545,0.03404138281891728,0.04381138821546687,4.948094128857917
15,15,2.29525312982369,1.5608740076856416,2.240436927161941,0.7076700040192746,1.10479974958126,1.4159221631010757,1.624434935621696,1.6691681670651632,3.4337575179049846,2.859918400453665,-7.900761850979871,-7.900761858462539,0.6583968209149892,0.658396821538545,0.0340413847989159,0.04381138821546687,4.948094204355506
16,16,2.29525312982369,1.5608740076856416,2.240436927161941,0.7076699891181134,1.1047997644824212,1.4159221631010757,1.624434935621696,1.6691681670651632,3.4337575179049846,2.859918400453665,-7.900761861519729,-7.900761861519729,0.6583968217933107,0.6583968217933107,0.034041383001236894,0.04381138821546687,4.9480941897896145
17,17,2.29525312982369,1.5608740076856416,2.240436927161941,0.7076699891181134,1.10479974958126,1.4159221780022369,1.624434935621696,1.6691681670651632,3.4337575179049846,2.859918400453665,-7.900761879162636,-7.900761879162636,0.658396823263553,0.658396823263553,0.03404138393868742,0.04381138821546687,4.948094183785486
18,18,2.29525312982369,1.5608740076856416,2.240436927161941,0.7076699891181134,1.10479974958126,1.4159221631010757,1.6244349505228572,1.6691681670651632,3.4337575179049846,2.859918400453665,-7.9007618534813195,-7.900761879162636,0.6583968211234433,0.658396823263553,0.03404138301940402,0.04381138821546687,4.948094196225604
19,19,2.29525312982369,1.5608740076856416,2.240436927161941,0.7076699891181134,1.10479974958126,1.4159221631010757,1.624434935621696,1.6691681819663244,3.4337575179049846,2.859918400453665,-7.900761882212084,-7.900761882212084,0.6583968235176737,0.6583968235176737,0.03404138261069812,0.04381138821546687,4.94809414950538
20,20,2.29525312982369,1.5608740076856416,2.240436927161941,0.7076699891181134,1.10479974958126,1.4159221631010757,1.624434935621696,1.6691681670651632,3.433757532806146,2.859918400453665,-7.90076185586735,-7.900761882212084,0.6583968213222792,0.6583968235176737,0.034041383364420044,0.04381138821546687,4.948094187046806
21,21,2.29525312982369,1.5608740076856416,2.240436927161941,0.7076699891181134,1.10479974958126,1.4159221631010757,1.624434935621696,1.6691681670651632,3.4337575179049846,2.859918415354826,-7.900761844231737,-7.900761882212084,0.6583968203526448,0.6583968235176737,0.0340413845947984,0.04381138821546687,4.948094135744363
22,22,2.29258934854822,1.5485726194764584,2.2466844776923782,0.709258555280828,1.1099149234062415,1.414522724489577,1.6295314513136216,1.6726502232664144,3.4398415087516483,2.8594845223781635,-7.969501115233506,-7.969501115233506,0.6641250929361254,0.6641250929361254,0.036746338672847434,0.04381138821546687,4.95667160171363
23,23,2.2925893634493812,1.5485726194764584,2.2466844776923782,0.709258555280828,1.1099149234062415,1.414522724489577,1.6295314513136216,1.6726502232664144,3.4398415087516483,2.8594845223781635,-7.969501105223599,-7.969501115233506,0.6641250921019666,0.6641250929361254,0.036746338261408995,0.04381138821546687,4.956671566128193
24,24,2.29258934854822,1.5485726343776196,2.2466844776923782,0.709258555280828,1.1099149234062415,1.414522724489577,1.6295314513136216,1.6726502232664144,3.4398415087516483,2.8594845223781635,-7.96950103120736,-7.969501115233506,0.6641250859339467,0.6641250929361254,0.03674633492373647,0.04381138821546687,4.956671624643683
25,25,2.29258934854822,1.5485726194764584,2.2466844925935394,0.709258555280828,1.1099149234062415,1.414522724489577,1.6295314513136216,1.6726502232664144,3.4398415087516483,2.8594845223781635,-7.969501101980221,-7.969501115233506,0.6641250918316851,0.6641250929361254,0.036746338234524396,0.04381138821546687,4.956671569272231
26,26,2.29258934854822,1.5485726194764584,2.2466844776923782,0.7092585701819892,1.1099149234062415,1.414522724489577,1.6295314513136216,1.6726502232664144,3.4398415087516483,2.8594845223781635,-7.96950110383803,-7.969501115233506,0.6641250919865025,0.6641250929361254,0.03674634018684367,0.04381138821546687,4.956671654085191
27,27,2.29258934854822,1.5485726194764584,2.2466844776923782,0.709258555280828,1.1099149383074027,1.414522724489577,1.6295314513136216,1.6726502232664144,3.4398415087516483,2.8594845223781635,-7.969501118952754,-7.969501118952754,0.6641250932460628,0.6641250932460628,0.0367463384477178,0.04381138821546687,4.956671632496068
28,28,2.29258934854822,1.5485726194764584,2.2466844776923782,0.709258555280828,1.1099149234062415,1.4145227393907382,1.6295314513136216,1.6726502232664144,3.4398415087516483,2.8594845223781635,-7.96950114087653,-7.96950114087653,0.6641250950730442,0.6641250950730442,0.03674633945762945,0.04381138821546687,4.956671616259129
29,29,2.29258934854822,1.5485726194764584,2.2466844776923782,0.709258555280828,1.1099149234062415,1.414522724489577,1.6295314662147828,1.6726502232664144,3.4398415087516483,2.8594845223781635,-7.9695011106981,-7.96950114087653,0.664125092558175,0.6641250950730442,0.03674633846349869,0.04381138821546687,4.95667164098775
30,30,2.29258934854822,1.5485726194764584,2.2466844776923782,0.709258555280828,1.1099149234062415,1.414522724489577,1.6295314513136216,1.6726502381675756,3.4398415087516483,2.8594845223781635,-7.9695011409121275,-7.9695011409121275,0.6641250950760106,0.6641250950760106,0.03674633793618513,0.04381138821546687,4.956671587315455
31,31,2.29258934854822,1.5485726194764584,2.2466844776923782,0.709258555280828,1.1099149234062415,1.414522724489577,1.6295314513136216,1.6726502232664144,3.4398415236528095,2.8594845223781635,-7.969501112453062,-7.9695011409121275,0.6641250927044219,0.6641250950760106,0.03674633882027537,0.04381138821546687,4.956671632197924
