,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,2.4878829436410097,0.44422010295576464,0.303297982979152,0.7373863070461666,-10.331098119081117,-10.331098119081117,0.8609248432567598,0.8609248432567598,0.1048265125592982,0.1048265125592982,1.490132640471856
1,1,2.0533102017582077,1.4639994910984941,2.722894522957807,2.138378145264556,-7.618560345327315,-10.331098119081117,0.6348800287772762,0.8609248432567598,0.036639340939046056,0.1048265125592982,4.661718988492758
2,2,0.18109794660427636,2.5434033740682693,1.3919395130307,1.8481229070949674,-7.135237847655773,-10.331098119081117,0.5946031539713145,0.8609248432567598,0.004128727389607683,0.1048265125592982,3.5360441692348203
3,3,1.5091420711234549,1.0244880381194084,1.0898097640173452,2.5867161312742413,-7.0277145086465715,-10.331098119081117,0.5856428757205476,0.8609248432567598,0.020579939232723984,0.1048265125592982,6.044930784314687
4,4,0.5741279503635086,1.8802780364880554,1.508334765843371,2.001158383517404,-5.8443115005771915,-10.331098119081117,0.48702595838143264,0.8609248432567598,0.0004975555139676288,0.1048265125592982,5.0321829708356915
5,5,3.093915842502204,3.0694996634593084,0.17059441001391962,3.1178598053516207,-7.514459955947699,-10.331098119081117,0.626204996328975,0.8609248432567598,0.003968370988232068,0.1048265125592982,3.7364328182364375
6,6,0.010795278385105078,0.9276825924644359,2.7699965895749292,1.521535856787892,-8.003703785366652,-10.331098119081117,0.666975315447221,0.8609248432567598,0.0069481140837499775,0.1048265125592982,3.3254907526989257
7,7,2.918815942076166,0.7313729410905963,1.276344349993551,0.999480859709373,-7.685131760436274,-10.331098119081117,0.6404276467030229,0.8609248432567598,3.7861129142375554e-05,0.1048265125592982,4.54037557598987
8,8,2.239996397572305,2.0616146762734817,3.090230780372899,1.6900269749424037,-4.57496122639852,-10.331098119081117,0.38124676886654335,0.8609248432567598,0.00016701697391013898,0.1048265125592982,5.175948745921854
9,9,0.6207294024007107,2.3364467204268844,2.203256445368726,0.26159073689332746,-7.017114154257623,-10.331098119081117,0.5847595128548019,0.8609248432567598,0.0054807281212582186,0.1048265125592982,4.806531767461735
10,10,2.9611490692681133,2.676794787498463,2.0682987878683825,1.0355179700626138,-5.378265282549959,-10.331098119081117,0.4481887735458299,0.8609248432567598,0.00023614808430017642,0.1048265125592982,6.15639883102196
11,11,0.6586904255614622,1.6629217218343615,1.011822986252696,0.4396649924629983,-7.39361395803029,-10.331098119081117,0.6161344965025242,0.8609248432567598,0.001738703251636588,0.1048265125592982,3.7230481768791392
12,12,0.891799645088992,2.1979641591401395,0.8886610212806605,0.2812457013439644,-3.8245397821358167,-10.331098119081117,0.31871164851131806,0.8609248432567598,2.979873483105522e-05,0.1048265125592982,6.599462609366798
13,13,2.3429413757043673,0.18052838061138066,1.763809277024512,0.11403856856672845,-6.2389640612231725,-10.331098119081117,0.5199136717685977,0.8609248432567598,0.0004615400289465957,0.1048265125592982,5.454922698676889
