,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,BETA_7,GAMMA_7,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164606906852,-8.707164606906852,0.725597050575571,0.725597050575571,0.0305531776794411,0.0305531776794411,4.042371277702898
1,1,1.7348746802163686,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164593214898,-8.707164606906852,0.7255970494345748,0.725597050575571,0.03055317799232372,0.03055317799232372,4.042371281206911
2,2,1.7348746653152074,2.227630533867626,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.7071646300015,-8.7071646300015,0.7255970525001251,0.7255970525001251,0.0305531754783437,0.03055317799232372,4.042371104371867
3,3,1.7348746653152074,2.227630518966465,0.9209951581753946,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164667892657,-8.707164667892657,0.7255970556577215,0.7255970556577215,0.03055318021197813,0.03055318021197813,4.042371154319156
4,4,1.7348746653152074,2.227630518966465,0.9209951432742334,1.60970399058903,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164625813617,-8.707164667892657,0.7255970521511347,0.7255970556577215,0.030553176414650926,0.03055318021197813,4.0423712344182405
5,5,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346137181657,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164670354892,-8.707164670354892,0.7255970558629077,0.7255970558629077,0.030553180228551538,0.030553180228551538,4.042371151121969
6,6,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.816824867668419,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164579987735,-8.707164670354892,0.7255970483323112,0.7255970558629077,0.030553179013336068,0.030553180228551538,4.042371347254232
7,7,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.4032820505485042,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164619369543,-8.707164670354892,0.7255970516141286,0.7255970558629077,0.030553178768656635,0.030553180228551538,4.042371207605541
8,8,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002895875117,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164501427632,-8.707164670354892,0.725597041785636,0.7255970558629077,0.030553177103452425,0.030553180228551538,4.0423715043292106
9,9,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743306588524,1.3904368680063985,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164594785802,-8.707164670354892,0.7255970495654834,0.7255970558629077,0.030553178020517362,0.030553180228551538,4.042371251966884
10,10,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368829075597,0.10356012250441973,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164524870677,-8.707164670354892,0.7255970437392231,0.7255970558629077,0.030553177622963973,0.030553180228551538,4.042371439798913
11,11,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356013740558093,1.4406155694302147,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.707164621957894,-8.707164670354892,0.7255970518298245,0.7255970558629077,0.030553178610192307,0.030553180228551538,4.042371185565344
12,12,1.7348746653152074,2.227630518966465,0.9209951432742334,1.6097039756878688,2.806346122280496,2.8168248527672577,0.403282035647343,0.6590002746863505,0.1711743157576912,1.3904368680063985,0.10356012250441973,1.440615584331376,2.0428547306319276,0.8821087284585838,2.1277548829950645,1.8603416583004118,-8.70716453996148,-8.707164670354892,0.72559704499679,0.7255970558629077,0.030553177951072274,0.030553180228551538,4.04237140752187
