,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,BETA_7,GAMMA_7,BETA_8,GAMMA_8,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,noise_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,0.7809466431275928,1.7814571387439933,2.0865380318304685,0.20588213336816422,2.8323651058805948,2.630279898749874,1.6777848054631093,1.7856244788700555,1.6760330768791554,1.8504456535747544,2.499074634586211,1.6227102945726752,0.32037346143272627,2.2087639921406876,1.6299719321387278,1.9562187703383893,1.2475792719703018,3.0766311253778107,-6.427669232554336,-6.427669232554336,0.5356391027128613,0.5356391027128613,0.00291428479627241,0.00291428479627241,5.1332868114479595,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,0.37017523403033675,0.500878773228499,0.7529803989221667,1.224343195257942,1.83060264748703,0.4805944764772458,2.2774401276094527,0.780416510565682,1.229166574549726,2.2440199268599406,1.53206084527182,1.1249541610839924,0.4525411807377865,0.8495331723667948,2.0711973220443953,0.6717166477301719,2.999375850907797,1.0937668318368365,-6.872011157063259,-6.872011157063259,0.5726675964219382,0.5726675964219382,0.0018996542557046126,0.00291428479627241,6.412754608238693,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,1.8981971875895804,3.0551659773327815,0.356106692828597,0.5230001214612363,0.22544072958520434,1.9261309808104188,2.8079224746903577,2.8701915722925744,0.06393616608451579,1.2956080844500717,0.9307642541087477,1.5010121422406264,1.959368320833359,0.18635561278234503,1.2609731965833535,0.419418279023155,2.2648188393162156,1.270896655776179,-5.821073001765309,-6.872011157063259,0.48508941681377576,0.5726675964219382,0.0004505508230602147,0.00291428479627241,4.904087291339394,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,1.5286144587133728,2.1232128226608755,0.9991571965317763,3.112841775880833,0.8635874263927666,1.4343226494556545,2.0711069239222333,2.3453119642601448,2.869556128097358,0.43863256268193557,1.68414940778941,2.956132982296491,1.1966141177966347,2.0612999412910904,1.2665395297754811,0.03842533303947176,0.08282693686662516,0.4691911725510494,-7.162049580693587,-7.162049580693587,0.5968374650577989,0.5968374650577989,0.001178634011772843,0.00291428479627241,6.704072844966696,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,0.05106589893124855,2.630866698577293,3.01709015428152,0.7846559170347311,2.766245118985396,0.7700938614401776,1.1644226347475843,0.39161609220716626,1.3166506391688066,1.89089833546349,1.940635289098081,0.3046003947751544,0.7226484990991647,0.3832296313021577,2.555282655092896,1.1086653684629408,2.053078727272719,2.662204186951254,-6.730687738299503,-7.162049580693587,0.5608906448582919,0.5968374650577989,0.005047545366393875,0.005047545366393875,5.089791781915466,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,3.0930738621228286,2.215594682079373,0.014069732474541302,2.4329185269333684,0.3365198481947836,0.2579538373552968,1.5492580440661594,1.972810326535511,1.946449708622715,0.8869309544109504,0.3376405802359578,2.703253398377969,2.4570678062533555,1.794827912879924,0.6009906883821735,1.3340934559601731,0.5469701733905149,0.10604716976883413,-6.289964000068889,-7.162049580693587,0.5241636666724074,0.5968374650577989,0.0012180634714579084,0.005047545366393875,4.950994135116986,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,1.1183006745195148,0.28402280223632176,2.6445320350412085,1.8992349050651531,2.457380211594317,0.9611979215018188,0.28618442564659075,2.6479197625916404,0.5819611905737152,0.0112613553441606,2.969421046518085,0.6764899954551344,1.3542350373623842,2.687962020827136,0.24185924213506718,2.2421665238604924,1.6117237049719784,2.269746784374049,-7.2225986761056875,-7.2225986761056875,0.6018832230088073,0.6018832230088073,0.004304918008481802,0.005047545366393875,4.016148177733484,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,1.6362778389217238,1.2495667202707874,1.507207298751946,1.4021375255685509,1.238034689989388,2.330432400737171,0.3396768347731315,1.151843814641944,2.612235780908054,2.7652076399448666,1.0132145087480884,2.234545006320772,1.6336573067934306,1.4377731351963678,3.0325363854815546,3.1153663249250103,0.6839245606410308,0.6664381041036046,-7.410924847219143,-7.410924847219143,0.6175770706015953,0.6175770706015953,0.019615244527821644,0.019615244527821644,3.7102218865747787,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,2.653539722744868,1.3365030778314129,2.443908031545216,2.5917000885544845,1.4975799955663252,2.9132792739432145,3.1378435598840144,1.4553248447330092,2.4406824282074027,1.2499788433084753,0.24189903578696786,0.3486648652562598,3.046849654174095,3.1051322371456083,2.3064579489185015,2.5865883041645668,1.4678218091086408,1.599838843468361,-9.356992983659111,-9.356992983659111,0.7797494153049259,0.7797494153049259,0.1259707423590837,0.1259707423590837,3.812071309733625,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,2.2969615959875056,0.7811402772836324,1.608178925453465,1.635612466730054,2.0128862334073054,1.810264146895635,0.7858524687975695,0.12882157193605256,0.6686119282036987,2.8475739071198998,2.8092053134885036,2.037162197575137,2.5349419651858884,1.1276592498026476,0.713419808575233,1.8170062769751405,2.5556241293170876,2.1475089835892733,-6.903024872244426,-9.356992983659111,0.5752520726870355,0.7797494153049259,0.024310949730906195,0.1259707423590837,6.598924483067677,16.265311269351216,51.05882064428797,0.08686159183036601,0.0,0.0,0,0.0,0.0,0.0,0.0
