,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,0.5960555804717012,2.672079899619066,-9.405108213416073,-9.405108213416073,0.7837590177846727,0.7837590177846727,0.05588047314863021,0.05588047314863021,2.9964030755319726,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,1.7005908083659125,3.1326084248041575,-7.504444324368949,-9.405108213416073,0.6253703603640791,0.7837590177846727,0.004071900620917912,0.05588047314863021,3.852080785430161,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,1.5294719028211903,1.2851184447465207,-7.508645942287463,-9.405108213416073,0.6257204951906219,0.7837590177846727,0.016560581009843103,0.05588047314863021,5.93607004012717,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,2.180062001618251,2.4746342082152166,-7.170289997304925,-9.405108213416073,0.5975241664420771,0.7837590177846727,0.019486786132363966,0.05588047314863021,5.801975829846995,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,0.965659219684048,0.4415699216590408,-4.757660097097179,-9.405108213416073,0.39647167475809825,0.7837590177846727,0.00020792720083047156,0.05588047314863021,5.998791914266992,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,0.8339241805272016,0.16301274181915718,-5.82564759121824,-9.405108213416073,0.48547063260151996,0.7837590177846727,0.00019299571779361226,0.05588047314863021,4.171824100725864,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,2.6208579761722763,1.1764215549453114,-9.74520070119178,-9.74520070119178,0.8121000584326484,0.8121000584326484,0.05017820767518205,0.05588047314863021,1.8829883940560848,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,3.098386673247783,1.6421736916652179,-7.408706418962646,-9.74520070119178,0.6173922015802206,0.8121000584326484,0.0034954722862167932,0.05588047314863021,3.8210217328357032,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,0.11322963731582922,2.0416575886395343,-6.65452611712954,-9.74520070119178,0.5545438430941283,0.8121000584326484,0.0013296296996146053,0.05588047314863021,4.327678454493345,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,2.2595055405916655,0.7775297882508165,-5.982154669438494,-9.74520070119178,0.4985128891198745,0.8121000584326484,0.006857373627717751,0.05588047314863021,6.8367963759165065,0.5896351317261362,31.944934633708762,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1,0.8455143762643742,2.684154512916098,-8.958748301176989,-9.74520070119178,0.7465623584314157,0.8121000584326484,0.05659734612952835,0.05659734612952835,3.9425896936021303,0.6058993027819375,31.957278783789825,0.0009760440039852514,0.005495489900566317,12,0.20992636680603027,0.6009426116943359,0.4681968688964844,1.279109001159668
11,2,2.571979007191766,1.353482982681384,-9.471573378632572,-9.74520070119178,0.7892977815527144,0.8121000584326484,0.030403630662431527,0.05659734612952835,1.8742462621212894,0.6146222615230168,31.821105291860995,0.0005600001355533814,0.0028335293905482764,14,0.154205322265625,0.6098983287811279,0.5053243637084961,1.2694730758666992
12,3,2.7258764476567956,1.1901557665187157,-9.642180947261357,-9.74520070119178,0.8035150789384464,0.8121000584326484,0.03908246554531874,0.05659734612952835,1.6766945363196442,0.6243773247868617,31.065700652946305,0.0008009452330694209,0.003175979159544609,11,0.12351751327514648,0.6086351871490479,0.5371301174163818,1.2693188190460205
13,4,0.5114649337210934,2.8241391345397604,-9.781495593096281,-9.781495593096281,0.8151246327580234,0.8151246327580234,0.04287577012845745,0.05659734612952835,1.502406387652158,0.6570030967138666,32.159326297787175,0.00044159168962280956,0.001988481383957565,12,0.1292567253112793,0.595426082611084,0.45951342582702637,1.1842331886291504
14,5,0.4427377477631133,3.0127839590485666,-8.734278749914337,-9.781495593096281,0.7278565624928613,0.8151246327580234,0.014450576160261856,0.05659734612952835,2.57099001306581,0.5389247051261375,27.333019282449897,0.000933933746993972,0.00593948475562671,13,0.1440141201019287,0.8113076686859131,0.4507315158843994,1.4061024188995361
15,6,0.4976055457286375,2.789707617401533,-9.785525934053032,-9.785525934053032,0.8154604945044194,0.8154604945044194,0.04534377730504961,0.05659734612952835,1.574597316458096,0.5555475134332866,27.11197938950886,0.0004643071383916205,0.0016482076694585195,15,0.2408292293548584,0.5999820232391357,0.767711877822876,1.608565092086792
