,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,noise_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,1.4938700630243862,0.8560025288892094,0.6944954613160622,0.9206934671631326,0.7615507562239967,1.0344815820899849,-7.367451504681872,-7.367451504681872,0.6139542920568227,0.6139542920568227,0.0004956152827912578,0.0004956152827912578,5.288204058952331,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,1.203794099340268,1.8716859148512268,0.23705006010930152,0.11727802539779983,0.14708056346608092,0.9024844079421334,-6.197599605222479,-7.367451504681872,0.5164666337685399,0.6139542920568227,0.004981703107690951,0.004981703107690951,6.8939362353645635,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,0.8139954554568366,1.9925182071845093,2.3828751851855254,2.003827296199406,0.9596755292711331,1.6750475142068317,-5.734078707972247,-7.367451504681872,0.4778398923310206,0.6139542920568227,0.017049055470724814,0.017049055470724814,8.647441636223554,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,2.7057924432071396,3.082952776419666,2.7200926003572663,1.7289105473208557,2.862502169629582,2.2723990884081733,-6.068280876444645,-7.367451504681872,0.5056900730370538,0.6139542920568227,0.000755993556112279,0.017049055470724814,6.130972055761809,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,0.22352870963381213,2.5390063038883808,0.48884873695087894,1.045380052075571,1.855382630197437,2.79569460427394,-8.153105919955014,-8.153105919955014,0.6794254933295845,0.6794254933295845,0.07619188910592686,0.07619188910592686,6.078403711501835,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,3.078363465650964,2.238300512812619,2.9287033957286672,2.5624871650115573,2.6266221995957326,1.4484838082015477,-7.878956526753004,-8.153105919955014,0.6565797105627503,0.6794254933295845,0.007596840878297281,0.07619188910592686,3.6586233550318283,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,0.47454728294530646,0.13731692930649136,1.6189753573474397,2.3780520649869756,0.3569052733569898,0.13096811979046313,-7.142173681635821,-8.153105919955014,0.5951811401363184,0.6794254933295845,0.0050432600541609925,0.07619188910592686,4.981330289770433,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,2.2555535677932763,1.4198254585294199,1.3589278573832495,1.469627389531666,2.351545532674334,3.0738802953048516,-7.3408335279151276,-8.153105919955014,0.6117361273262606,0.6794254933295845,0.0049477135561773605,0.07619188910592686,4.588125765985907,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,2.1705785914857456,1.250547820470044,1.0428150790917607,2.9986571756671827,1.9209810915214864,1.940569498691263,-8.145503847166758,-8.153105919955014,0.6787919872638964,0.6794254933295845,0.040562607111729175,0.07619188910592686,5.372497200800865,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,1.768359482746546,0.33140200250143625,2.016705153076595,0.3964750746875956,1.448279640635102,0.574886105200439,-8.061000115438691,-8.153105919955014,0.671750009619891,0.6794254933295845,0.04388115640018552,0.07619188910592686,5.005536055067523,100.00000000000004,49.09726950205274,0.8719026976295201,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1,3.141592653589793,0.01,0.01,3.141592653589793,3.141592653589793,3.141592653589793,-7.497635550969499,-8.153105919955014,0.6248029625807916,0.6794254933295845,0.003905399377775479,0.07619188910592686,3.752673543539842,100.00000000000004,49.17653800822135,0.7920710715750965,4.1893132555529657e-05,0.009116915328529129,88,36.76832723617554,49.93753790855408,3.8100101947784424,90.5159797668457
11,2,3.141592653589793,0.01,0.01,3.141592653589793,3.141592653589793,3.141592653589793,-7.501359098013565,-8.153105919955014,0.6251132581677971,0.6794254933295845,0.003917818159328928,0.07619188910592686,3.748750349359817,3.061088980136279,27.970337710684767,9.999999999999997e-06,0.00011069692362220512,0.008677783224407024,74,26.107264518737793,66.94966864585876,5.996494770050049,99.05352139472961
12,3,2.8365509365137758,0.08586516011602709,1.9974258288712496,2.550049490150662,3.141592653589793,0.01,-7.396770304029787,-8.153105919955014,0.6163975253358156,0.6794254933295845,0.0003603234728011557,0.07619188910592686,5.0875971412900896,2.472662250232479,21.463955304804564,9.999999999999997e-06,5.586585872405e-05,0.009966385101284185,52,15.013355255126953,80.65492820739746,7.8206000328063965,103.48896956443787
13,4,0.01,1.5052951114087765,0.01,1.1750594229321494,2.6610896879300543,2.7104858765542494,-9.614020351934338,-9.614020351934338,0.8011683626611948,0.8011683626611948,0.05132216586831495,0.07619188910592686,2.248014961316912,2.6257963677283747,22.984370227710343,9.999999999999997e-06,8.053715021926695e-05,0.008621491715520355,56,16.741502046585083,74.48109722137451,6.731322765350342,97.95406937599182
14,5,0.01,0.846638050377521,0.01,1.1002497217441083,3.141592653589793,2.5106729326110844,-7.508584001403749,-9.614020351934338,0.6257153334503124,0.8011683626611948,0.004011159850951299,0.07619188910592686,3.7463631841490397,100.00000000000004,54.07644822685328,0.9362373095643579,0.00022839102369676958,0.009271704210323658,62,27.7461199760437,103.52822422981262,12.55618166923523,143.8306803703308
