,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.5849354562980793,1.206606153304834,2.894348629201055,2.8444685567556824,1.6859903814330977,2.117393069279874,2.1461851989997824,0.11631949738074554,2.410910397260159,0.05296350912845238,2.453145175657558,1.9408926278853142,-7.0564311829308854,-7.0564311829308854,0.5880359319109071,0.5880359319109071,0.0075870777089594625,0.0075870777089594625,4.918092011485037
1,1,0.6727000117645109,2.339799791591453,0.31916351603005544,0.4951556293802133,2.218802209938816,1.2176936057396044,3.027183785141103,2.0083761691587405,2.241938290266695,0.8385847354183663,2.2121344701329875,1.846904318561892,-7.278238728559899,-7.278238728559899,0.6065198940466582,0.6065198940466582,0.011775956953900343,0.011775956953900343,4.332813578707665
2,2,1.0146024202378794,0.6162692559631588,3.0903473728898714,1.7318410677382972,0.26538455913399117,2.487087811999234,0.027820616130125986,1.3135834795692047,2.1463724917175027,0.5104291091477045,0.9147601496282558,1.4040238906989215,-6.9326135723604505,-7.278238728559899,0.5777177976967042,0.6065198940466582,0.007291550145040548,0.011775956953900343,6.142484831932691
3,3,2.199185170832338,1.2195921522165603,2.0789648480525322,2.760413750435372,2.5372121616921444,2.6590444253104017,0.867447371653818,2.4531009434137507,0.7444517604459363,2.5477381965724173,2.916432138179577,0.587645801560146,-6.253605568786386,-7.278238728559899,0.5211337973988656,0.6065198940466582,0.01794605360613355,0.01794605360613355,5.629955948048682
4,4,1.6070218059388381,1.9268289712085667,0.710336010094876,0.13894130268950233,2.6969999086228373,1.9088562490789154,1.9596635639840474,1.4820689970682084,0.07898055334545195,1.4738902662021045,1.3447370260751526,2.891679200709863,-9.682324684177797,-9.682324684177797,0.8068603903481497,0.8068603903481497,0.08245941256753755,0.08245941256753755,3.0068219952412676
5,5,0.372675535569688,1.8339446428168844,0.32316592685446954,1.1301325441263839,1.7082453728345188,2.1890085051680312,2.178053164043675,2.7490805135137997,3.004159496849417,2.185735992961192,0.7594893783910793,1.9561503941042395,-7.218641509135847,-9.682324684177797,0.601553459094654,0.8068603903481497,0.001884459586042627,0.08245941256753755,4.790440757660633
6,6,1.4761500305526838,1.8112759473350466,0.4276606532699405,1.4740694921140685,3.1363024085367193,0.03067572558268128,2.277925425029428,1.8834502588717479,0.17290544630459226,1.115015776008026,2.1777833643609252,0.47037302712547713,-7.908839161330347,-9.682324684177797,0.6590699301108622,0.8068603903481497,0.0063253757196058275,0.08245941256753755,3.577041727675521
7,7,0.25590594229615804,1.4038711070282777,0.9696000548060871,2.517869379276428,1.1800879593074827,2.742173913919512,0.9170438026482202,3.095405093609167,2.1191476363950006,2.6236100792591177,2.8355318542676087,0.540884393203783,-6.65127771427478,-9.682324684177797,0.5542731428562316,0.8068603903481497,0.025116861217149292,0.08245941256753755,5.966552573366819
8,8,2.5121988166780507,2.284193704560747,2.843698107646536,1.4082769021014265,0.04410350878310609,1.1342888300021163,0.8256611742290081,1.7216236797687345,2.1620957940509804,2.1497141832273994,0.4967096808127478,1.9698739406946788,-9.358645818009458,-9.682324684177797,0.7798871515007882,0.8068603903481497,0.08496918011230571,0.08496918011230571,3.4335191532097156
9,9,2.4556435468049704,2.290637737676842,0.34578495042457,1.7635251394576963,2.4664237517820577,0.4700180915941743,0.7412577636387342,2.5474219583972975,1.4114510358173524,0.7675855772484174,0.7917764631888866,2.131705602820275,-6.958002144224832,-9.682324684177797,0.579833512018736,0.8068603903481497,0.023084756060677874,0.08496918011230571,5.572552091409754
10,10,0.900987034549134,1.7399788287710667,2.48867399816666,2.6730593101673925,1.0206439101091636,1.8995148287370975,0.2752394779687872,0.45009310949826187,1.5423584076699022,2.2962553949371696,2.3831633537760872,0.7984335824994719,-6.820285575366519,-9.682324684177797,0.5683571312805432,0.8068603903481497,0.030647407546920247,0.08496918011230571,5.6413781741842115
11,11,2.884298370452922,2.4388195230742173,1.5713128962827605,0.7217133023776088,1.3963950631039679,1.8309234894594073,1.170521166039246,3.0260904863361677,0.8040262554698239,1.9048376827569315,1.551366060937085,1.9833008148656026,-7.374461332918539,-9.682324684177797,0.6145384444098783,0.8068603903481497,0.017556358558068946,0.08496918011230571,5.095578870146149
12,12,0.19812469658822485,1.0361786788780174,2.3968735860183177,0.6958884893647812,0.6543429949740844,2.9581485201877427,2.1244290803986816,0.5923334159109428,2.0706427784542334,2.696858217701351,1.7922382095512395,0.2642820794810794,-6.664199100900542,-9.682324684177797,0.5553499250750452,0.8068603903481497,0.0006376224425403092,0.08496918011230571,6.801429281002527
13,13,1.5540500183396095,0.459889788914817,1.4612457807133357,2.0544057091354513,1.7343222604981872,2.3766571175299394,0.7681478420824525,1.3290020774184603,1.510570889055815,1.782114526466598,1.8499452888312717,2.704177187961929,-7.279831544647893,-9.682324684177797,0.6066526287206577,0.8068603903481497,0.008005441171058045,0.08496918011230571,4.994846013150536
14,14,0.5103023723849227,0.22824125489324065,3.0537106060054606,2.961745833809103,2.3351434686410464,0.36256709975591495,0.06413225500459419,0.17043293148086414,0.8437464200295293,0.7470879550454372,2.741289209529411,1.420037341939874,-6.143519890005216,-9.682324684177797,0.511959990833768,0.8068603903481497,0.003278063081550224,0.08496918011230571,6.85951818487402
15,15,2.1829947598872406,2.6755432934285968,0.030279025961486905,0.373420084270768,1.4352216692208377,0.6005112902959918,1.8354251900132343,0.7160685585460594,1.7424297371688275,1.649130039468249,2.954600231613968,0.20558290681390767,-7.339646501233388,-9.682324684177797,0.6116372084361157,0.8068603903481497,0.01631023702737026,0.08496918011230571,4.912961316502667
16,16,0.09064470800095603,2.244323192863491,0.2559427622746058,1.3591989527449673,0.4376905272825389,2.5143966049553903,0.9998903056665115,2.3881958200974616,1.4919745100701405,2.4345074723393325,0.5604319485924218,2.540895478064319,-6.5901211918620195,-9.682324684177797,0.5491767659885016,0.8068603903481497,0.002937437451635102,0.08496918011230571,6.804437757932561
