,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.7323229749861357,0.6477432747148685,-7.259822247138099,-7.259822247138099,0.6049851872615083,0.6049851872615083,0.001717472934026187,0.001717472934026187,5.317372734784527
1,1,3.0602129508001923,1.3033916422697858,-8.020930272015617,-8.020930272015617,0.6684108560013015,0.6684108560013015,0.0070226844815401,0.0070226844815401,3.2778976634202905
2,2,0.10036889470573729,0.22288799763556288,-6.9100788461349945,-8.020930272015617,0.5758399038445828,0.6684108560013015,0.001797111001130006,0.0070226844815401,4.14260020142784
3,3,2.52547589969714,0.09424813924875552,-6.390455244531243,-8.020930272015617,0.5325379370442702,0.6684108560013015,0.000698908887624156,0.0070226844815401,4.210189732963421
4,4,2.027765099647504,1.8513231835594186,-6.053070741857676,-8.020930272015617,0.5044225618214729,0.6684108560013015,0.0010395214915495574,0.0070226844815401,4.321725281309092
5,5,0.7349677095390824,3.025509232295347,-8.660894854626338,-8.660894854626338,0.7217412378855282,0.7217412378855282,0.01497413318981283,0.01497413318981283,3.0368039459630722
6,6,2.352835759379861,1.5788401263867917,-7.414598083398779,-8.660894854626338,0.617883173616565,0.7217412378855282,0.0034806831068616884,0.01497413318981283,3.7830274149021434
7,7,2.979989034315998,1.990691291505849,-6.247561272750826,-8.660894854626338,0.5206301060625688,0.7217412378855282,0.000688293481683625,0.01497413318981283,4.475036290906921
8,8,2.89142778132799,2.013741711963652,-5.585100853509402,-8.660894854626338,0.4654250711257835,0.7217412378855282,0.00022520225861295262,0.01497413318981283,4.6520250301145545
9,9,1.005611095364773,2.5912175984867516,-7.991634256706239,-8.660894854626338,0.6659695213921866,0.7217412378855282,0.03476902908645774,0.03476902908645774,4.888829889207287
10,10,2.667620304228631,2.9144320487544335,-9.446759456622468,-9.446759456622468,0.787229954718539,0.787229954718539,0.028342683876472957,0.03476902908645774,1.7266400302804357
11,11,2.169133572166415,3.048357066182299,-8.17171182775666,-9.446759456622468,0.6809759856463883,0.787229954718539,0.010226946127206912,0.03476902908645774,3.8300269230155095
12,12,1.4773423107697954,2.284767974233012,-7.430928397426106,-9.446759456622468,0.6192440331188421,0.787229954718539,0.0068923013086386485,0.03476902908645774,5.000327112976841
13,13,0.34406064312281925,1.47958658827605,-8.280032360227532,-9.446759456622468,0.6900026966856276,0.787229954718539,0.009198725347091657,0.03476902908645774,3.0354770391317203
14,14,1.7877796409031652,2.3345633037424256,-7.2059650280472365,-9.446759456622468,0.600497085670603,0.787229954718539,0.009900283129160917,0.03476902908645774,5.343960383735052
15,15,0.5813564118106023,2.768441498590506,-9.785281020999292,-9.785281020999292,0.8154400850832744,0.8154400850832744,0.05336605297466894,0.05336605297466894,1.9172259318593632
16,16,1.6484156441636604,0.5069326333724875,-7.433813108501853,-9.785281020999292,0.6194844257084877,0.8154400850832744,0.0011344499052779392,0.05336605297466894,4.285152278746558
17,17,1.3047300962346469,1.1188989022418563,-7.747956411483453,-9.785281020999292,0.6456630342902877,0.8154400850832744,0.02724884230506085,0.05336605297466894,5.113458671090811
18,18,0.2236483566748948,1.018960272992917,-8.548124349616772,-9.785281020999292,0.7123436958013977,0.8154400850832744,0.015475978041716274,0.05336605297466894,3.1084334591335363
19,19,1.4094241540402437,0.13184432340876273,-7.39357307260435,-9.785281020999292,0.6161310893836959,0.8154400850832744,0.0029008605137802197,0.05336605297466894,2.6366774393317343
20,20,2.2826005584523776,1.202091039064864,-9.24832353404358,-9.785281020999292,0.770693627836965,0.8154400850832744,0.053187869867026005,0.05336605297466894,3.4453540187661105
21,21,1.2253423906133656,2.449649778918747,-7.207421920177098,-9.785281020999292,0.6006184933480915,0.8154400850832744,0.01482497723560406,0.05336605297466894,5.218759890894702
22,22,2.7955066792988754,2.1343783891299175,-5.255984917734006,-9.785281020999292,0.4379987431445005,0.8154400850832744,0.00042985430434253806,0.05336605297466894,5.139939569709345
23,23,1.091895197708277,1.6940279704166379,-6.771439973278097,-9.785281020999292,0.5642866644398414,0.8154400850832744,0.0012284010345122354,0.05336605297466894,3.5468604565409407
24,24,0.7892543633538188,0.42739363816801124,-4.030368383663724,-9.785281020999292,0.335864031971977,0.8154400850832744,6.055595839635285e-05,0.05336605297466894,5.126333038669227
25,25,0.9012876752452709,2.6739933092159465,-8.744024168576477,-9.785281020999292,0.7286686807147064,0.8154400850832744,0.05230548546034959,0.05336605297466894,4.223013404821188
26,26,2.413382998168649,0.58513946583566,-4.247918510732494,-9.785281020999292,0.35399320922770783,0.8154400850832744,0.0004427101921288695,0.05336605297466894,6.050698605620656
27,27,0.4664595859014906,0.8763027741615909,-7.520554264996232,-9.785281020999292,0.6267128554163527,0.8154400850832744,0.01820534784911504,0.05336605297466894,5.589329483565898
28,28,0.13636504371510738,0.755481399570363,-7.272086970794343,-9.785281020999292,0.6060072475661953,0.8154400850832744,0.0037710748858897757,0.05336605297466894,4.168884519553117
29,29,1.935511742896778,1.3753395429015474,-8.031342370883037,-9.785281020999292,0.6692785309069197,0.8154400850832744,0.015492929278197627,0.05336605297466894,5.065867533350215
30,30,0.5813564118106023,2.6573470137634754,-9.327743606702127,-9.785281020999292,0.7773119672251773,0.8154400850832744,0.05398809583102035,0.05398809583102035,3.142122110375297
31,31,2.481514705333324,2.0765763096414664,-3.907375343098815,-9.785281020999292,0.32561461192490126,0.8154400850832744,0.00010646714712862251,0.05398809583102035,5.136286384478382
32,32,1.5189951020901051,0.22288799763556288,-7.481394289097156,-9.785281020999292,0.6234495240914296,0.8154400850832744,0.004028886037900938,0.05398809583102035,2.218851971002195
33,33,0.5065041105164971,1.8985012396063106,-4.410256214395554,-9.785281020999292,0.36752135119962953,0.8154400850832744,7.125024798322272e-07,0.05398809583102035,4.227752451000093
34,34,0.25333562021372047,2.9054656170160547,-8.854232331886722,-9.785281020999292,0.7378526943238936,0.8154400850832744,0.015927985331079336,0.05398809583102035,2.3295703797324023
35,35,2.3353596630994238,2.657962184902617,-8.908847243408005,-9.785281020999292,0.7424039369506671,0.8154400850832744,0.05692816226628728,0.05692816226628728,4.042414894003144
36,36,0.9086362035906095,0.19057634074877727,-5.7606969200621165,-9.785281020999292,0.480058076671843,0.8154400850832744,0.00021542203049316629,0.05692816226628728,4.173139226413035
37,37,1.9855412624690787,3.020331056181922,-7.972597582544187,-9.785281020999292,0.6643831318786823,0.8154400850832744,0.010296212152300007,0.05692816226628728,4.504313936161914
38,38,2.702001683545431,2.780836275339682,-9.704172983921673,-9.785281020999292,0.8086810819934728,0.8154400850832744,0.040576937779028245,0.05692816226628728,1.5741324982783738
39,39,1.0186657385774862,2.311060205325909,-5.997768603147314,-9.785281020999292,0.49981405026227615,0.8154400850832744,0.003741290622188925,0.05692816226628728,6.817051553329023
40,40,2.667620304228631,1.5263584184944297,-7.971388089326728,-9.785281020999292,0.6642823407772274,0.8154400850832744,0.006740642847331389,0.05692816226628728,3.378093137753325
41,41,1.0267442999650078,2.4675043317427967,-7.120981442851368,-9.785281020999292,0.593415120237614,0.8154400850832744,0.016245856610242047,0.05692816226628728,5.6865907673959555
42,42,0.4781791092375365,2.1842177448388727,-4.885148903765814,-9.785281020999292,0.40709574198048454,0.8154400850832744,0.0008618864784657432,0.05692816226628728,5.684910608434961
43,43,1.2741054025208285,2.3944798701529,-7.127256304116355,-9.785281020999292,0.5939380253430296,0.8154400850832744,0.012483231928724466,0.05692816226628728,5.367669294180509
44,44,0.42425704891073734,2.2058862384950513,-5.279164232575275,-9.785281020999292,0.4399303527146063,0.8154400850832744,0.0012133605474437897,0.05692816226628728,5.693068557362459
45,45,0.31139196054291696,0.6477432747148685,-5.937933259948086,-9.785281020999292,0.49482777166234054,0.8154400850832744,0.0014884672755913688,0.05692816226628728,5.31009778386079
46,46,1.7036491526000386,1.9217024338805806,-7.32827083558795,-9.785281020999292,0.6106892362989959,0.8154400850832744,0.004302447989059299,0.05692816226628728,3.1165130225611435
47,47,0.978289279748453,1.1188989022418563,-8.591269033188572,-9.785281020999292,0.7159390860990477,0.8154400850832744,0.04674554889326219,0.05692816226628728,4.389550246433117
48,48,0.13596852365619672,1.018960272992917,-8.216228411260223,-9.785281020999292,0.6846857009383519,0.8154400850832744,0.009598966231546612,0.05692816226628728,3.2290062077308193
49,49,0.8768027963317688,2.7687473837811623,-9.183463408813305,-9.785281020999292,0.7652886174011088,0.8154400850832744,0.05256944435987206,0.05692816226628728,3.5735358560238524
50,50,1.8581798492944828,0.04233173420123171,-7.399452548202738,-9.785281020999292,0.6166210456835615,0.8154400850832744,0.0030473214153193557,0.05692816226628728,3.407203486857597
51,51,1.2253423906133656,2.4883597034747282,-7.3406064970713265,-9.785281020999292,0.6117172080892772,0.8154400850832744,0.017631824188061338,0.05692816226628728,5.031240535390886
52,52,1.438599203544769,2.1343783891299175,-7.316283146440029,-9.785281020999292,0.6096902622033358,0.8154400850832744,4.6036163159207896e-05,0.05692816226628728,4.912005284595281
53,53,0.71784076802345,1.6373789092499684,-6.737397004195288,-9.785281020999292,0.5614497503496073,0.8154400850832744,0.0012684819415720993,0.05692816226628728,4.053009071929772
54,54,0.03443392566756187,2.9814098718499253,-7.653461937149921,-9.785281020999292,0.6377884947624934,0.8154400850832744,0.0046775701731064535,0.05692816226628728,3.621954676308661
55,55,0.2373026477044815,1.2120820976713278,-9.014908812446855,-9.785281020999292,0.7512424010372379,0.8154400850832744,0.01941245916733052,0.05692816226628728,2.200672880808682
56,56,0.8508366039002374,2.5516542893660112,-7.966868255516698,-9.785281020999292,0.6639056879597248,0.8154400850832744,0.038770467799804545,0.05692816226628728,5.2584734172740895
57,57,1.9330412288436174,0.8763027741615909,-7.175917320383223,-9.785281020999292,0.5979931100319352,0.8154400850832744,0.014171155417944977,0.05692816226628728,5.284006281753435
58,58,0.08344607933173176,0.755481399570363,-7.3846456263615625,-9.785281020999292,0.6153871355301302,0.8154400850832744,0.003723000386403482,0.05692816226628728,3.9352308619444614
59,59,2.0801763947545537,2.5538903969873057,-7.680744040446044,-9.785281020999292,0.6400620033705037,0.8154400850832744,0.026094028160111513,0.05692816226628728,5.0438483884159595
60,60,0.5813564118106023,2.3488521800976825,-6.152037242570983,-9.785281020999292,0.5126697702142485,0.8154400850832744,0.008777021010604605,0.05692816226628728,6.648805175905679
61,61,0.6789595906374248,1.6712383262451047,-6.327495122457558,-9.785281020999292,0.5272912602047964,0.8154400850832744,0.0006030737701332885,0.05692816226628728,4.185676344347556
62,62,2.0658890570425728,2.555935581919429,-7.677548109065366,-9.785281020999292,0.6397956757554472,0.8154400850832744,0.025651404943599503,0.05692816226628728,5.01554700644985
63,63,0.4185320344824355,0.09424813924875552,-6.534193102267885,-9.785281020999292,0.5445160918556571,0.8154400850832744,0.0009565196535237523,0.05692816226628728,4.2511560262496175
64,64,1.1592599550245848,2.8449744378746393,-8.26762584616201,-9.785281020999292,0.6889688205135008,0.8154400850832744,0.026867190219850165,0.05692816226628728,5.067497567735842
65,65,2.3353596630994238,2.1319408598107685,-4.257356302374664,-9.785281020999292,0.3547796918645553,0.8154400850832744,0.000220044286402079,0.05692816226628728,6.1959521251113365
66,66,2.352835759379861,2.362609053189579,-6.068113385368816,-9.785281020999292,0.5056761154474013,0.8154400850832744,0.009401406721037401,0.05692816226628728,6.854277300880085
67,67,0.5936344520520517,2.286065393452855,-5.437189534746213,-9.785281020999292,0.4530991278955177,0.8154400850832744,0.0041258863926784,0.05692816226628728,6.589934895952268
68,68,2.343403891184452,2.5207454638062967,-7.758163825044339,-9.785281020999292,0.6465136520870283,0.8154400850832744,0.035027282864641886,0.05692816226628728,5.60736977209848
69,69,2.8140983465028375,2.6908655605093803,-9.262586025189783,-9.785281020999292,0.7718821687658153,0.8154400850832744,0.029364250015724798,0.05692816226628728,2.2413188305296075
70,70,0.3928820029740643,1.4283843935773364,-8.762390884491312,-9.785281020999292,0.730199240374276,0.8154400850832744,0.014714081102035035,0.05692816226628728,2.5017079329457346
71,71,0.3155560156399675,2.901115093624235,-9.113627521439257,-9.785281020999292,0.7594689601199381,0.8154400850832744,0.020295317293899207,0.05692816226628728,2.0169658305005385
72,72,1.5117650045188589,2.284767974233012,-7.472266141908091,-9.785281020999292,0.6226888451590076,0.8154400850832744,0.0070866210615220075,0.05692816226628728,4.91724350528375
73,73,2.135366222399304,1.4639983204902078,-8.196450507144593,-9.785281020999292,0.6830375422620495,0.8154400850832744,0.01110268111284602,0.05692816226628728,3.9574394784521445
74,74,0.30703844913960787,0.898316044668569,-7.925956911141568,-9.785281020999292,0.6604964092617973,0.8154400850832744,0.0134890580039411,0.05692816226628728,4.396595913372998
75,75,0.24257659561771194,0.6477432747148685,-6.309687722313429,-9.785281020999292,0.5258073101927857,0.8154400850832744,0.0016314062000637962,0.05692816226628728,4.959037477226566
76,76,1.493197826526493,2.391716506645837,-7.470703867304506,-9.785281020999292,0.6225586556087088,0.8154400850832744,0.01927577530502679,0.05692816226628728,4.73721505232551
77,77,1.9078784007818355,2.8564053795001483,-8.03331333332292,-9.785281020999292,0.66944277777691,0.8154400850832744,0.02251112591706066,0.05692816226628728,5.3700596032433765
78,78,0.2236483566748948,0.8865614178170889,-7.853380668209864,-9.785281020999292,0.6544483890174887,0.8154400850832744,0.009329925589947765,0.05692816226628728,4.04413159216076
79,79,0.8768027963317688,2.7122531073234857,-9.002169727573662,-9.785281020999292,0.7501808106311385,0.8154400850832744,0.0552118089555111,0.05692816226628728,3.872087321681292
80,80,2.9951869243037126,1.5339293182566205,-7.6566646303128,-9.785281020999292,0.6380553858594,0.8154400850832744,0.00469611496015904,0.05692816226628728,3.6203544082171604
81,81,1.7726408412633035,2.3445752727372984,-7.254951038390095,-9.785281020999292,0.6045792531991746,0.8154400850832744,0.011204885837873777,0.05692816226628728,5.2374167262757965
82,82,0.521430031971357,1.4749810949445081,-8.509788434760381,-9.785281020999292,0.7091490362300318,0.8154400850832744,0.01183023614263181,0.05692816226628728,2.8836974522812255
83,83,1.0500594631624476,2.6804776176808636,-8.340665663225568,-9.785281020999292,0.695055471935464,0.8154400850832744,0.04009243787296109,0.05692816226628728,4.617373204440554
84,84,0.6412827916498475,2.9814098718499253,-9.085486861018348,-9.785281020999292,0.7571239050848623,0.8154400850832744,0.021734649468119756,0.05692816226628728,2.453812977366013
85,85,1.1038333791113697,1.2117748200484921,-8.425260602303778,-9.785281020999292,0.7021050501919816,0.8154400850832744,0.03512920703160282,0.05692816226628728,4.78656841866966
86,86,1.8667528082411038,1.6667254482163265,-7.2545688484899475,-9.785281020999292,0.604547404040829,0.8154400850832744,0.0023751274261319287,0.05692816226628728,3.105235720899458
87,87,1.150361435997967,2.6762388681483356,-8.056931783074845,-9.785281020999292,0.6714109819229037,0.8154400850832744,0.0325245511439719,0.05692816226628728,4.829817889010471
88,88,1.5004012104554734,1.6315418906288404,-7.490660956416989,-9.785281020999292,0.6242217463680825,0.8154400850832744,0.003249572254927209,0.05692816226628728,3.0768598679561876
89,89,1.935511742896778,2.8605509418170016,-8.11474061199193,-9.785281020999292,0.6762283843326609,0.8154400850832744,0.0232931505845336,0.05692816226628728,5.2635566370305185
90,90,0.46699645882325025,2.935381163330696,-9.321460959708887,-9.785281020999292,0.7767884133090739,0.8154400850832744,0.025079394133043685,0.05692816226628728,1.871161851000366
91,91,0.30628485753793355,1.3033916422697858,-9.174153290591953,-9.785281020999292,0.7645127742159961,0.8154400850832744,0.02159626452848186,0.05692816226628728,1.944410951247292
