,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.45011799471165315,2.8936757770541184,1.0966070951432403,2.367611751182267,-7.290916139744458,-7.290916139744458,0.6075763449787048,0.6075763449787048,0.0224415911943592,0.0224415911943592,5.225417868997397
1,1,1.6612805003158289,0.2826975192928185,0.8155926185052426,2.4860491270026133,-8.60044135721393,-8.60044135721393,0.7167034464344941,0.7167034464344941,0.04381241293653207,0.04381241293653207,4.273110498678491
2,2,2.0991896037415563,1.085580786308559,2.8734083320954866,2.751485455614684,-8.175792710854585,-8.60044135721393,0.6813160592378821,0.7167034464344941,0.0029751791117455678,0.04381241293653207,2.759240415540603
3,3,0.02214683870293177,2.969858243060029,1.9691802169252146,2.5281282468338917,-7.509468541182985,-8.60044135721393,0.625789045098582,0.7167034464344941,0.022263958902442194,0.04381241293653207,5.047169641888928
4,4,0.22220759463496975,0.6441981453854899,0.876359609433511,2.6990154466091427,-9.035522759816011,-9.035522759816011,0.7529602299846676,0.7529602299846676,0.03929756752431804,0.04381241293653207,3.531449548831546
5,5,1.4180251753847355,0.976126722956326,1.3139973024717262,1.9632296265042188,-7.516441595286049,-9.035522759816011,0.6263701329405041,0.7529602299846676,0.0014432991820998737,0.04381241293653207,4.472869523483986
6,6,1.9415249286984888,2.2197502688370534,2.200836474231823,2.3006884593503054,-6.809435446741901,-9.035522759816011,0.5674529538951584,0.7529602299846676,0.013737672141574037,0.04381241293653207,6.76544426002998
7,7,2.825038598756141,3.0716079863337713,2.2947638722400527,1.6927430579279965,-8.543947628977824,-9.035522759816011,0.711995635748152,0.7529602299846676,0.01860354533632471,0.04381241293653207,3.883463381195341
8,8,2.021099737455839,2.8755665424499592,3.0766417431032096,1.5268815448890927,-8.345128574438915,-9.035522759816011,0.6954273812032429,0.7529602299846676,0.020734810417599562,0.04381241293653207,4.7319904358529925
9,9,3.1274726637849435,2.4371915674392173,1.8297384293407375,1.9094098798615842,-7.880592347808393,-9.035522759816011,0.6567160289840327,0.7529602299846676,0.024664709198960136,0.04381241293653207,5.491941833967665
10,10,1.4433487512031213,0.415236447144673,0.4693553659575489,0.2355858839975402,-7.4962774448410885,-9.035522759816011,0.6246897870700907,0.7529602299846676,0.0011965304923532596,0.04381241293653207,4.107633565717151
11,11,2.4782075918940816,0.010594940195581604,1.470832592795319,0.8154192014730435,-5.684243541542292,-9.035522759816011,0.47368696179519104,0.7529602299846676,0.005420969669181218,0.04381241293653207,6.924915315127826
12,12,2.4304105058556815,1.5530830476349822,2.9678928326887153,3.099227028710696,-7.300617589911322,-9.035522759816011,0.6083847991592769,0.7529602299846676,0.0028663793376308825,0.04381241293653207,3.734375771334072
