,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,1.6164289907593676,1.7991361256637044,-7.485236405872997,-7.485236405872997,0.6237697004894164,0.6237697004894164,0.0041069432776362404,0.0041069432776362404,2.214931711431838,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,0.4474370991451841,0.07966726316012841,-6.650682497010346,-7.485236405872997,0.5542235414175288,0.6237697004894164,0.001162316962189283,0.0041069432776362404,4.203184362081558,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,0.0989138604101236,0.9759772953788961,-7.956576442399261,-7.956576442399261,0.6630480368666051,0.6630480368666051,0.00707726486755676,0.00707726486755676,3.440905532289122,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,0.6800375529792945,2.8540380322519114,-9.678461115339752,-9.678461115339752,0.8065384262783127,0.8065384262783127,0.04508954784710248,0.04508954784710248,2.0793044131987983,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,2.8201071928373818,1.4388680642946567,-8.537521415512888,-9.678461115339752,0.7114601179594073,0.8065384262783127,0.011808107818428032,0.04508954784710248,2.736434011296595,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,2.989727844413581,2.808029747647337,-8.526408583011083,-9.678461115339752,0.710534048584257,0.8065384262783127,0.011872656628326898,0.04508954784710248,2.74445769949709,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,1.2608752115382862,0.6893609970835993,-6.763278489195161,-9.678461115339752,0.5636065407662635,0.8065384262783127,0.0031128218444356043,0.04508954784710248,6.140427644373013,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,1.894184649066361,1.9564070124564619,-6.517523120947436,-9.678461115339752,0.5431269267456197,0.8065384262783127,0.002108626209709919,0.04508954784710248,4.727852334432626,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,2.4164399658055085,0.415436745955798,-3.9190714308619494,-9.678461115339752,0.32658928590516245,0.8065384262783127,3.942624401157091e-05,0.04508954784710248,4.769047879584543,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,1.4821050017028228,2.283301872158687,-7.437433699161319,-9.678461115339752,0.6197861415967766,0.8065384262783127,0.006780259050900195,0.04508954784710248,4.988583991610483,1.0081739403633367,43.35348574958329,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1,0.2975941867000522,2.7472981974477966,-9.272772944214596,-9.678461115339752,0.7727310786845497,0.8065384262783127,0.026194585394969133,0.04508954784710248,1.9938763718422194,0.9877147753897977,39.68495134508629,0.0007982039677725234,0.008731012937203974,10,0.12091493606567383,0.6288883686065674,0.3015894889831543,1.051454782485962
11,2,0.6643352982439582,2.948380420937569,-9.300415423822427,-9.678461115339752,0.775034618651869,0.8065384262783127,0.02752984434693597,0.04508954784710248,2.3004626771480474,0.8681886088984564,34.21553377981494,0.0004956003615949429,0.0049024749175900105,12,0.14818596839904785,0.6596064567565918,0.4791121482849121,1.2869751453399658
12,3,0.6272351200070269,2.415104963011017,-6.837557304624258,-9.678461115339752,0.5697964420520215,0.8065384262783127,0.017203142593630476,0.04508954784710248,6.503231288681498,0.5093600642221698,33.2997350301536,0.0009623560169284203,0.005366436994699442,13,0.1492464542388916,0.6784579753875732,0.4640920162200928,1.2918756008148193
13,4,0.6409397119155502,2.8219440084569514,-9.768436907821782,-9.768436907821782,0.8140364089851485,0.8140364089851485,0.04968578673349945,0.04968578673349945,1.9234845323954772,0.523777839050277,32.80765906573297,0.00023146074756869186,0.00134705455806822,21,0.2300093173980713,0.6313815116882324,0.7032449245452881,1.564706802368164
14,5,0.5901748481016578,2.821495471431176,-9.802823591615415,-9.802823591615415,0.8169019659679512,0.8169019659679512,0.04788322976901929,0.04968578673349945,1.7099284609760304,0.5429341498696317,32.7308852401329,0.0009596434427105918,0.002636334399924864,21,0.26256608963012695,0.6639366149902344,0.7045576572418213,1.6311285495758057
15,6,0.5700503155714685,2.8244018074205663,-9.803797333902573,-9.803797333902573,0.8169831111585477,0.8169831111585477,0.046486797338908585,0.04968578673349945,1.6363441415934403,0.5637812663700807,32.86928825458401,0.0004007105846961457,0.002238659644346727,19,0.22338485717773438,1.003877878189087,3.956531286239624,5.183923006057739
16,7,0.5788611133078989,2.8266767512197526,-9.800472385425508,-9.803797333902573,0.8167060321187923,0.8169831111585477,0.04661950456061536,0.04968578673349945,1.660698899564423,0.579688549647627,32.95896777676808,0.00040337507491526733,0.0015827662174755812,24,3.1176533699035645,1.3635938167572021,0.6115918159484863,5.092910289764404
17,8,0.5655530599105206,2.8019444670973592,-9.815915366984274,-9.815915366984274,0.8179929472486895,0.8179929472486895,0.04907084190718379,0.04968578673349945,1.6840528539900106,0.5946361367075746,33.07415814055949,0.0008294664495480348,0.004269803694194084,28,0.3361499309539795,0.7783942222595215,0.52327561378479,1.637923002243042
18,9,0.5706620066311703,2.804144579775288,-9.81535026667028,-9.815915366984274,0.8179458555558566,0.8179929472486895,0.04911304570121496,0.04968578673349945,1.6925024746355746,0.6117948124676235,33.257876970527796,0.00017113630696707197,0.0005494794057467014,25,0.30442142486572266,0.6553821563720703,0.5459952354431152,1.505838394165039
