,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,BETA_7,GAMMA_7,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.3168286534006355,1.7595889623960579,0.4496347055647955,0.630373167883405,2.517605808666238,3.0422008372761424,0.9915168537809035,2.1780724171440937,2.75449383101606,2.8115436552811244,0.2763238275559341,0.13230367225963624,0.5418396942644763,2.7599846125445,0.3179822223353958,1.3287375448364669,-8.63537388838949,-8.63537388838949,0.7196144906991241,0.7196144906991241,0.059219853416279875,0.059219853416279875,6.0523602694741925
1,1,1.7116733257846646,0.7511459982476618,0.8444793735818676,1.0252178375797085,1.5091628453216936,2.033757873111167,3.114666544030653,1.1696294529817488,1.7460508665523913,1.8031006904772904,0.6711684976892285,2.2554533613279926,2.6649893840209113,0.02323663144341403,0.7128268991784863,1.723582214601498,-7.485222669203683,-8.63537388838949,0.6237685557669735,0.7196144906991241,0.008692257960000411,0.059219853416279875,4.964595727804415
2,2,0.8853440313065362,0.4764851243903012,0.5698184879233212,0.7505569519211621,0.6828335514688801,1.2074285773957085,2.840005672137913,0.3433001591289353,0.9197215726995778,0.9767713947618317,0.3965076120306821,1.4291240675771546,2.3903285028149455,2.880168406723266,3.018090258290151,1.4489213289429517,-5.5730352234048395,-8.63537388838949,0.46441960195040327,0.7196144906991241,0.0008926235040740866,0.059219853416279875,4.421798573400807
3,3,0.7773218260566692,0.3684629195789795,2.2365680958864242,0.6425347471098404,0.5748113462190132,2.874178181194976,2.7319834673265913,2.010049762928203,2.5864711802241356,2.6435209985610992,0.28848540721936033,3.095873671376422,2.2823062980036237,1.4153253611985515,1.553247208601601,1.34089912413163,-7.964758592864487,-8.63537388838949,0.6637298827387073,0.7196144906991241,0.0032784888779062984,0.059219853416279875,3.404226062131073
4,4,2.285924153305004,3.0537823431804654,0.6135777700737732,0.19626151712153317,2.083413677192638,2.4279049554607663,1.1089931447104233,0.3870594371155518,0.9634808544114846,2.197247765376309,2.9738048308208462,2.649600438191632,0.6593159753874558,0.9690521279117859,1.106973982765416,0.8946258941433227,-6.3377540438647415,-8.63537388838949,0.5281461703220618,0.7196144906991241,0.0001903198989774376,0.059219853416279875,4.488161865531993
5,5,1.4037687670455095,2.1716269593701476,0.06372592150838784,2.778002317144537,1.5335618287292283,1.8780531018939775,0.22683775834895337,2.9688002421399595,0.0813254680500146,1.64739591180952,2.423952984806613,2.0997485846248427,0.10946412682207039,0.08689674399949275,0.22481859885312283,0.3447740405765336,-4.9680692008521685,-8.63537388838949,0.4140057667376807,0.7196144906991241,0.0018335859788453034,0.059219853416279875,7.460730812383289
6,6,1.1375392550051429,1.9053974473297812,2.9290890567296444,2.511772798877976,1.2673323103606917,1.6118235835254409,1.9452137128884763,1.555583551764656,1.7997014300401182,0.2341792138816603,1.0107362868787535,0.6865318866969832,2.974827262043327,1.8052727059895963,3.0901817404025493,0.078544522207997,-6.682763436090199,-8.63537388838949,0.5568969530075166,0.7196144906991241,0.00025468672109326757,0.059219853416279875,4.362861972748618
7,7,3.1209260447183134,0.6176960134308358,1.6413876229326745,1.2240713649790307,0.1191264464840691,0.46361771964881826,0.657512281219246,0.26788211999345024,0.5119999983708878,2.0780704357002477,0.941913360960527,2.5304231085155706,1.8266213982686799,0.6570668424800437,1.8024803066055795,1.922435741898845,-6.999377242972629,-8.63537388838949,0.5832814369143857,0.7196144906991241,0.00017239665506685483,0.059219853416279875,4.663462091312162
8,8,1.0286605974800092,1.6570232232153599,2.6807148327171983,2.2633985747635545,1.1584536527335827,1.5029449258983318,1.69683949100377,1.3072093297779743,1.551327208155412,0.2811956059677494,2.2766311846143577,0.7335482787830723,0.029746568624485763,1.6963940505922024,2.8418075163901033,2.961762951785344,-6.434587566855356,-8.63537388838949,0.5362156305712796,0.7196144906991241,0.00038903778130093135,0.059219853416279875,4.85812558920675
9,9,1.8020284193621399,2.4303910451994657,0.6440204627161263,3.0367663967476606,2.253351943772884,2.2763127478824376,2.7917377820430715,2.402107613366695,2.6462254991947134,1.054563427256179,0.2399368233328103,1.506916100071502,0.8031143936382057,2.791292341631504,0.8051131463890313,0.9250685817842721,-7.313091664094907,-8.63537388838949,0.6094243053412423,0.7196144906991241,0.0065139640718702395,0.059219853416279875,5.5730810608239665
