,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,3.0560511959277217,2.2485125144591285,-7.1929152887150885,-7.1929152887150885,0.599409607392924,0.599409607392924,0.0029210537761739266,0.0029210537761739266,4.064864718158056
1,1,3.039040083556248,2.231501402823998,-7.078143180997353,-7.1929152887150885,0.5898452650831127,0.599409607392924,0.002610191206706141,0.0029210537761739266,4.170984482832807
2,2,0.6978424600346662,3.0218964254416285,-8.721743814900355,-8.721743814900355,0.7268119845750296,0.7268119845750296,0.015597928898938736,0.015597928898938736,2.912080510024225
3,3,1.4839241316630576,3.0218964254416285,-7.523392178301263,-8.721743814900355,0.626949348191772,0.7268119845750296,0.007364693400799065,0.015597928898938736,5.0971042148295425
4,4,1.4839241316630576,3.113234141364737,-7.506222457034664,-8.721743814900355,0.6255185380862219,0.7268119845750296,0.004452354171297356,0.015597928898938736,4.084778150672157
5,5,0.6978424600346662,3.0218964254416285,-8.721743814900355,-8.721743814900355,0.7268119845750296,0.7268119845750296,0.015597928898938736,0.015597928898938736,2.912080510024225
6,6,0.6978424700346663,3.0218964254416285,-8.721743808002667,-8.721743814900355,0.7268119840002223,0.7268119845750296,0.015597928879019292,0.015597928898938736,2.9120805356082826
7,7,0.6978424600346662,3.0218964354416284,-8.721743727851129,-8.721743814900355,0.7268119773209274,0.7268119845750296,0.015597927496548643,0.015597928898938736,2.9120805831072687
8,8,0.01,0.01,-7.497000913026214,-8.721743814900355,0.6247500760855178,0.7268119845750296,0.003892210525984025,0.015597928898938736,3.752397019752749
9,9,0.01000001,0.01,-7.49700091002759,-8.721743814900355,0.6247500758356325,0.7268119845750296,0.003892210511965275,0.015597928898938736,3.752397022146937
10,10,0.01,0.01000001,-7.4970009100285315,-8.721743814900355,0.624750075835711,0.7268119845750296,0.003892210511969835,0.015597928898938736,3.752397022146269
11,11,0.4919415935237977,2.120306134245932,-4.446525912568707,-8.721743814900355,0.3705438260473923,0.7268119845750296,0.00026358751733835664,0.015597928898938736,5.210545975530923
12,12,0.4919416035237977,2.120306134245932,-4.446525872916519,-8.721743814900355,0.37054382274304326,0.7268119845750296,0.00026358751675228183,0.015597928898938736,5.210545983790791
13,13,0.4919415935237977,2.120306144245932,-4.446525960340393,-8.721743814900355,0.3705438300283661,0.7268119845750296,0.0002635875707685276,0.015597928898938736,5.210546053913202
14,14,0.6599588795692742,2.8560133530577367,-9.699019605789363,-9.699019605789363,0.8082516338157802,0.8082516338157802,0.04450370955591225,0.04450370955591225,1.9763708595432803
15,15,0.6599588895692743,2.8560133530577367,-9.69901959469448,-9.699019605789363,0.8082516328912067,0.8082516338157802,0.04450370970614502,0.04450370970614502,1.976370908750937
16,16,0.6599588795692742,2.8560133630577367,-9.699019583700517,-9.699019605789363,0.8082516319750431,0.8082516338157802,0.04450370780030025,0.04450370970614502,1.9763708608820991
17,17,0.61137831441688,2.789998011060885,-9.793394830514675,-9.793394830514675,0.816116235876223,0.816116235876223,0.05285065227907769,0.05285065227907769,1.9101834574809686
18,18,0.61137832441688,2.789998011060885,-9.793394823172514,-9.793394830514675,0.8161162352643762,0.816116235876223,0.05285065272668052,0.05285065272668052,1.910183500745518
19,19,0.61137831441688,2.789998021060885,-9.793394837768588,-9.793394837768588,0.8161162364807156,0.8161162364807156,0.052850651148850104,0.05285065272668052,1.9101834063161505
20,20,0.5931151988057363,2.796497728499207,-9.80782985356197,-9.80782985356197,0.8173191544634975,0.8173191544634975,0.051231284722520795,0.05285065272668052,1.8039847948961523
21,21,0.5931152088057363,2.796497728499207,-9.807829848934835,-9.80782985356197,0.8173191540779029,0.8173191544634975,0.05123128523042998,0.05285065272668052,1.8039848337938338
22,22,0.5931151988057363,2.796497738499207,-9.807829857051846,-9.807829857051846,0.8173191547543205,0.8173191547543205,0.051231283558708415,0.05285065272668052,1.803984750459648
23,23,0.5604055161319017,2.8013811692994777,-9.816018042900732,-9.816018042900732,0.818001503575061,0.818001503575061,0.04882173600678506,0.05285065272668052,1.6701326373758718
24,24,0.5604055261319018,2.8013811692994777,-9.816018043070606,-9.816018043070606,0.8180015035892172,0.8180015035892172,0.04882173662608852,0.05285065272668052,1.6701326678840616
25,25,0.5604055161319017,2.8013811792994776,-9.816018042847194,-9.816018043070606,0.8180015035705995,0.8180015035892172,0.04882173486964807,0.05285065272668052,1.6701325998398602
26,26,0.5616050870641076,2.801363207697696,-9.816028063783397,-9.816028063783397,0.8180023386486165,0.8180023386486165,0.0488978161483493,0.05285065272668052,1.673878445142691
27,27,0.5616050970641077,2.801363207697696,-9.816028063779733,-9.816028063783397,0.8180023386483111,0.8180023386486165,0.048897816763404385,0.05285065272668052,1.6738784759619563
28,28,0.5616050870641076,2.801363217697696,-9.81602806378365,-9.81602806378365,0.8180023386486375,0.8180023386486375,0.04889781500840047,0.05285065272668052,1.6738784074859296
29,29,0.561579248145799,2.8013616541854574,-9.816028068423503,-9.816028068423503,0.8180023390352918,0.8180023390352918,0.048896403875320814,0.05285065272668052,1.6738046702789404
30,30,0.561579258145799,2.8013616541854574,-9.816028068423572,-9.816028068423572,0.8180023390352976,0.8180023390352976,0.04889640449047217,0.05285065272668052,1.6738047010905177
31,31,0.561579248145799,2.8013616641854573,-9.816028068423572,-9.816028068423572,0.8180023390352976,0.8180023390352976,0.048896402735449554,0.05285065272668052,1.6738046326219091
32,32,1.0129072615952863,0.790090519825821,-6.323287348828472,-9.816028068423572,0.5269406124023727,0.8180023390352976,0.006485191427779815,0.05285065272668052,6.529495952802321
33,33,1.9912627182876046,1.0144538274248183,-7.734807544397404,-9.816028068423572,0.6445672953664503,0.8180023390352976,0.025855042621362408,0.05285065272668052,4.85439665081519
34,34,0.17782807362534414,1.0144538274248183,-8.373243552183707,-9.816028068423572,0.6977702960153089,0.8180023390352976,0.012055963891067414,0.05285065272668052,3.1695909564057416
35,35,0.17782807362534414,2.8876665052574975,-8.54920158926292,-9.816028068423572,0.7124334657719099,0.8180023390352976,0.011957642793697291,0.05285065272668052,2.6974731970474295
36,36,0.568068144644551,0.14631392610858307,-5.81349150434812,-9.816028068423572,0.4844576253623433,0.8180023390352976,0.00019015295587483351,0.05285065272668052,4.320090959877355
37,37,2.368300806348536,3.0828810620290596,-8.1036880861716,-9.816028068423572,0.6753073405143,0.8180023390352976,0.00823865911895139,0.05285065272668052,3.459274058110651
38,38,2.9423267402772115,3.0828810620290596,-7.828825380099697,-9.816028068423572,0.652402115008308,0.8180023390352976,0.00570173231597945,0.05285065272668052,3.4676540090015564
39,39,2.9423267402772115,2.1158038700807698,-6.152608894396997,-9.816028068423572,0.5127174078664164,0.8180023390352976,0.0008137979503562244,0.05285065272668052,4.691130585596092
40,40,2.3198282030743336,1.4933053312224127,-8.241263842695043,-9.816028068423572,0.6867719868912535,0.8180023390352976,0.009884585191041117,0.05285065272668052,3.4595002157291646
41,41,2.60670538757798,1.7801825157260593,-5.206721043531378,-9.816028068423572,0.4338934202942815,0.8180023390352976,2.2851081355630127e-05,0.05285065272668052,4.314707355148567
42,42,2.59940302972384,1.7801825157260593,-5.196331954535368,-9.816028068423572,0.4330276628779473,0.8180023390352976,2.1323211737044133e-05,0.05285065272668052,4.311424562928355
43,43,2.59940302972384,2.4228185001394635,-7.0962892142104765,-9.816028068423572,0.5913574345175397,0.8180023390352976,0.017126584283586065,0.05285065272668052,6.179488748560821
44,44,2.9430311038697443,2.816825150121314,-8.787628045125492,-9.816028068423572,0.732302337093791,0.8180023390352976,0.015292035252949416,0.05285065272668052,2.437568664314284
45,45,2.4744833500947934,2.455167308314957,-7.2416649504794535,-9.816028068423572,0.6034720792066212,0.8180023390352976,0.024072587318540308,0.05285065272668052,6.246646778020498
46,46,0.16114287299296515,2.455167308314957,-7.807439470653955,-9.816028068423572,0.6506199558878296,0.8180023390352976,0.007239959031891981,0.05285065272668052,3.812256575158422
47,47,0.16114287299296515,0.9603786903521299,-8.122399363803044,-9.816028068423572,0.6768666136502537,0.8180023390352976,0.009518976935104353,0.05285065272668052,3.448132694837369
48,48,1.033840051483754,1.8330758722540177,-5.747298628544235,-9.816028068423572,0.47894155237868624,0.8180023390352976,0.0005512562260143283,0.05285065272668052,4.398024053117624
49,49,0.49326058866891764,2.706753460146496,-9.60665852529272,-9.816028068423572,0.8005548771077268,0.8180023390352976,0.04833279372564159,0.05285065272668052,2.199549895936997
50,50,3.0675381417051675,2.706753460146496,-8.02497014608655,-9.816028068423572,0.6687475121738792,0.8180023390352976,0.007162439563202052,0.05285065272668052,3.2938016840658975
51,51,3.0675381417051675,1.5237737420377562,-7.602901234147643,-9.816028068423572,0.6335751028456369,0.8180023390352976,0.004411718508815314,0.05285065272668052,3.6654364368602046
52,52,2.432227285767487,2.309830379339372,-5.528360338112837,-9.816028068423572,0.4606966948427364,0.8180023390352976,0.005442186035329833,0.05285065272668052,6.867638603260215
53,53,1.1138253086794363,0.9914284074295507,-7.6719000099592005,-9.816028068423572,0.6393250008299334,0.8180023390352976,0.024769575525061725,0.05285065272668052,4.9449255026109356
54,54,2.098482767823434,0.9914284074295507,-7.752415278713755,-9.816028068423572,0.6460346065594796,0.8180023390352976,0.028215710723154593,0.05285065272668052,5.022080533210371
55,55,2.098482767823434,2.0669113564603503,-5.199615612207923,-9.816028068423572,0.43330130101732695,0.8180023390352976,0.00015701974400636422,0.05285065272668052,6.572911919976665
56,56,0.09275753664688068,2.7398566487211333,-8.161835213909393,-9.816028068423572,0.6801529344924494,0.8180023390352976,0.008271514043335971,0.05285065272668052,3.1542059395827806
57,57,0.06357335175954425,2.361095070745675,-7.485185085537048,-9.816028068423572,0.623765423794754,0.8180023390352976,0.0040455939561437415,0.05285065272668052,3.8186538241868746
58,58,1.130907302455601,2.361095070745675,-6.63347530745741,-9.816028068423572,0.5527896089547842,0.8180023390352976,0.006884730752928323,0.05285065272668052,6.156663561744338
59,59,1.130907302455601,1.1281517383667625,-8.172337635268214,-9.816028068423572,0.6810281362723511,0.8180023390352976,0.0345826137276064,0.05285065272668052,4.810005414297478
60,60,0.011711289965687257,2.306135555789398,-7.4817178908054505,-9.816028068423572,0.6234764909004542,0.8180023390352976,0.0038280811546912872,0.05285065272668052,3.766453310180758
61,61,0.664643580234362,0.2339256152903657,-4.905135834686139,-9.816028068423572,0.40876131955717826,0.8180023390352976,2.4607102365989284e-06,0.05285065272668052,4.278626591115373
62,62,0.04604525030815431,0.2339256152903657,-7.220103478861422,-9.816028068423572,0.6016752899051184,0.8180023390352976,0.002753014113974565,0.05285065272668052,3.9564934548449813
