,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,BETA_7,GAMMA_7,BETA_8,GAMMA_8,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.14829131300038376,3.0058474057287747,1.375833635256596,2.9818103623405694,2.4723900490279163,2.7228652033219016,0.5522835618124914,0.24470844448718138,1.8912814929641624,0.5360204565399885,2.3066479448645523,1.2890797918559063,1.6631953931807908,2.946092284515316,1.6437397444549118,0.3488176030166793,0.5054912595658644,1.717352618791456,-7.061159001063975,-7.061159001063975,0.5884299167553312,0.5884299167553312,0.0011112152804771537,0.0011112152804771537,4.611633450370668
1,1,0.6635619192747877,0.38952536289444795,1.8911042451290891,2.1108929489105908,0.6031285612694772,1.8519477892965048,1.0675541698365019,2.5053836825513294,1.0203640807718009,2.7966956990980556,1.4357305292338103,0.41816238056122956,0.7922779817432135,0.32977023874274125,2.159010352137546,2.609492843153422,2.7661664980673244,2.232623228373985,-7.369223660343678,-7.369223660343678,0.6141019716953066,0.6141019716953066,0.023974028309827533,0.023974028309827533,5.21641176452205
2,2,2.9769023974499973,2.7028658409676822,1.0728520697145056,1.2926407775072646,2.916469039495972,1.0336956178931784,0.24930199442191836,1.452241922748936,0.20211190936847445,1.7435539392956623,0.3825887693294414,2.496613274246654,2.8707288754286377,2.6431107168159755,1.3407581767229628,1.7912406718520713,1.9479143267659735,1.1794814681836494,-9.489103187795294,-9.489103187795294,0.7907585989829412,0.7907585989829412,0.1665830044194313,0.1665830044194313,4.8501602425867105
3,3,0.4614096774290426,0.18737312094672753,1.6889520106319493,1.9087407109741277,0.40097631947501733,1.6497955588106221,2.853763267933582,0.9251105419217611,0.8182118502859181,2.35965387201348,0.9986887094978398,1.9694818935214544,0.3552361621092184,0.12761800424560144,0.8136267966448332,2.4073406127695147,1.4207829466878439,1.795581397176177,-6.554564728949169,-9.489103187795294,0.5462137274124307,0.7907585989829412,0.0018757251243015252,0.1665830044194313,6.056696255603256
4,4,1.647683287201968,1.373646730719653,2.87522562050685,3.095014320849028,2.1204856549264086,0.23771224077419562,1.4416799498684816,2.6446198773444785,2.5377211858392847,0.4143348282985875,2.1849623193727403,0.02416284595062223,1.5415097718821438,1.3138916140185268,1.9999004026637943,0.4620215690546223,3.140292282110561,0.3834980791397504,-7.457716944272001,-9.489103187795294,0.6214764120226667,0.7907585989829412,0.01518636730165795,0.1665830044194313,4.286677550845944
5,5,1.472810945814855,1.19877438933254,2.127068147613997,2.3468568479561753,1.9456133138075542,2.6211474244313866,0.6935224762105892,1.8964624037885616,1.7895637160086582,2.7977700088935524,2.0100899779856274,2.407598026545587,1.3666374304950308,0.565734141125674,1.8250280612766814,0.28714922803119536,2.392134808554644,2.7669332627969414,-6.567602429393282,-9.489103187795294,0.5473002024494401,0.7907585989829412,0.005570374869152095,0.1665830044194313,5.823016021752387
6,6,0.25753753227967224,2.841021295394576,0.9117947329379936,1.131583433280172,0.45626756907376476,1.1318016758647842,2.3357693811318043,0.681188989112558,0.5742903013326546,1.30842426032695,0.7948165644504448,1.1923246119715591,3.0088843365570668,2.4820533800394635,0.6097546477414986,2.2034684676201444,0.9027890598860664,1.5516598482229134,-7.045889623801154,-9.489103187795294,0.5871574686500961,0.7907585989829412,0.0019890192288151472,0.1665830044194313,4.488206499600608
7,7,1.820924581108793,2.0271784533361767,2.4751817817671142,2.6949704821092926,2.7740173805031834,0.3179588337044097,0.7675637762953402,2.9989388007197437,2.137677350161775,2.8718113089783035,3.1125663760576305,0.3784817699889518,1.4406787317206027,1.6682105381588317,2.9275044593486843,0.6352628629614474,2.46617610853742,3.115046897052034,-7.476815826214095,-9.489103187795294,0.6230679855178413,0.7907585989829412,0.016959869250162577,0.1665830044194313,5.498980293799079
8,8,2.1745372007262915,2.3807910720479697,1.4292751592697004,3.0485831017267913,1.728110757202039,2.403644863891083,2.853249807285744,0.22095876594371888,1.0917707276643613,1.8259046864808897,0.3345863412816057,2.464167800175625,0.3947721091212133,0.6223039147557119,0.14952442457265946,2.720948893951851,2.8197887281549185,2.06914027455462,-7.79590075819061,-9.489103187795294,0.6496583965158842,0.7907585989829412,0.004817284821353466,0.1665830044194313,3.2374554095431236
9,9,2.4417978834615024,2.6480517547831806,1.1896350271199767,2.8089429698084416,1.9953714471564565,2.670905546496895,2.6136096752379956,3.112911287513187,0.8521305955146377,2.0931653689847263,0.09494620926128071,2.2245276681278767,0.15513197697148962,0.8895646047101293,3.0414769461421276,2.4813087619041028,2.580148596236569,2.3364009570584567,-7.275726216761541,-9.489103187795294,0.6063105180634617,0.7907585989829412,0.011635730632248945,0.1665830044194313,3.956196567821408
