,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.45503945810122315,2.7967856882349125,2.8530357354065625,0.12623313714424755,1.795078910221803,2.0611875001435487,2.228192772530776,0.20891913679607899,0.5831531504672351,2.687110576376411,2.9010240398698786,0.6076504279399728,1.914844400214412,2.52405014714484,-7.546608313239037,-7.546608313239037,0.6288840261032531,0.6288840261032531,0.029564534440737724,0.029564534440737724,4.902061961452475
1,1,1.9654885052273934,1.2949042109468354,1.6783971041732837,0.6474328181891724,0.9211490143566154,1.6528686431521429,0.659362928737359,2.616170606897679,1.304439731681083,0.23551626536070813,0.6437853822405261,2.815102632524156,2.4794087362474952,1.860647327066681,-6.188014176684103,-7.546608313239037,0.5156678480570086,0.6288840261032531,0.004975145521962198,0.029564534440737724,6.251563629896651
2,2,0.012443272188241039,2.894730422197526,0.41073028699707126,0.0609521503556687,1.6837804509036591,2.653642159566309,2.5700485827686683,0.3315516893040156,0.07507226366495301,2.934735255579695,2.2951411854390074,1.6839983292518326,2.9700427735700137,1.9888715669631807,-7.762502334718088,-7.762502334718088,0.6468751945598407,0.6468751945598407,0.037874612666394504,0.037874612666394504,5.336727681030602
3,3,2.862551544493974,0.49167296914533676,2.9319043113915986,3.105621392863499,0.2580837860227172,1.165198239439646,0.686574380918989,1.962884882204996,1.7588057615378656,1.639882121874479,2.6325292236527122,0.6361667119541139,0.31421590950327283,1.6868167158798963,-7.754568524691174,-7.762502334718088,0.6462140437242645,0.6468751945598407,0.01705480048831711,0.037874612666394504,4.247424825942595
4,4,1.7989930120197088,1.1322956003236002,1.710439677949034,1.1144304277052708,1.6591293756037102,1.7877537570410869,2.7131278839837982,2.221069147462115,2.0560514700505825,1.417615593894683,2.8448655822444415,0.39695956233924923,1.9447597247744264,0.11498427450728066,-6.983824308695654,-7.762502334718088,0.5819853590579712,0.6468751945598407,0.003411669506972188,0.037874612666394504,4.65363898198288
5,5,2.6638238024047682,0.26923842433831213,0.8064395907213335,1.9392612084962435,3.0607428426879704,1.0096692349773724,1.4039825274474285,1.8246958674137579,1.2445107038114647,2.249087299286089,1.4951371061391974,1.5581495663216882,2.394691209030202,3.0770332131629354,-5.324002557017069,-7.762502334718088,0.44366687975142244,0.6468751945598407,0.003526073257152661,0.037874612666394504,7.368303490057581
6,6,1.7773134645549955,1.268662657659768,1.3579532320413654,1.8535717407369172,2.698466950682737,3.0174472964080827,0.43799636702129585,2.413580111915447,2.483349971805586,0.32238468538152176,0.43769635752210867,2.84097653226398,1.3196134933664174,2.157194145843153,-6.155257728171235,-7.762502334718088,0.5129381440142696,0.6468751945598407,0.003534031993838514,0.037874612666394504,6.5775542700179415
7,7,2.152693869422562,2.3769598249263746,3.061439136348948,1.0169616403050792,1.3866231506182232,0.6314694537944675,1.4513754463626758,2.9069143467447227,3.135013870714802,2.543272183115112,2.486922556013898,2.3801046787864446,0.48219452843791943,1.494620285673096,-7.85329398083458,-7.85329398083458,0.6544411650695483,0.6544411650695483,0.0274412776105352,0.037874612666394504,4.802211533715784
8,8,1.430715926009873,1.0291917149709828,2.426578771745042,0.01576468470864545,0.010658530061906424,2.6775659640326523,1.2733669441799267,0.5912582145602528,2.207798052149747,2.3980868090944907,0.499275298054064,0.5005099437894043,0.5289410846749287,2.2882125303807546,-7.101822995673081,-7.85329398083458,0.5918185829727568,0.6544411650695483,0.016246081982619072,0.037874612666394504,4.814328528697196
9,9,1.4196771262736498,2.070380919585644,0.680958472119626,1.0007793162993193,1.8229972553601401,1.59238940004213,1.6448065742253954,0.9484613936979408,2.2264161614072697,1.0920415084448494,0.6070932829141716,0.47274436516642093,1.3020351765441671,1.469759296697549,-6.566130500126309,-7.85329398083458,0.5471775416771923,0.6544411650695483,0.004174936589889541,0.037874612666394504,7.010857912855208
10,10,1.265348040714741,1.7287108713594583,0.6407626051821846,1.4653271584549126,0.7062752632390019,2.3034428750633147,1.2228119345445583,1.9841840603461833,0.6033600458665467,0.561770321450513,2.189877363956247,1.0451972899488875,0.7284449967089565,0.4144472436817521,-6.816615827607798,-7.85329398083458,0.5680513189673165,0.6544411650695483,0.004806404455912459,0.037874612666394504,6.0719150290403405
11,11,1.5624262978923211,1.7225978192150706,0.6232144638106416,1.777319306772808,1.567096728589855,0.7919766782686138,2.8057737191462016,0.3516196190770018,1.2059861383189652,1.1709357180382698,1.0713184100463276,3.048188849018411,0.8825455804165622,0.6390017107963275,-7.470643684648979,-7.85329398083458,0.6225536403874149,0.6544411650695483,0.02314266861865507,0.037874612666394504,4.928736988414606
12,12,1.2923547864874094,1.4247400767247007,0.14949225451415327,0.22431775644504803,0.4519609570980734,2.9198413069317004,0.52041854749456,0.8894060647926817,1.1116562401091599,1.1311896869813096,0.9293293415632186,2.7803292303708442,0.047247969997691985,1.954401156526148,-8.07789773012089,-8.07789773012089,0.6731581441767408,0.6731581441767408,0.0019101091618012244,0.037874612666394504,3.5966408217184096
13,13,2.7767627751751016,0.9262584453976982,1.7618544713471826,2.4554010852874733,0.6258212958516738,1.8150677075932402,2.1971333610216437,2.797015462594202,2.1675260927033873,2.5129296446132203,1.2203307562489787,3.024291765135278,0.625258174645154,2.2654404980184704,-6.3605438354401995,-8.07789773012089,0.5300453196200167,0.6731581441767408,0.001162359393705578,0.037874612666394504,4.4648264643655295
14,14,2.9912884676172755,2.8644424133699395,2.653233916983033,2.252699973319908,1.4089316306444533,0.3522024544121969,0.5873008489502024,0.7513755384702855,2.8205855073679587,2.4690406634726982,0.25490032683854547,0.8566529156522612,1.7356126725384444,1.0608986269158431,-7.311866531455652,-8.07789773012089,0.6093222109546377,0.6731581441767408,0.0045957977914742945,0.037874612666394504,4.3319208729157594
15,15,3.023910580096712,2.12475013873309,2.2498996850159916,0.49451214033183066,1.6477812332870805,0.024265940027279553,2.2325308488045006,2.3312651737733354,2.305973567808873,0.44379143031095336,0.12561273699413822,2.3325982202136215,2.9989477347144433,0.23940526735882406,-6.795678296779962,-8.07789773012089,0.5663065247316635,0.6731581441767408,0.03434853969486376,0.037874612666394504,7.385840741941905
16,16,0.9146975654519077,3.1031414607436,1.8455462018966333,0.670496804451473,1.128791118057182,2.2060763698839967,1.956015415529973,0.08677959593196305,1.268170405011653,1.2500676157866064,2.0097463460365184,0.14622059122117603,1.3397793456879001,0.3764348317316435,-6.304871350058828,-8.07789773012089,0.5254059458382356,0.6731581441767408,0.02044529773993041,0.037874612666394504,7.037483985055246
17,17,2.79451950990257,0.9773684606310376,1.0129243473266083,2.3903629103745603,2.123521157987131,1.0601174379529703,2.622707238026841,0.6821320558620821,1.0639438163823032,0.3901436336056945,0.28452787265480595,2.6930654566835814,2.4499790797417695,0.32423545089475136,-7.123386357829067,-8.07789773012089,0.5936155298190889,0.6731581441767408,0.006321851469549736,0.037874612666394504,5.449377881191197
18,18,2.832500055450943,1.309673791227749,0.2660111323686367,2.570290312133948,1.5092754915316775,2.640666109423958,0.6009493305247142,1.5915970581535568,0.9009854622437075,2.473739687050356,1.5352233907752446,2.648459162168164,0.2722174966598232,2.333769327007202,-7.42576573742688,-8.07789773012089,0.61881381145224,0.6731581441767408,0.03534200625012669,0.037874612666394504,4.77158622562991
19,19,1.112485142594893,2.142848906487219,2.830333355833047,0.9807751183760292,1.613914116796302,1.3542065129952756,0.4855168705140862,0.3947906595644164,0.03273244103926043,1.8491022210766612,1.8576652298445782,0.9380468226993137,2.151049824430792,2.2038932662110633,-6.986330215072038,-8.07789773012089,0.5821941845893365,0.6731581441767408,0.0018266149350884499,0.037874612666394504,5.553422170221204
20,20,1.8442510244556383,1.6571033901532788,2.2350760465795316,2.7132568828803816,0.39361110800867327,0.509004923575265,2.4670799440761177,2.939524848886972,0.08999807292210416,0.4081160718227703,0.22639165253395155,0.9303667760770689,0.19503212437686024,1.3439108935402433,-5.967426013572989,-8.07789773012089,0.4972855011310824,0.6731581441767408,0.00583710804263817,0.037874612666394504,7.238516978655333
21,21,2.684944897334349,1.8090199974621293,2.7877228843041078,3.0676954123705116,0.8458536321472137,1.7130116569572613,1.0640427913424289,1.786346082822225,1.3104378671513424,1.746374492885085,0.5301369373991636,1.868235002588669,0.992140100038981,0.03421639891063655,-3.509287315635309,-8.07789773012089,0.2924406096362758,0.6731581441767408,0.00039147429034797185,0.037874612666394504,7.00995264516853
22,22,1.258429770709682,0.6082455571187658,0.045425407737879286,1.9510432142632177,1.709797486676183,2.694506949278664,3.0641895202862433,3.080234837112936,0.06734458610141258,1.5421346806732932,0.47666944598546435,1.617858606857918,2.7636426172482054,2.962930058972286,-6.9007222995686845,-8.07789773012089,0.5750601916307237,0.6731581441767408,0.001273621966731208,0.037874612666394504,4.869200237624412
23,23,0.6464303318009207,0.6419630026789274,2.701773745539166,0.2685380237697519,2.835328891791751,2.1188109176675844,2.873268027258165,1.7215631951860964,0.3345554120403147,1.440828943078961,2.923194318463838,1.3235767758276034,0.49271598132084726,1.3738329980724702,-4.437161680817562,-8.07789773012089,0.3697634734014635,0.6731581441767408,0.00015536870569800496,0.037874612666394504,5.533723865999217
24,24,1.5364145673462588,2.5005221560269453,1.2817876124207102,1.912672994776248,2.18703060765557,0.06077393160613376,1.213587307685925,1.144269041505269,2.4570953298734426,0.6664869285211698,1.2784979198331672,0.969673436022515,2.0554459904590985,1.8028022649377478,-7.162799680714429,-8.07789773012089,0.5968999733928692,0.6731581441767408,0.003941022918121883,0.037874612666394504,4.614105253609644
25,25,3.0797456014132,3.0492462790651387,1.4129785620127433,2.78431605175665,1.3237641067390644,2.5730436958211493,2.9165691590844673,0.7804354693826309,3.115670848817934,1.0682345386508918,0.20569811451299858,0.8947374844454984,2.137082517089918,1.2175216441143915,-7.579519123495811,-8.07789773012089,0.6316265936246509,0.6731581441767408,0.0027088619997761585,0.037874612666394504,5.23087246510638
26,26,2.8283122612568143,0.8166224528993875,0.12571278889924264,0.04731863878073228,2.4873421062723695,0.3925725964651894,0.8457807866000192,2.425958565613727,3.0845581765888554,0.19395645422781183,0.04933216358709158,2.1950594032437882,1.8945260071562005,2.0082981084274927,-8.674920101644691,-8.674920101644691,0.7229100084703909,0.7229100084703909,0.03138899150582121,0.037874612666394504,3.6737552774125533
27,27,0.3249410210537813,2.4888993838740676,1.2249693139113103,1.414134540990335,2.4105735376425703,0.9094656490043624,2.36362593154218,1.9640521088636933,2.391937885620169,0.9234359282955865,2.6533225379293963,1.8984840377749141,1.1791702955258647,1.2521452585822381,-6.925251631121209,-8.674920101644691,0.577104302593434,0.7229100084703909,0.029669933280850023,0.037874612666394504,5.404785299119048
28,28,0.5524570983813939,1.3919733104762824,0.42699962937285485,2.2756696221832797,2.7552002241549127,1.5501263491488906,1.8025115601686812,0.2820768243666716,2.1828991873472336,0.5778204913771111,1.308644900283153,2.2130935151893447,2.2600118347224223,2.6889701135066844,-7.048215649125307,-8.674920101644691,0.5873513040937756,0.7229100084703909,0.01780609465168182,0.037874612666394504,5.4270275360215905
29,29,1.4761284002421282,1.4453823571040751,0.5903548232848853,2.074572076067453,1.6220315259552691,2.7106418778362515,2.6846789242174047,1.107667390047106,0.9452046302544225,1.3592428038464928,0.7880676699215552,1.2924682999477712,2.177757752250175,2.1107681531811684,-8.339776007494761,-8.674920101644691,0.6949813339578967,0.7229100084703909,0.026690106591741893,0.037874612666394504,4.122233626681123
30,30,2.311837494350023,0.9626462653476712,1.1362077948871803,2.1099176831591397,3.043110444599124,3.09613107790476,0.9115262427613108,2.803405237951575,0.6373734000078437,3.09842126389767,0.5141176492208106,1.2651932713040406,1.3765490827404578,1.0083101106252284,-6.507521413406593,-8.674920101644691,0.542293451117216,0.7229100084703909,0.03044690254291588,0.037874612666394504,5.811495117817159
31,31,2.413847636363307,2.9452326477911592,0.9343241066363778,0.9190000322926328,1.4894183196563917,0.7005222437216284,2.1869726388292996,2.9709598382433584,2.665565481560515,0.7666896079154853,0.23714269452646564,0.4355931593048554,2.69254443839427,2.9870502434202484,-7.667939437988798,-8.674920101644691,0.6389949531657332,0.7229100084703909,0.02846897744580803,0.037874612666394504,4.824566110722557
32,32,0.7413492478454365,0.29616985769347726,0.3105059794848988,1.286374583586364,0.9755879140151307,1.1125878347271287,1.6136654433389817,1.2683908253239784,1.670587432038054,0.25015610295914104,1.1367142093866112,0.13077997775027805,1.8272682356533259,0.5782798446710278,-7.241995277351548,-8.674920101644691,0.6034996064459623,0.7229100084703909,0.005072992098848227,0.037874612666394504,3.827634404164023
33,33,0.7337634434495733,2.7536075843934635,2.5064548798929343,0.20632279614041016,2.028977597074947,2.8678442584899253,0.18828909444892905,1.905775388079115,1.445301279031908,1.2049522682423304,1.3909299838774951,2.166229238619117,0.9174713527280937,2.168631973205434,-6.363917769366908,-8.674920101644691,0.5303264807805756,0.7229100084703909,0.0038547594209840156,0.037874612666394504,5.288925175983742
34,34,2.2161607983393696,1.156193435774917,0.37461890408546505,1.6094658354509706,0.06822775397913738,0.9341832532766505,0.02727182815788387,2.097307597248245,1.0150957763117991,0.30686696383515444,1.2602487511297669,0.31231942405847213,2.74086120484529,0.1566447499764474,-7.5327772617039646,-8.674920101644691,0.6277314384753304,0.7229100084703909,0.0449038972815332,0.0449038972815332,5.064927793260587
35,35,2.3357394870081256,1.6776255544208838,1.570602944414822,2.3714685963598305,1.9400710982714942,0.1657526038817878,0.04809717961055471,1.2359732448873273,1.5462491984955105,0.6376055169639822,1.4252156691800024,1.585036983431714,2.335637328733138,1.0441457473565012,-7.049268890063945,-8.674920101644691,0.5874390741719954,0.7229100084703909,0.004022504477538942,0.0449038972815332,4.249491992781444
