,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,2.0766734919246597,0.7049479741360394,1.6603726252232007,0.32989375486475647,0.9780843548509002,0.9597216931090118,2.520370753846954,0.44006782992563687,1.4635157740869176,1.9437585117130831,-6.4763856963603095,-6.4763856963603095,0.5396988080300258,0.5396988080300258,0.005557427482370767,0.005557427482370767,8.72315598949141
1,1,0.9224865286114686,0.20650685886774078,1.4844821492908824,0.5323774180562009,2.0094166167018224,0.4287399913258927,1.7122638911868966,1.4771857529317418,0.9347419210240988,1.9121456235913485,-5.275863280433177,-6.4763856963603095,0.43965527336943144,0.5396988080300258,0.0004260143293090177,0.005557427482370767,9.477487057935207
2,2,0.15055826788807392,2.315551134724276,1.8351191227670196,3.0080444916724325,2.23459570821648,2.410057619833025,2.7289663325756477,0.37768681444855434,2.7356047416308074,1.8579453463863762,-7.6607071264331275,-7.6607071264331275,0.638392260536094,0.638392260536094,0.022581576350055508,0.022581576350055508,4.8055077993371995
3,3,0.30381964255981786,2.783972912990662,1.5883820602697991,1.3733995439983204,2.1495868411420043,2.992119202576357,2.1188062911196224,0.7474412382377785,1.289866598759022,0.7945696717381685,-7.827535315974341,-7.827535315974341,0.6522946096645285,0.6522946096645285,0.006283201952526892,0.022581576350055508,4.85933079242438
4,4,0.08091804729377472,1.685537873728686,0.5870244043158563,0.46379909694253296,1.9681731994963352,0.022470710603732957,1.9486828177007365,0.41620805327230004,0.6036609201007181,1.8204455954395289,-7.406099892021136,-7.827535315974341,0.6171749910017613,0.6522946096645285,0.0020248871766322344,0.022581576350055508,3.9277469297269434
5,5,0.8570216007913302,2.6917871308275867,0.7511025271671062,2.622090368662213,1.2241513048737045,1.5688435847104467,2.410468025681439,0.11615392631374344,3.0729763143159525,2.264107327818013,-7.122106524147905,-7.827535315974341,0.5935088770123255,0.6522946096645285,0.01710882320168148,0.022581576350055508,6.037730882326606
6,6,2.2993692917422353,3.1235304713324785,2.6958542184740146,0.04896305237941112,2.516602040270719,1.7792103504502197,0.11268248128607139,2.000555078605539,1.3262321040159484,2.3369240884845035,-7.342589157905567,-7.827535315974341,0.6118824298254639,0.6522946096645285,0.003288450245599932,0.022581576350055508,4.702375362421115
7,7,2.7436513656904875,2.5583286422045433,1.4116580384779198,0.9889959023068801,2.426051456345205,0.5872788661614472,1.1193390195012864,0.5360878504223547,2.3934134425383244,2.2959156243842243,-6.783800117093764,-7.827535315974341,0.5653166764244804,0.6522946096645285,8.191391089423602e-05,0.022581576350055508,6.118165350514026
8,8,0.15715425146792206,1.6446932067352864,2.341351585235996,1.7422233152841216,0.9563623338651234,0.6867505824248432,3.1200179566438644,0.9584664380319702,1.6321481640227833,1.3048728183604128,-3.873426923123849,-7.827535315974341,0.32278557692698745,0.6522946096645285,0.00019542867407126792,0.022581576350055508,6.072344276493721
9,9,0.9633543208148015,1.7854392616564505,1.9267871929279976,1.3368952159453167,1.2772435273899212,2.1552623688509147,1.7275819655553424,0.9408279902067336,0.6179357043334164,0.06532073475233102,-7.304682352843163,-7.827535315974341,0.608723529403597,0.6522946096645285,0.0006536568105577817,0.022581576350055508,4.586991494700712
10,10,1.3538725360746253,3.0059216578570496,1.8634716335671404,0.3007330659902485,2.706737928992161,0.17375530132861328,1.221741660398901,1.8107424085454535,1.1356560179578188,0.03940448296963783,-7.446955334467731,-7.827535315974341,0.6205796112056442,0.6522946096645285,0.0005089117875476885,0.022581576350055508,2.3374428412891817
11,11,0.13327342428532307,0.6587024748253052,1.136884764342754,3.076461048949378,2.1786372668707825,2.274652541422735,2.2130094435600114,0.5118428414310978,2.4125738493666247,2.6434713550549365,-8.445224692166528,-8.445224692166528,0.7037687243472107,0.7037687243472107,0.040812389425630646,0.040812389425630646,4.514816601303593
12,12,1.6683639895231264,2.409536404381064,0.31773210526705964,2.9843963516156853,1.752915809346419,0.1465389998485176,1.1713656124508445,0.9140770520293423,0.7558283947847954,1.1396283322556835,-4.952634458663478,-8.445224692166528,0.41271953822195645,0.7037687243472107,0.004047941351776155,0.040812389425630646,6.29423497222097
13,13,0.5542360347912119,0.29772094415211403,1.9697773831454062,2.2624718347965143,0.8341292774717005,0.5412299545907409,0.2851827509848106,0.1730546059720368,2.889647632300515,1.2667429576208808,-7.573580089507542,-8.445224692166528,0.6311316741256284,0.7037687243472107,0.03266537269659489,0.040812389425630646,5.2023429816305935
14,14,0.7005739844718564,1.2561017099717429,0.14600995362268954,0.8716429671133682,0.30413531718865605,2.2945592145664637,0.9024521698390449,2.629805980907467,0.14285573784546468,2.2170674144802245,-6.812115415942179,-8.445224692166528,0.5676762846618483,0.7037687243472107,0.003148307737606733,0.040812389425630646,3.7574238334089074
15,15,3.031099924243743,1.0888311789006875,0.9952704277188735,2.096969600471942,0.41487832655871304,1.0660659609954597,0.0101876053162675,3.0257225667553604,0.5707613792444426,0.6320634140325191,-8.815534041703643,-8.815534041703643,0.7346278368086369,0.7346278368086369,0.08782955947157496,0.08782955947157496,4.85408120835497
16,16,1.2849673069741296,1.9969140986969247,2.7975161642702995,0.4929509205606839,0.23462975753073545,1.6240606192332738,1.6759557680142008,1.8656368804183716,1.1386027178241316,0.7002370319083409,-8.275485159381107,-8.815534041703643,0.6896237632817589,0.7346278368086369,0.0038473463772179914,0.08782955947157496,4.451673557705263
17,17,1.703927096893851,2.3338282991996966,0.6510829430526959,1.2496620378240084,3.011656028966482,0.06313691950647349,1.2434719694209309,1.2230311990999367,1.5527121238387183,0.5084464656685543,-7.061485528958714,-8.815534041703643,0.5884571274132262,0.7346278368086369,0.005963676100542265,0.08782955947157496,5.666227205029777
18,18,2.8135834329473575,0.6222640424603035,2.8668234490530393,2.3718835593290173,2.842139714841092,0.7813935152048674,2.1589204459935436,1.2422178672935444,2.3849161421876346,0.3505545429529242,-6.000794106296781,-8.815534041703643,0.5000661755247318,0.7346278368086369,0.0002773005146680627,0.08782955947157496,4.930739011222698
