,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,BETA_7,GAMMA_7,BETA_8,GAMMA_8,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.3154769353617501,2.3019813595698406,2.254806837767139,2.4771454159218664,0.3760126103854753,2.0335586118873503,1.157089437828565,2.098931324371769,1.3125200080274648,3.020071920215091,2.3268970410091665,0.17848344481332018,1.1362064448648275,0.9295541180153414,0.45108997693406455,2.6335917878189625,2.619964143281151,2.6692257261885817,-7.004092999599634,-7.004092999599634,0.5836744166333029,0.5836744166333029,0.002919490311614318,0.002919490311614318,6.692692777319941
1,1,0.07394820658690036,0.18143629727017285,0.13426177647959592,1.2356166860294968,2.2660765295034757,0.7920298746061951,2.1681370257038495,3.109978918601932,2.3235675959486386,1.7785431912375123,1.0853683075142533,2.0685473625666013,3.0262703691727033,1.94060171084589,2.3411538993126264,0.5130467235768974,1.3784354051781327,0.5486806601012886,-7.2236808678669675,-7.2236808678669675,0.6019734056555807,0.6019734056555807,0.00613366844935251,0.00613366844935251,4.664174436748404
2,2,2.7808891491822383,0.04446553454231527,2.841202716701426,0.8109649750350416,2.129105769251101,0.3673781636117399,2.031166263077967,2.6853272053359447,1.898915890133232,1.6415724234325817,0.9483975397093227,1.931576602314227,2.8892996089203287,1.803630940769427,2.2041831390602518,0.08839501765951517,1.2414646373732021,0.12402895418390635,-6.994316447009932,-7.2236808678669675,0.5828597039174943,0.6019734056555807,0.009006188569950828,0.009006188569950828,5.759236648365473
3,3,1.077047545313848,1.4722165835374208,3.044662675406151,1.0144249336377913,0.4252641646564135,1.7951292132311674,2.234626221056395,0.981485601365579,0.19507428616286604,1.8450323814110094,1.1518574976877505,2.1350365602926544,3.0927595668987564,2.0070908987478546,0.5003415344655642,1.5161460672789426,2.6692156863683074,1.5517800038033338,-6.958823754226001,-7.2236808678669675,0.5799019795188335,0.6019734056555807,0.00512578225875565,0.009006188569950828,4.156185570240822
4,4,0.9280162384648689,1.323185276790417,2.8956313678909904,0.8653936261226305,0.8767749049303559,1.6460979064841637,2.686136962526801,1.4329963416395215,0.6465850264368085,2.296543122881415,1.0028261901725897,2.5865473017630602,2.9437282593835956,2.4586016402182604,0.9518522747395066,1.367114760531939,2.5201843796213037,2.0032907441792513,-6.995485610300684,-7.2236808678669675,0.5829571341917237,0.6019734056555807,0.004849396808106112,0.009006188569950828,5.2875183721411645
5,5,3.1143393376896817,1.6968720601848448,1.9503618116633652,3.051716723484798,3.063098006887241,2.019784686153301,3.0598237412027203,1.806683120315441,2.8329081246684034,1.351273567523217,1.3765129717043723,1.6412777464048622,1.9984587068812607,2.83228841889418,3.138175376696392,0.42184520616695864,1.574914828981614,2.376977522855171,-7.2141670173846855,-7.2236808678669675,0.6011805847820572,0.6019734056555807,0.00841281473194764,0.009006188569950828,4.903604020249375
6,6,0.669040043640772,0.5157871729169428,0.7692769205604135,1.870631832483822,1.882013115886265,0.838699798885399,1.8787388539348184,2.4929764835893984,1.6518232336674272,0.17018867642026536,2.0628063349783297,0.46019285530191056,0.817373815778309,1.651203531626278,1.9570904856954157,1.1081385730564473,0.3938299378786623,1.195892635587269,-6.895703263902354,-7.2236808678669675,0.5746419386585295,0.6019734056555807,0.0484658209666501,0.0484658209666501,6.532547230489627
7,7,1.6106987562332942,0.6475120431052785,1.7109356265817477,2.0023567026721576,2.0137379860746005,0.9704246690737348,2.010463724123154,2.6247013604508975,2.593481939688761,1.1118473824415995,3.004465047672827,1.4018515613232447,0.9490986859666448,2.592862237647612,2.8987491917167496,2.0497972857509446,0.5255548080669981,2.137551341608603,-6.801490470075682,-7.2236808678669675,0.5667908725063068,0.6019734056555807,0.006915992665860867,0.0484658209666501,5.7613945131273425
8,8,0.1317644534164535,0.4615149093342217,1.5249384982061776,0.523422401910411,0.5348036853128539,2.6230830144512005,0.5315294233614074,1.145767059689151,1.1145476368719207,0.9258502540660294,1.5255307374054061,3.054509912096197,0.763101552195588,1.113927927380191,2.7127520633411795,0.5708629754835235,0.3395576742959412,0.6586170313411819,-7.127024191307243,-7.2236808678669675,0.593918682608937,0.6019734056555807,0.011124145085390828,0.0484658209666501,6.108111399068278
9,9,2.8816801725252272,0.079837974851362,1.1432615637233179,0.24933724230700016,0.15312675083183458,2.241406079140834,0.25744426375799656,0.7640901252081316,0.7328707023909014,0.5441733195831697,1.1438538029243868,2.7804247525947616,0.3814246177127283,0.8398427677767801,2.4386669037359283,0.29677781588011265,0.06547251469069003,0.2769400968601625,-6.825284036963382,-7.2236808678669675,0.5687736697469484,0.6019734056555807,0.014724176190071225,0.0484658209666501,5.0316767771643
10,10,0.6517593536162958,0.9815098094302483,1.8796731016181296,0.985748775913555,0.8895382812760657,2.977817617966968,1.1591160977739163,1.665761959787018,1.4692822328351325,1.2805848500274009,1.880265333368618,0.5505039330208883,1.2830964522916146,1.7415146017927,0.04348579120327067,1.0331893494866675,0.8018840482972449,1.0133516273043937,-7.113166520347396,-7.2236808678669675,0.5927638766956164,0.6019734056555807,0.017197254422976607,0.0484658209666501,6.532746479252893
11,11,2.2648606757827796,2.5946111316987075,0.3611817669406252,2.5988500948258437,0.39305539031821213,1.459326283289464,0.6626332069126042,1.1692790689257058,0.9727993418772789,0.7841019590695473,1.3837824424107643,0.054021042057600825,0.7866135614303025,0.22302326674607564,2.678595554198896,2.151267430307497,0.3054011573393913,2.6264529462166823,-5.772069461310429,-7.2236808678669675,0.4810057884425358,0.6019734056555807,0.0007805560228554563,0.0484658209666501,6.159588017623868
12,12,3.0593716444996293,0.25752945427634466,1.1735907680843225,0.2617684174034809,1.1875663640526233,2.253837251904338,1.457144180181354,1.9637900384691653,1.76731031561169,1.5965109653327814,2.196191448673998,0.8485320153263507,1.5811245384243426,1.01753423536095,0.34151387397982824,2.9457783939865525,1.0999121310738025,0.2893712687943195,-6.595299475320154,-7.2236808678669675,0.5496082896100128,0.6019734056555807,0.000983472437177018,0.0484658209666501,6.900579297896364
13,13,0.8407880417765592,1.1705385050410924,2.0865998170013125,0.6575106675338847,2.100575414919346,2.649579509587298,1.8528864378643137,2.359532296152125,2.680319366478413,1.9922532136154276,3.1092004975909884,1.2442742730093104,1.9768667961073023,1.930543286227673,1.254522924744576,0.7271947912634824,1.4956543887567622,0.6851135189247233,-7.331432319539122,-7.331432319539122,0.6109526932949269,0.6109526932949269,0.0008724023572458123,0.0484658209666501,4.895817963749458
14,14,1.7973013645850762,0.5114982984274763,1.4275596103876966,3.1300631201052287,1.4415352157563108,1.990539308568849,2.8093997626446825,0.18445296734270067,0.505240035799112,2.9487665383957964,2.4501602909773723,0.5852340719908613,2.933380120887671,1.2715030870646375,2.211036247655068,0.06815458454789101,0.8366141877383131,1.6416268437050923,-6.211390215316077,-7.331432319539122,0.5176158512763397,0.6109526932949269,0.003783982912279738,0.0484658209666501,5.449497724172652
15,15,3.064524935315724,1.7787218631612023,2.6947831751214224,1.8258998958214046,2.7087587804900366,0.6863760916336299,0.19551887628055753,1.4516765342460831,1.7724636064277848,1.6446033237322093,1.1459970740421535,1.8524576367245873,1.0690110343032357,2.5387266517983633,0.34666716479592297,1.335378149281617,2.664043624392887,0.33746362904150495,-4.654135258441241,-7.331432319539122,0.3878446048701034,0.6109526932949269,0.00014372402103132883,0.0484658209666501,6.29536114399685
16,16,0.5570334481248767,2.402823029560148,0.18729168793057505,2.4500010670247665,0.20126729329918924,1.310477262836992,0.819620041650831,2.0757777006450286,1.92518326704524,2.2687044949355712,1.7700982452455156,2.005177304792623,1.2217306948187157,0.031235164607515957,0.9707683310928934,1.9594793156805628,0.1565521421084315,0.4901832944633766,-6.779911124735484,-7.331432319539122,0.5649925937279571,0.6109526932949269,0.008045410973395884,0.0484658209666501,5.9573029814777385
17,17,0.1375473062474042,1.983336887784651,1.4917652006749516,0.6228819262813252,1.5057408060435657,0.8909911210614949,2.1240935544971826,1.6562915588695317,0.09806412613200365,0.44158535419212996,1.3506121034700185,1.585691160984686,0.8022445510107785,2.7433416763198366,0.5512821893173963,1.5399931739050656,2.868658653820752,1.7946568071399336,-7.4089366643844405,-7.4089366643844405,0.6174113886987034,0.6174113886987034,0.005290801832596565,0.0484658209666501,4.346058747643234
