,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.6194611997199304,2.4312379971038953,2.7358249460969883,0.03519976489979296,0.9799667488649327,3.008824835248339,-7.496812409390173,-7.496812409390173,0.6247343674491811,0.6247343674491811,0.03006680114334524,0.03006680114334524,4.599409607201878
1,1,1.6194612146210916,2.4312379971038953,2.7358249460969883,0.03519976489979296,0.9799667488649327,3.008824835248339,-7.49681241257582,-7.49681241257582,0.6247343677146516,0.6247343677146516,0.030066801969344054,0.030066801969344054,4.599409620721389
2,2,1.6194611997199304,2.4312380120050565,2.7358249460969883,0.03519976489979296,0.9799667488649327,3.008824835248339,-7.496812413596212,-7.496812413596212,0.6247343677996843,0.6247343677996843,0.030066801821965437,0.030066801969344054,4.599409591502287
3,3,1.6194611997199304,2.4312379971038953,2.7358249609981495,0.03519976489979296,0.9799667488649327,3.008824835248339,-7.496812409125404,-7.496812413596212,0.624734367427117,0.6247343677996843,0.030066801134980677,0.030066801969344054,4.599409614062608
4,4,1.6194611997199304,2.4312379971038953,2.7358249460969883,0.03519977980095415,0.9799667488649327,3.008824835248339,-7.496812401527857,-7.496812413596212,0.6247343667939881,0.6247343677996843,0.03006679999843042,0.030066801969344054,4.59940960889886
5,5,1.6194611997199304,2.4312379971038953,2.7358249460969883,0.03519976489979296,0.9799667637660939,3.008824835248339,-7.496812408946418,-7.496812413596212,0.6247343674122016,0.6247343677996843,0.03006680112014947,0.030066801969344054,4.599409612784278
6,6,1.6194611997199304,2.4312379971038953,2.7358249460969883,0.03519976489979296,0.9799667488649327,3.0088248501495003,-7.496812409474304,-7.496812413596212,0.6247343674561919,0.6247343677996843,0.030066800873999846,0.030066801969344054,4.599409614146772
7,7,1.8332463712287195,2.713500501204695,2.71805662267551,-0.49243127948802445,0.9501868974283177,3.0144707660153984,-6.567600422872828,-7.496812413596212,0.5473000352394023,0.6247343677996843,0.002303764390096817,0.030066801969344054,2.9873266736515376
8,8,1.8332463861298807,2.713500501204695,2.71805662267551,-0.49243127948802445,0.9501868974283177,3.0144707660153984,-6.5676004584073375,-7.496812413596212,0.5473000382006115,0.6247343677996843,0.002303764238530626,0.030066801969344054,2.9873266338960605
9,9,1.8332463712287195,2.713500516105856,2.71805662267551,-0.49243127948802445,0.9501868974283177,3.0144707660153984,-6.56760042935451,-7.496812413596212,0.5473000357795424,0.6247343677996843,0.0023037641209144467,0.030066801969344054,2.9873265799756368
10,10,1.8332463712287195,2.713500501204695,2.7180566375766713,-0.49243127948802445,0.9501868974283177,3.0144707660153984,-6.5676004221896225,-7.496812413596212,0.5473000351824685,0.6247343677996843,0.0023037641172658748,0.030066801969344054,2.987326680752915
11,11,1.8332463712287195,2.713500501204695,2.71805662267551,-0.49243126458686326,0.9501868974283177,3.0144707660153984,-6.5676003965285155,-7.496812413596212,0.547300033044043,0.6247343677996843,0.002303764398149475,0.030066801969344054,2.987326768118521
12,12,1.8332463712287195,2.713500501204695,2.71805662267551,-0.49243127948802445,0.9501869123294789,3.0144707660153984,-6.567600414248075,-7.496812413596212,0.5473000345206729,0.6247343677996843,0.0023037643397297446,0.030066801969344054,2.9873266859131817
13,13,1.8332463712287195,2.713500501204695,2.71805662267551,-0.49243127948802445,0.9501868974283177,3.0144707809165596,-6.5676005288299315,-7.496812413596212,0.547300044069161,0.6247343677996843,0.002303764365315864,0.030066801969344054,2.9873265531943147
14,14,1.628146762872211,2.4427056250389207,2.7351030630304582,0.013763419596742668,0.9787568671014184,3.0090542154615907,-7.51290767960972,-7.51290767960972,0.6260756399674766,0.6260756399674766,0.03230497658226121,0.03230497658226121,4.590787422098785
15,15,1.6281467777733722,2.4427056250389207,2.7351030630304582,0.013763419596742668,0.9787568671014184,3.0090542154615907,-7.512907682583308,-7.512907682583308,0.6260756402152757,0.6260756402152757,0.03230497731089298,0.03230497731089298,4.590787434148751
16,16,1.628146762872211,2.442705639940082,2.7351030630304582,0.013763419596742668,0.9787568671014184,3.0090542154615907,-7.512907684129133,-7.512907684129133,0.6260756403440945,0.6260756403440945,0.032304976936752786,0.03230497731089298,4.590787408825896
17,17,1.628146762872211,2.4427056250389207,2.7351030779316194,0.013763419596742668,0.9787568671014184,3.0090542154615907,-7.512907678955463,-7.512907684129133,0.6260756399129552,0.6260756403440945,0.03230497658798562,0.03230497731089298,4.590787426583788
18,18,1.628146762872211,2.4427056250389207,2.7351030630304582,0.013763434497903862,0.9787568671014184,3.0090542154615907,-7.512907672605511,-7.512907684129133,0.6260756393837926,0.6260756403440945,0.032304975818788356,0.03230497731089298,4.590787425974241
19,19,1.628146762872211,2.4427056250389207,2.7351030630304582,0.013763419596742668,0.9787568820025796,3.0090542154615907,-7.5129076789068305,-7.512907684129133,0.6260756399089026,0.6260756403440945,0.03230497657919744,0.03230497731089298,4.5907874262170125
20,20,1.628146762872211,2.4427056250389207,2.7351030630304582,0.013763419596742668,0.9787568671014184,3.009054230362752,-7.5129076776415,-7.512907684129133,0.6260756398034583,0.6260756403440945,0.03230497643134062,0.03230497731089298,4.590787426473405
21,21,1.6522499862721556,2.474529329862572,2.7330997722229258,-0.045724377643220473,0.9753993357678461,3.009690766301944,-7.53736581146821,-7.53736581146821,0.6281138176223509,0.6281138176223509,0.03327895386937501,0.03327895386937501,4.582781554931692
22,22,1.6522500011733168,2.474529329862572,2.7330997722229258,-0.045724377643220473,0.9753993357678461,3.009690766301944,-7.5373658125795835,-7.5373658125795835,0.6281138177149653,0.6281138177149653,0.03327895409722273,0.03327895409722273,4.582781564642801
23,23,1.6522499862721556,2.474529344763733,2.7330997722229258,-0.045724377643220473,0.9753993357678461,3.009690766301944,-7.537365811631542,-7.5373658125795835,0.6281138176359619,0.6281138177149653,0.03327895322663986,0.03327895409722273,4.582781559147321
24,24,1.6522499862721556,2.474529329862572,2.733099787124087,-0.045724377643220473,0.9753993357678461,3.009690766301944,-7.53736580990792,-7.5373658125795835,0.6281138174923266,0.6281138177149653,0.033278953849544254,0.03327895409722273,4.582781552488036
25,25,1.6522499862721556,2.474529329862572,2.7330997722229258,-0.04572436274205928,0.9753993357678461,3.009690766301944,-7.537365812851012,-7.537365812851012,0.6281138177375843,0.6281138177375843,0.03327895439799585,0.03327895439799585,4.582781554602974
26,26,1.6522499862721556,2.474529329862572,2.7330997722229258,-0.045724377643220473,0.9753993506690073,3.009690766301944,-7.537365809997052,-7.537365812851012,0.6281138174997544,0.6281138177375843,0.03327895389036599,0.03327895439799585,4.58278155147493
27,27,1.6522499862721556,2.474529329862572,2.7330997722229258,-0.045724377643220473,0.9753993357678461,3.0096907812031053,-7.537365807797676,-7.537365812851012,0.628113817316473,0.6281138177375843,0.033278953947260326,0.03327895439799585,4.582781557398022
28,28,1.775419541482082,2.5560928598426265,2.63161660456377,-0.09325691377532647,0.8764177932099643,2.782958235478037,-7.126864958967411,-7.537365812851012,0.5939054132472842,0.6281138177375843,0.013275762864295394,0.03327895439799585,5.258048110743765
29,29,1.7754195563832431,2.5560928598426265,2.63161660456377,-0.09325691377532647,0.8764177932099643,2.782958235478037,-7.126864951141308,-7.537365812851012,0.593905412595109,0.6281138177375843,0.013275762924195328,0.03327895439799585,5.258048147013618
30,30,1.775419541482082,2.5560928747437877,2.63161660456377,-0.09325691377532647,0.8764177932099643,2.782958235478037,-7.1268648790216975,-7.537365812851012,0.5939054065851415,0.6281138177375843,0.013275761371625013,0.03327895439799585,5.2580481555974075
31,31,1.775419541482082,2.5560928598426265,2.631616619464931,-0.09325691377532647,0.8764177932099643,2.782958235478037,-7.126864937418507,-7.537365812851012,0.5939054114515422,0.6281138177375843,0.013275762936941455,0.03327895439799585,5.258048101693149
32,32,1.775419541482082,2.5560928598426265,2.63161660456377,-0.09325689887416527,0.8764177932099643,2.782958235478037,-7.12686505564521,-7.537365812851012,0.5939054213037674,0.6281138177375843,0.013275764482686182,0.03327895439799585,5.258048051902229
33,33,1.775419541482082,2.5560928598426265,2.63161660456377,-0.09325691377532647,0.8764178081111255,2.782958235478037,-7.126864944544913,-7.537365812851012,0.5939054120454094,0.6281138177375843,0.013275763056528871,0.03327895439799585,5.258048088055666
34,34,1.775419541482082,2.5560928598426265,2.63161660456377,-0.09325691377532647,0.8764177932099643,2.782958250379198,-7.126865002307976,-7.537365812851012,0.593905416858998,0.6281138177375843,0.013275763574400981,0.03327895439799585,5.258048117655186
35,35,1.66753767831871,2.48465292027775,2.7205037746776086,-0.05162407236356635,0.9631138376320547,2.9815489328572746,-7.545388973531254,-7.545388973531254,0.6287824144609379,0.6287824144609379,0.03231909170474059,0.03327895439799585,4.604169331731299
36,36,1.667537693219871,2.48465292027775,2.7205037746776086,-0.05162407236356635,0.9631138376320547,2.9815489328572746,-7.545388976011254,-7.545388976011254,0.6287824146676045,0.6287824146676045,0.03231909202799829,0.03327895439799585,4.6041693414769185
37,37,1.66753767831871,2.4846529351789113,2.7205037746776086,-0.05162407236356635,0.9631138376320547,2.9815489328572746,-7.545388969719497,-7.545388976011254,0.6287824141432914,0.6287824146676045,0.03231909070448917,0.03327895439799585,4.604169345405715
38,38,1.66753767831871,2.48465292027775,2.72050378957877,-0.05162407236356635,0.9631138376320547,2.9815489328572746,-7.545388971126433,-7.545388976011254,0.628782414260536,0.6287824146676045,0.03231909168298718,0.03327895439799585,4.604169326013256
39,39,1.66753767831871,2.48465292027775,2.7205037746776086,-0.05162405746240516,0.9631138376320547,2.9815489328572746,-7.545388979428058,-7.545388979428058,0.6287824149523381,0.6287824149523381,0.032319092533097525,0.03327895439799585,4.604169327887867
40,40,1.66753767831871,2.48465292027775,2.7205037746776086,-0.05162407236356635,0.9631138525332159,2.9815489328572746,-7.545388971401238,-7.545388979428058,0.6287824142834365,0.6287824149523381,0.03231909174454315,0.03327895439799585,4.604169323519152
41,41,1.66753767831871,2.48465292027775,2.7205037746776086,-0.05162407236356635,0.9631138376320547,2.981548947758436,-7.545388971545893,-7.545388979428058,0.6287824142954911,0.6287824149523381,0.0323190920453403,0.03327895439799585,4.604169332838467
42,42,1.7072573280069616,2.4892003728604526,2.695133889150359,-0.05545226827921103,0.9388223316850359,2.946214416794118,-7.564062107391346,-7.564062107391346,0.6303385089492789,0.6303385089492789,0.03163781516539034,0.03327895439799585,4.673423800086304
43,43,1.7072573429081228,2.4892003728604526,2.695133889150359,-0.05545226827921103,0.9388223316850359,2.946214416794118,-7.564062112045201,-7.564062112045201,0.6303385093371001,0.6303385093371001,0.031637815492861474,0.03327895439799585,4.673423811101124
44,44,1.7072573280069616,2.489200387761614,2.695133889150359,-0.05545226827921103,0.9388223316850359,2.946214416794118,-7.564062098686683,-7.564062112045201,0.6303385082238903,0.6303385093371001,0.03163781388436704,0.03327895439799585,4.673423824403599
45,45,1.7072573280069616,2.4892003728604526,2.69513390405152,-0.05545226827921103,0.9388223316850359,2.946214416794118,-7.564062103349058,-7.564062112045201,0.6303385086124215,0.6303385093371001,0.03163781515208875,0.03327895439799585,4.673423789252091
46,46,1.7072573280069616,2.4892003728604526,2.695133889150359,-0.055452253378049834,0.9388223316850359,2.946214416794118,-7.564062121508998,-7.564062121508998,0.6303385101257498,0.6303385101257498,0.031637816390911726,0.03327895439799585,4.673423792780966
47,47,1.7072573280069616,2.4892003728604526,2.695133889150359,-0.05545226827921103,0.9388223465861971,2.946214416794118,-7.564062103745236,-7.564062121508998,0.6303385086454364,0.6303385101257498,0.0316378152234838,0.03327895439799585,4.673423784890879
48,48,1.7072573280069616,2.4892003728604526,2.695133889150359,-0.05545226827921103,0.9388223316850359,2.9462144316952794,-7.564062106522796,-7.564062121508998,0.6303385088768997,0.6303385101257498,0.03163781557232,0.03327895439799585,4.6734237974760475
49,49,1.8661359267599686,2.5073901831912635,2.5936543470413604,-0.07076505194178974,0.8416563078969609,2.8048763525414917,-7.623987405652859,-7.623987405652859,0.635332283804405,0.635332283804405,0.023139088823489994,0.03327895439799585,5.279251888856891
50,50,1.8661359416611298,2.5073901831912635,2.5936543470413604,-0.07076505194178974,0.8416563078969609,2.8048763525414917,-7.623987421281258,-7.623987421281258,0.6353322851067715,0.6353322851067715,0.02313908900492993,0.03327895439799585,5.279251895972166
51,51,1.8661359267599686,2.5073901980924247,2.5936543470413604,-0.07076505194178974,0.8416563078969609,2.8048763525414917,-7.623987355369824,-7.623987421281258,0.635332279614152,0.6353322851067715,0.02313908685037954,0.03327895439799585,5.27925193145893
52,52,1.8661359267599686,2.5073901831912635,2.5936543619425216,-0.07076505194178974,0.8416563078969609,2.8048763525414917,-7.623987393029283,-7.623987421281258,0.6353322827524402,0.6353322851067715,0.02313908910484817,0.03327895439799585,5.279251868837015
53,53,1.8661359267599686,2.5073901831912635,2.5936543470413604,-0.07076503704062855,0.8416563078969609,2.8048763525414917,-7.623987489677022,-7.623987489677022,0.6353322908064185,0.6353322908064185,0.02313909152847136,0.03327895439799585,5.2792518485072435
54,54,1.8661359267599686,2.5073901831912635,2.5936543470413604,-0.07076505194178974,0.8416563227981221,2.8048763525414917,-7.623987396005946,-7.623987489677022,0.6353322830004955,0.6353322908064185,0.023139089203094897,0.03327895439799585,5.279251859101301
55,55,1.8661359267599686,2.5073901831912635,2.5936543470413604,-0.07076505194178974,0.8416563078969609,2.804876367442653,-7.6239874284674976,-7.623987489677022,0.6353322857056248,0.6353322908064185,0.023139089667539355,0.03327895439799585,5.279251873208729
56,56,2.214133855342957,2.62466892211748,2.378654870251485,-0.022790133136736487,0.636724776390972,2.546369036234169,-6.999614465853955,-7.623987489677022,0.5833012054878296,0.6353322908064185,0.0003467559997732164,0.03327895439799585,3.0530271800912985
57,57,2.214133870244118,2.62466892211748,2.378654870251485,-0.022790133136736487,0.636724776390972,2.546369036234169,-6.999614451073812,-7.623987489677022,0.5833012042561511,0.6353322908064185,0.0003467559498238185,0.03327895439799585,3.0530271816046834
58,58,2.214133855342957,2.624668937018641,2.378654870251485,-0.022790133136736487,0.636724776390972,2.546369036234169,-6.999614376753104,-7.623987489677022,0.5833011980627586,0.6353322908064185,0.000346756027817012,0.03327895439799585,3.0530272083945533
59,59,2.214133855342957,2.62466892211748,2.3786548851526463,-0.022790133136736487,0.636724776390972,2.546369036234169,-6.999614419013638,-7.623987489677022,0.5833012015844699,0.6353322908064185,0.0003467559781109042,0.03327895439799585,3.0530272940916134
60,60,2.214133855342957,2.62466892211748,2.378654870251485,-0.022790118235575293,0.636724776390972,2.546369036234169,-6.999614578861507,-7.623987489677022,0.5833012149051257,0.6353322908064185,0.00034675602766062145,0.03327895439799585,3.0530270208947243
61,61,2.214133855342957,2.62466892211748,2.378654870251485,-0.022790133136736487,0.6367247912921332,2.546369036234169,-6.999614421683301,-7.623987489677022,0.5833012018069418,0.6353322908064185,0.0003467559797828235,0.03327895439799585,3.0530272957389215
62,62,2.214133855342957,2.62466892211748,2.378654870251485,-0.022790133136736487,0.636724776390972,2.54636905113533,-6.9996145762432,-7.623987489677022,0.5833012146869333,0.6353322908064185,0.0003467560017576426,0.03327895439799585,3.0530271255250696
63,63,1.8981301761090197,2.518172561212381,2.5738877153882918,-0.06635433167974855,0.8228153034542521,2.781109695164627,-7.635625301556068,-7.635625301556068,0.6363021084630057,0.6363021084630057,0.02049594650113036,0.03327895439799585,5.378746098476
64,64,1.8981301910101809,2.518172561212381,2.5738877153882918,-0.06635433167974855,0.8228153034542521,2.781109695164627,-7.6356253194427035,-7.6356253194427035,0.6363021099535586,0.6363021099535586,0.020495946665698372,0.03327895439799585,5.378746101578635
65,65,1.8981301761090197,2.518172576113542,2.5738877153882918,-0.06635433167974855,0.8228153034542521,2.781109695164627,-7.6356252418766255,-7.6356253194427035,0.6363021034897188,0.6363021099535586,0.020495944534123203,0.03327895439799585,5.378746130462709
66,66,1.8981301761090197,2.518172561212381,2.573887730289453,-0.06635433167974855,0.8228153034542521,2.781109695164627,-7.635625286737845,-7.6356253194427035,0.6363021072281537,0.6363021099535586,0.020495946877701607,0.03327895439799585,5.378746087464165
67,67,1.8981301761090197,2.518172561212381,2.5738877153882918,-0.06635431677858736,0.8228153034542521,2.781109695164627,-7.635625400875241,-7.635625400875241,0.6363021167396034,0.6363021167396034,0.020495949345701266,0.03327895439799585,5.378746051659533
68,68,1.8981301761090197,2.518172561212381,2.5738877153882918,-0.06635433167974855,0.8228153183554133,2.781109695164627,-7.635625290327096,-7.635625400875241,0.636302107527258,0.6363021167396034,0.0204959469606021,0.03327895439799585,5.37874607918458
69,69,1.8981301761090197,2.518172561212381,2.5738877153882918,-0.06635433167974855,0.8228153034542521,2.781109710065788,-7.635625333169683,-7.635625400875241,0.6363021110974736,0.6363021167396034,0.020495947462997252,0.03327895439799585,5.378746088279897
70,70,1.920118364618598,2.5315060540700314,2.5518564607726235,-0.06103758770926289,0.8022491401168752,2.7705854278192517,-7.660265889168413,-7.660265889168413,0.6383554907640344,0.6383554907640344,0.0180366058061025,0.03327895439799585,5.413514054103771
71,71,1.9201183795197592,2.5315060540700314,2.5518564607726235,-0.06103758770926289,0.8022491401168752,2.7705854278192517,-7.660265909521061,-7.660265909521061,0.6383554924600884,0.6383554924600884,0.01803660595786448,0.03327895439799585,5.413514050125897
72,72,1.920118364618598,2.5315060689711926,2.5518564607726235,-0.06103758770926289,0.8022491401168752,2.7705854278192517,-7.660265826789967,-7.660265909521061,0.6383554855658305,0.6383554924600884,0.01803660394410883,0.03327895439799585,5.413514070075408
73,73,1.920118364618598,2.5315060540700314,2.5518564756737847,-0.06103758770926289,0.8022491401168752,2.7705854278192517,-7.660265873295325,-7.660265909521061,0.6383554894412771,0.6383554924600884,0.018036606247197322,0.03327895439799585,5.413514055584159
74,74,1.920118364618598,2.5315060540700314,2.5518564607726235,-0.061037572808101695,0.8022491401168752,2.7705854278192517,-7.660265995771472,-7.660265995771472,0.6383554996476227,0.6383554996476227,0.01803660861911706,0.03327895439799585,5.413514010262233
75,75,1.920118364618598,2.5315060540700314,2.5518564607726235,-0.06103758770926289,0.8022491550180364,2.7705854278192517,-7.660265877108654,-7.660265995771472,0.6383554897590545,0.6383554996476227,0.01803660631866552,0.03327895439799585,5.413514048656879
76,76,1.920118364618598,2.5315060540700314,2.5518564607726235,-0.06103758770926289,0.8022491401168752,2.770585442720413,-7.66026592689213,-7.660265995771472,0.6383554939076775,0.6383554996476227,0.018036606848358068,0.03327895439799585,5.4135140513068265
77,77,2.0080711186569107,2.5848400255006334,2.463731442309951,-0.03977061182732025,0.7199844867673675,2.72848835843775,-7.772926254194431,-7.772926254194431,0.6477438545162025,0.6477438545162025,0.008031591945384574,0.03327895439799585,4.750039233202685
78,78,2.008071133558072,2.5848400255006334,2.463731442309951,-0.03977061182732025,0.7199844867673675,2.72848835843775,-7.772926277588329,-7.772926277588329,0.6477438564656941,0.6477438564656941,0.008031591981090864,0.03327895439799585,4.750039201051024
79,79,2.0080711186569107,2.5848400404017946,2.463731442309951,-0.03977061182732025,0.7199844867673675,2.72848835843775,-7.772926192691037,-7.772926277588329,0.6477438493909198,0.6477438564656941,0.008031590895448882,0.03327895439799585,4.750039172687764
80,80,2.0080711186569107,2.5848400255006334,2.463731457211112,-0.03977061182732025,0.7199844867673675,2.72848835843775,-7.772926235238902,-7.772926277588329,0.6477438529365752,0.6477438564656941,0.008031592390108954,0.03327895439799585,4.750039298680704
81,81,2.0080711186569107,2.5848400255006334,2.463731442309951,-0.03977059692615906,0.7199844867673675,2.72848835843775,-7.772926371450405,-7.772926371450405,0.6477438642875337,0.6477438642875337,0.008031593892765644,0.03327895439799585,4.750039206275808
82,82,2.0080711186569107,2.5848400255006334,2.463731442309951,-0.03977061182732025,0.7199845016685287,2.72848835843775,-7.772926238747391,-7.772926371450405,0.6477438532289492,0.6477438642875337,0.008031592416412374,0.03327895439799585,4.750039297476228
83,83,2.0080711186569107,2.5848400255006334,2.463731442309951,-0.03977061182732025,0.7199844867673675,2.7284883733389114,-7.772926314250408,-7.772926371450405,0.6477438595208673,0.6477438642875337,0.008031592893481284,0.03327895439799585,4.750039276099642
84,84,2.359882134810162,2.7981759112230424,2.1112313684592605,0.04529729170045031,0.39092587336933643,2.5601000809117433,-7.027911052922002,-7.772926371450405,0.5856592544101669,0.6477438642875337,0.0008076071872078986,0.03327895439799585,2.3873581497643244
85,85,2.359882149711323,2.7981759112230424,2.1112313684592605,0.04529729170045031,0.39092587336933643,2.5601000809117433,-7.027911017099111,-7.772926371450405,0.5856592514249259,0.6477438642875337,0.0008076072221426827,0.03327895439799585,2.3873582024886275
86,86,2.359882134810162,2.7981759261242036,2.1112313684592605,0.04529729170045031,0.39092587336933643,2.5601000809117433,-7.027911057134242,-7.772926371450405,0.5856592547611869,0.6477438642875337,0.0008076073653040859,0.03327895439799585,2.3873582153903214
87,87,2.359882134810162,2.7981759112230424,2.1112313833604217,0.04529729170045031,0.39092587336933643,2.5601000809117433,-7.0279110665586435,-7.772926371450405,0.5856592555465536,0.6477438642875337,0.0008076072512957935,0.03327895439799585,2.3873581241204818
88,88,2.359882134810162,2.7981759112230424,2.1112313684592605,0.045297306601611506,0.39092587336933643,2.5601000809117433,-7.027911061109668,-7.772926371450405,0.5856592550924723,0.6477438642875337,0.0008076071880933336,0.03327895439799585,2.387358140294772
89,89,2.359882134810162,2.7981759112230424,2.1112313684592605,0.04529729170045031,0.3909258882704976,2.5601000809117433,-7.027911063032982,-7.772926371450405,0.5856592552527485,0.6477438642875337,0.0008076072477234072,0.03327895439799585,2.3873581290650208
90,90,2.359882134810162,2.7981759112230424,2.1112313684592605,0.04529729170045031,0.39092587336933643,2.5601000958129045,-7.027911090916652,-7.772926371450405,0.5856592575763876,0.6477438642875337,0.0008076071783601427,0.03327895439799585,2.38735807630178
91,91,2.066169115336606,2.6200702684756325,2.4055196547880713,-0.025722516259578984,0.665643817058787,2.700680753958577,-7.837024067528492,-7.837024067528492,0.6530853389607076,0.6530853389607076,0.003541302910921841,0.03327895439799585,3.7085568981599835
92,92,2.066169130237767,2.6200702684756325,2.4055196547880713,-0.025722516259578984,0.665643817058787,2.700680753958577,-7.837024085649389,-7.837024085649389,0.6530853404707825,0.6530853404707825,0.003541302877805585,0.03327895439799585,3.708556858993788
93,93,2.066169115336606,2.6200702833767937,2.4055196547880713,-0.025722516259578984,0.665643817058787,2.700680753958577,-7.837024014612457,-7.837024085649389,0.653085334551038,0.6530853404707825,0.0035413024671559837,0.03327895439799585,3.7085568135402838
94,94,2.066169115336606,2.6200702684756325,2.4055196696892325,-0.025722516259578984,0.665643817058787,2.700680753958577,-7.8370240492099414,-7.837024085649389,0.6530853374341618,0.6530853404707825,0.00354130316584451,0.03327895439799585,3.708556986647814
95,95,2.066169115336606,2.6200702684756325,2.4055196547880713,-0.02572250135841779,0.665643817058787,2.700680753958577,-7.8370241748636404,-7.8370241748636404,0.6530853479053034,0.6530853479053034,0.0035413039926806564,0.03327895439799585,3.708556873339667
96,96,2.066169115336606,2.6200702684756325,2.4055196547880713,-0.025722516259578984,0.6656438319599481,2.700680753958577,-7.837024051608969,-7.8370241748636404,0.6530853376340807,0.6530853479053034,0.0035413031734450855,0.03327895439799585,3.708556987103705
97,97,2.066169115336606,2.6200702684756325,2.4055196547880713,-0.025722516259578984,0.665643817058787,2.7006807688597383,-7.8370241364580915,-7.8370241748636404,0.6530853447048409,0.6530853479053034,0.0035413034779065242,0.03327895439799585,3.708556955564916
98,98,2.4613583128209022,2.897243966095238,1.9943323814570844,0.07731083202390919,0.269718197454334,2.5363612338010264,-6.812769128322928,-7.8370241748636404,0.5677307606935773,0.6530853479053034,0.0009256135909029792,0.03327895439799585,3.3363298388467797
99,99,2.4613583277220634,2.897243966095238,1.9943323814570844,0.07731083202390919,0.269718197454334,2.5363612338010264,-6.812769118649177,-7.8370241748636404,0.5677307598874314,0.6530853479053034,0.0009256136312281824,0.03327895439799585,3.3363298865737363
100,100,2.4613583128209022,2.8972439809963992,1.9943323814570844,0.07731083202390919,0.269718197454334,2.5363612338010264,-6.8127691717609435,-7.8370241748636404,0.567730764313412,0.6530853479053034,0.0009256136956500551,0.03327895439799585,3.336329901248348
101,101,2.4613583128209022,2.897243966095238,1.9943323963582456,0.07731083202390919,0.269718197454334,2.5363612338010264,-6.812769141105373,-7.8370241748636404,0.5677307617587811,0.6530853479053034,0.0009256136738089159,0.03327895439799585,3.3363298409142317
102,102,2.4613583128209022,2.897243966095238,1.9943323814570844,0.07731084692507038,0.269718197454334,2.5363612338010264,-6.8127691434525355,-7.8370241748636404,0.567730761954378,0.6530853479053034,0.0009256136712071109,0.03327895439799585,3.3363297667511347
103,103,2.4613583128209022,2.897243966095238,1.9943323814570844,0.07731083202390919,0.2697182123554952,2.5363612338010264,-6.812769136497968,-7.8370241748636404,0.5677307613748307,0.6530853479053034,0.0009256136575777696,0.03327895439799585,3.336329846207512
104,104,2.4613583128209022,2.897243966095238,1.9943323814570844,0.07731083202390919,0.269718197454334,2.5363612487021876,-6.812769155761238,-7.8370241748636404,0.5677307629801032,0.6530853479053034,0.0009256137170176413,0.03327895439799585,3.3363297431738204
105,105,2.0893134381056266,2.6363029933619093,2.381438401977855,-0.0196883506401083,0.6424563656026676,2.6910573532280244,-7.857252314795875,-7.857252314795875,0.6547710262329896,0.6547710262329896,0.002473164408604383,0.03327895439799585,3.224612050340241
106,106,2.089313453006788,2.6363029933619093,2.381438401977855,-0.0196883506401083,0.6424563656026676,2.6910573532280244,-7.8572523291695235,-7.8572523291695235,0.6547710274307936,0.6547710274307936,0.002473164362970931,0.03327895439799585,3.2246120117415558
107,107,2.0893134381056266,2.6363030082630705,2.381438401977855,-0.0196883506401083,0.6424563656026676,2.6910573532280244,-7.8572522665860856,-7.8572523291695235,0.6547710222155071,0.6547710274307936,0.0024731641500504793,0.03327895439799585,3.224611965852894
108,108,2.0893134381056266,2.6363029933619093,2.3814384168790164,-0.0196883506401083,0.6424563656026676,2.6910573532280244,-7.8572522977287225,-7.8572523291695235,0.6547710248107269,0.6547710274307936,0.0024731645842561863,0.03327895439799585,3.224612139357305
109,109,2.0893134381056266,2.6363029933619093,2.381438401977855,-0.019688335738947106,0.6424563656026676,2.6910573532280244,-7.8572524143394284,-7.8572524143394284,0.6547710345282857,0.6547710345282857,0.002473165187044697,0.03327895439799585,3.224612026969531
110,110,2.0893134381056266,2.6363029933619093,2.381438401977855,-0.0196883506401083,0.6424563805038288,2.6910573532280244,-7.857252299529141,-7.8572524143394284,0.6547710249607618,0.6547710345282857,0.0024731645880610004,0.03327895439799585,3.22461213994589
