,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,noise_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,2.9730615006404477,0.5288200773080758,-6.0560021444815595,-6.0560021444815595,0.5046668453734633,0.5046668453734633,0.0006484230358161689,0.0006484230358161689,4.718418839581233,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,1.4602195011125096,1.4585191948040814,-7.524368736786363,-7.524368736786363,0.6270307280655303,0.6270307280655303,0.0069775942897635675,0.0069775942897635675,5.00430992958934,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,2.5192058405216153,2.3171206333908945,-5.706101489668882,-7.524368736786363,0.47550845747240683,0.6270307280655303,0.004252816241388936,0.0069775942897635675,6.3396999422186155,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,1.6777848054631093,1.7856244788700555,-7.43169390013537,-7.524368736786363,0.6193078250112808,0.6270307280655303,0.003640876034334117,0.0069775942897635675,2.3096573225799304,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,1.9891923422381346,2.7899234496516923,-8.176513555009521,-8.176513555009521,0.6813761295841267,0.6813761295841267,0.03053749750871149,0.03053749750871149,5.0513763884360685,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,0.6201190424323354,0.683232498495737,-5.106748433242744,-8.176513555009521,0.42556236943689535,0.6813761295841267,0.0029208752675903755,0.03053749750871149,6.560281409590502,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,0.946691992150685,2.8350825228586465,-8.955465918967677,-8.955465918967677,0.7462888265806398,0.7462888265806398,0.0403245691709945,0.0403245691709945,3.9725416750099356,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,1.0036534014207694,1.9562187703383893,-4.955664218122007,-8.955465918967677,0.41297201817683393,0.7462888265806398,0.00034498262584721555,0.0403245691709945,5.522725429534486,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,2.500216333406219,0.2581977371469974,-4.72519015293305,-8.955465918967677,0.39376584607775417,0.7462888265806398,1.1710323582130315e-06,0.0403245691709945,4.292440894480098,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,0.05701596867135745,1.1271973039464578,-7.9072419144134685,-8.955465918967677,0.6589368262011224,0.7462888265806398,0.006300168768161942,0.0403245691709945,3.403899540313489,8.51223549987008,46.980951997470086,1.9838472812641164,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1,0.5624190975067694,3.141592653589793,-7.499999999999999,-8.955465918967677,0.6249999999999999,0.7462888265806398,0.0039062499999999935,0.0403245691709945,3.750000000000007,8.655891117286547,47.49897326815976,1.7680501711555738,0.000534316560529106,0.009366243156774272,16,0.20149540901184082,1.815443754196167,0.3392484188079834,2.356234550476074
11,2,0.16873386334136156,3.141592653589793,-7.499999999999999,-8.955465918967677,0.6249999999999999,0.7462888265806398,0.003906249999999994,0.0403245691709945,3.750000000000007,8.925610800219602,47.683271829123115,1.5996429609246454,0.0007059782776587639,0.0038475911080410314,23,0.26671600341796875,1.92104172706604,0.29687929153442383,2.4846787452697754
12,3,0.01,3.141592653589793,-7.499999999999999,-8.955465918967677,0.6249999999999999,0.7462888265806398,0.003906249999999994,0.0403245691709945,3.750000000000007,9.124327415008734,47.743766274998286,1.4589479624831732,0.0009197112978444773,0.0010866863244298757,26,0.2962613105773926,1.8235938549041748,0.33753371238708496,2.457428455352783
