,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,1.3800418896937507,1.6079847773723064,-7.459618795436788,-7.459618795436788,0.6216348996197324,0.6216348996197324,0.003301921388793469,0.003301921388793469,3.3760896509052927,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,0.08024610445232173,0.8789520779059242,-7.681371562371016,-7.681371562371016,0.6401142968642514,0.6401142968642514,0.005193515260076883,0.005193515260076883,3.682359163925227,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,2.73443353496248,2.241712767659736,-5.640403820583525,-7.681371562371016,0.4700336517152937,0.6401142968642514,0.002018243939878442,0.005193515260076883,5.796591876443539,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,0.9478289171672915,2.57125810003815,-7.958779981116252,-7.958779981116252,0.663231665093021,0.663231665093021,0.03600350188701715,0.03600350188701715,5.0416728605581795,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,1.9525051807647633,1.116098895367589,-7.989740688564979,-7.989740688564979,0.6658117240470816,0.6658117240470816,0.03079230524182799,0.03600350188701715,4.917375127095312,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,1.1677396492732324,1.4886047666522944,-7.82177809894621,-7.989740688564979,0.6518148415788508,0.6658117240470816,0.007569095991108109,0.03600350188701715,4.287961677569925,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,2.435459350039723,0.18377949638008137,-5.421509140234103,-7.989740688564979,0.4517924283528419,0.6658117240470816,5.001647334497071e-05,0.03600350188701715,4.278240871582149,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,1.7309516300404513,0.4629857065641704,-7.224116790211743,-7.989740688564979,0.6020097325176452,0.6658117240470816,0.0021165077472827705,0.03600350188701715,4.336820432338882,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,0.3245683932929886,1.9538854332138378,-5.0895409300248975,-7.989740688564979,0.42412841083540814,0.6658117240470816,4.4102037303989676e-05,0.03600350188701715,4.52241584189624,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,2.946751463176383,2.8318906202724263,-8.748370132798195,-8.748370132798195,0.7290308443998496,0.7290308443998496,0.014649995452846752,0.03600350188701715,2.4765324200515124,0.8616662804182877,40.914536690958776,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1,2.8357163641617738,3.141592653589793,-7.499999999999999,-8.748370132798195,0.6249999999999999,0.7290308443998496,0.003906249999999994,0.03600350188701715,3.750000000000007,0.6057897239416882,29.300507775558035,0.0005490033215164448,0.005007054629540944,26,0.4259674549102783,0.6224675178527832,0.2757577896118164,1.3242321014404297
11,2,3.1404630629816923,2.8346979296998986,-7.507975268025243,-8.748370132798195,0.6256646056687702,0.7290308443998496,0.003943775422182247,0.03600350188701715,3.7436068594642506,0.5126204955198779,25.877734188131328,0.0006909076481386062,0.0023598230381588208,20,0.19145464897155762,0.670257568359375,0.4398186206817627,1.301579236984253
12,3,1.1892134659100446,1.0095311292457114,-7.671977181050207,-8.748370132798195,0.6393314317541839,0.7290308443998496,0.024504638967633552,0.03600350188701715,4.841548283835422,0.521242364647595,25.08094686611052,0.0009259416125665156,0.008364014011646752,15,0.15012907981872559,0.5907766819000244,0.460132360458374,1.2010729312896729
13,4,2.7773760345914877,2.816695271748929,-9.504034721508852,-9.504034721508852,0.7920028934590709,0.7920028934590709,0.03066338384702441,0.03600350188701715,1.6177684013052414,0.5283228160358944,26.252215273502504,0.000855547927295848,0.0025299353940791847,18,0.17494773864746094,0.5863196849822998,0.5153522491455078,1.2766602039337158
14,5,2.615684246052407,2.815253902795062,-9.800426729016785,-9.800426729016785,0.8167022274180654,0.8167022274180654,0.04494303872072575,0.04494303872072575,1.5421186130285207,0.5499855623246115,26.50396402743919,0.0005680387450114167,0.0024127056244423978,18,0.1786801815032959,0.5843470096588135,0.5241773128509521,1.287322759628296
15,6,2.531896881213377,2.8220694729310147,-9.793321635572187,-9.800426729016785,0.8161101362976823,0.8167022274180654,0.04863382835509708,0.04863382835509708,1.7842054007835486,0.5667675265431495,26.312148962993323,0.0004981381499539869,0.0027766563792289106,14,0.3106694221496582,0.6787114143371582,0.4294290542602539,1.4188454151153564
16,7,2.5786674545124053,2.802003688218927,-9.816008658237328,-9.816008658237328,0.8180007215197773,0.8180007215197773,0.04890527708769398,0.04890527708769398,1.6755686843071231,0.5827440312047759,26.230276882613556,0.0005697453411546123,0.004451370526095417,19,0.18742060661315918,0.8456964492797852,0.808333158493042,1.8414885997772217
17,8,2.579006993922363,2.8034863043850553,-9.815923203009353,-9.816008658237328,0.8179936002507794,0.8180007215197773,0.04871323646907822,0.04890527708769398,1.6691035656506727,0.6007286292779739,26.34051023414746,0.0009217883350931515,0.001432429321569197,18,0.22863388061523438,5.632061958312988,2.621009588241577,8.481762409210205
18,9,2.57999561502567,2.8013853110074183,-9.816028054804063,-9.816028054804063,0.8180023379003386,0.8180023379003386,0.04889480124984005,0.04890527708769398,1.6737704292975337,0.6184622417835631,26.518356319737805,0.000881343604173055,0.0007754777425517148,24,0.29027628898620605,0.6490917205810547,0.5611393451690674,1.5005474090576172
