,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.3920007203823874,0.5057620187197105,2.7656043425315375,0.8683271508232688,1.3072153426138482,0.9372017422240522,1.9791075961130784,1.8258158266631723,1.8887338648248377,0.8424371956579163,0.9015202123972357,0.8041349622382097,-7.110087758363958,-7.110087758363958,0.5925073131969966,0.5925073131969966,0.00014326923463350226,0.00014326923463350226,4.509434437967194
1,1,0.22919892782939066,2.8787000639041214,2.0069497315909928,0.10967254030967431,0.5485607324864932,2.905992599871828,0.816305811355239,1.0671612187054225,0.7259320717550575,2.811228054311945,0.14286560702586848,0.04548035699392038,-4.1773817634694215,-7.110087758363958,0.3481151469557851,0.5925073131969966,3.9876682616102006e-05,0.00014326923463350226,5.92387718347673
2,2,2.2328774732325964,1.035537480492945,0.8790356246631357,1.3981026106191463,1.8369908027959652,1.0628300165989055,2.819984356758445,2.3555912890148942,2.7296106171582633,1.6833139462273332,1.4312956773353405,1.3339104273033924,-8.080339842120093,-8.080339842120093,0.6733616535100078,0.6733616535100078,0.07770870206325632,0.07770870206325632,5.092089500626912
3,3,1.5100688765253187,1.0465692420125665,0.8900673825860681,0.6752940135504366,1.8480225641847314,1.0738617767215433,2.097175760051167,1.6327826919461847,2.0068020204509853,0.96050534941808,1.4423274387241067,1.3449421886921586,-7.153623877555639,-8.080339842120093,0.5961353231296366,0.6733616535100078,0.011835881745356814,0.07770870206325632,5.531505747434927
4,4,0.3172151910994876,2.985308209231288,2.8288063498047897,2.4838387898279866,0.5249746896525382,3.012600743940265,0.7741278864642143,0.4399290027950633,0.8139483350251544,2.76905012942092,0.11927956419191353,0.15208850232108717,-6.3164561463587185,-8.080339842120093,0.5263713455298932,0.6733616535100078,8.057101607170955e-05,0.07770870206325632,4.4241935985441
5,5,0.21261876254986434,2.7228262098608127,2.5663243504343143,2.3792423623771537,0.42037826209973006,2.7501187445697894,0.6695314589114061,0.33533257424544005,0.5514663355527036,2.50656813104726,2.988390219306071,3.0211991564384295,-4.79014986779938,-8.080339842120093,0.3991791556499484,0.6733616535100078,0.00029524951680666287,0.07770870206325632,3.961783852156419
6,6,0.018528840819961305,2.5287362926999393,2.372234433273441,1.894667120388409,0.22628834036982703,2.2655435034247837,0.18495621692266107,0.14124265251553703,0.3573764183918302,2.021992889902254,2.794300302247173,2.8271092393795314,-5.20514342680029,-8.080339842120093,0.4337619522333575,0.6733616535100078,0.0006201028923813735,0.07770870206325632,6.486591230157384
7,7,2.695959621841448,2.0745744275822133,1.9180725681557151,2.1535434097390667,2.9037191213913136,1.811381639815757,1.3405988812466332,1.2968853190561005,3.034807199413317,0.04604290063643312,2.340138437129447,2.372947366811225,-6.38552095475921,-8.080339842120093,0.5321267462299342,0.6733616535100078,0.009294490488354349,0.07770870206325632,6.367869968293881
8,8,2.34177160028187,1.7203864059206604,1.563884546494162,2.8675914604514627,2.5495310998317358,1.4571936181542038,2.054646929010728,2.010933366820195,0.6172625919258901,0.760090952023843,3.054186483129838,3.086995412811616,-7.550033931354786,-8.080339842120093,0.6291694942795655,0.6733616535100078,0.004145826698211959,0.07770870206325632,4.909373163445075
9,9,1.7645869083675356,1.1432017065557452,0.9866998471292467,0.5330416152866244,1.9723464079174013,0.8800089187892886,1.4774622298749895,1.4337486751350375,0.04007789268817618,0.18290625288810447,0.7196366379649997,2.5098107136758774,-7.010929097863629,-8.080339842120093,0.5842440914886358,0.6733616535100078,0.0058865118209373655,0.07770870206325632,4.7074978654731225
10,10,2.4216505452858783,1.800265343474088,1.6437634840475897,1.1901052534448484,2.2468600863254355,1.154522597197323,1.751975908283024,2.09081231205338,0.6971415296065191,0.8399698898064474,0.9941503176129152,2.784324392083912,-7.8586967949279645,-8.080339842120093,0.6548913995773303,0.6733616535100078,0.011618211970580383,0.07770870206325632,4.1400371812014995
11,11,0.6037369566629158,3.1139444084409185,1.8300383224305625,1.3763800918278213,0.42894649977185595,1.3407974376496787,3.0656549753192373,0.27289872343041766,2.0108205945733495,2.153648954773278,1.180425158065271,2.9705992325362676,-4.913116228500215,-8.080339842120093,0.4094263523750179,0.6733616535100078,0.0014809335136418455,0.07770870206325632,6.986924679601071
