,iter ,BETA_0,GAMMA_0,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.7839454639247466,0.1782441746844785,-5.580391269776666,-5.580391269776666,0.4650326058147222,0.4650326058147222,9.548236074095873e-05,9.548236074095873e-05,4.242145315505205
1,1,1.6825766520414338,2.75027354464517,-7.556077129149896,-7.556077129149896,0.6296730940958247,0.6296730940958247,0.02397609176907517,0.02397609176907517,5.584655419464333
2,2,1.7847405909013325,0.5484575095556223,-7.027206402128567,-7.556077129149896,0.585600533510714,0.6296730940958247,0.00014882628327561934,0.02397609176907517,5.363229844471057
3,3,2.4958303227121283,1.7404829073402504,-5.538995013705545,-7.556077129149896,0.4615829178087954,0.6296730940958247,7.711356000427412e-05,0.02397609176907517,4.294157942528223
4,4,2.735681231113074,1.36325832021592,-9.216458915963601,-9.216458915963601,0.7680382429969668,0.7680382429969668,0.022431148251467824,0.02397609176907517,1.9377794022750976
5,5,2.6226993966225605,1.3866914149320064,-9.239558440686121,-9.239558440686121,0.76996320339051,0.76996320339051,0.0236423423793147,0.02397609176907517,2.047566932970568
6,6,1.0835815582765054,2.4679303395707417,-7.151409189003245,-9.239558440686121,0.5959507657502704,0.76996320339051,0.01508046583535481,0.02397609176907517,5.522651999230334
7,7,2.020388284922995,2.6286926516630658,-7.95898112555581,-9.239558440686121,0.6632484271296508,0.76996320339051,0.031135715324199304,0.031135715324199304,4.792177207911578
8,8,2.202345991236191,0.7716116772450866,-6.02232685183212,-9.239558440686121,0.50186057098601,0.76996320339051,0.005801006949338408,0.031135715324199304,6.790373609682767
9,9,0.43597397928215886,3.121957817258552,-7.7028247344985505,-9.239558440686121,0.6419020612082126,0.76996320339051,0.0049759769544870215,0.031135715324199304,3.5968423813610926
10,10,1.473947180003001,1.1732994351441293,-7.541464631179043,-9.239558440686121,0.6284553859315869,0.76996320339051,0.024309190339267504,0.031135715324199304,5.566136394560083
11,11,3.018068046383454,0.9056185685127172,-7.836338729583723,-9.239558440686121,0.6530282274653102,0.76996320339051,0.00668743943482589,0.031135715324199304,3.6459408680319427
12,12,1.2799247954185131,2.3481456998688475,-7.02820096946438,-9.239558440686121,0.5856834141220316,0.76996320339051,0.009154358526967858,0.031135715324199304,5.612246168931776
