,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,1.6164289907593676,1.485976860304725,0.1342778337862048,1.9586228553140044,-7.161577177326297,-7.161577177326297,0.5967980981105248,0.5967980981105248,0.0036593024031684952,0.0036593024031684952,3.093469730067625,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,0.412073125769103,0.9759772953788961,2.8721524104921494,0.3487639093800773,-4.208654949529449,-7.161577177326297,0.35072124579412073,0.5967980981105248,7.03666397197514e-05,0.0036593024031684952,5.243832981401535,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,1.2543108660424849,0.8125495335766981,0.48445372154174654,1.2422334208524406,-6.930045656138003,-7.161577177326297,0.577503804678167,0.5967980981105248,0.004218718970882529,0.004218718970882529,5.78677240336107,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,1.5740344768972656,2.255157323878496,1.5810253837073818,0.07745142030258599,-7.499654714921043,-7.499654714921043,0.6249712262434203,0.6249712262434203,0.00665608826559216,0.00665608826559216,4.811429367209968,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,2.7295992311644883,1.9812330727506946,1.1689457363438434,0.7175055453637901,-7.0209375563498915,-7.499654714921043,0.5850781296958243,0.6249712262434203,0.00015360231824317836,0.00665608826559216,4.434160441091613,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,0.8618723622543475,2.5833577921100446,0.6401576294143028,1.5801058525925709,-8.18351124598159,-8.18351124598159,0.6819592704984658,0.6819592704984658,0.041630912416528915,0.041630912416528915,4.972750003445896,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,0.046682672465357684,0.35046360548901506,2.6066518312881146,2.3416282881441464,-6.365849832436218,-8.18351124598159,0.5304874860363514,0.6819592704984658,0.009156514019498059,0.041630912416528915,6.5130781303286795,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,2.226153523881224,1.8608555670546112,1.459886204032668,2.951837259188036,-3.5648201268697486,-8.18351124598159,0.2970683439058124,0.6819592704984658,0.00012648770110303289,0.041630912416528915,4.193928453991358,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,2.0525093139537787,2.8933018621992037,2.4541810112084033,1.5563010672778672,-8.42897217120046,-8.42897217120046,0.7024143476000383,0.7024143476000383,0.022494376415468323,0.041630912416528915,4.600216781886019,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,3.101972242124152,0.021655291525166882,2.1605352809757083,2.7576286021348686,-5.166043139332413,-8.42897217120046,0.4305035949443678,0.7024143476000383,0.0004826441676082738,0.041630912416528915,5.55694888435152,1.398965171452273,23.939922872628955,0.0,0.0,0,0.0,0.0,0.0,0.0
