,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,2.5760864406655983,2.1249953521760014,0.18195850676354053,3.0689629688269755,3.063739057382998,1.5057130319720344,2.1723709121319947,0.8372116934358854,-6.745557206310325,-6.745557206310325,0.562129767192527,0.562129767192527,0.009066449193012853,0.009066449193012853,5.615713719365196
1,1,1.8535780182547474,0.9515557664098878,2.9887245128378623,0.06321240816199336,2.4479077721190645,1.2038058447205566,0.7682084069540877,2.0736200995687084,-7.443083176556509,-7.443083176556509,0.620256931379709,0.620256931379709,0.03488548141370651,0.03488548141370651,5.69055854789395
2,2,3.040060754557774,0.7132505461883821,2.1070465316536646,2.0038903115959723,0.5744622037017604,2.892886498346239,3.0476244822342844,0.9182182664976448,-5.668080371953858,-7.443083176556509,0.4723400309961548,0.620256931379709,0.002686892451312985,0.03488548141370651,6.29909153183776
3,3,1.8112637829550078,1.5721294750404944,3.0898320169726246,1.4192954525385633,0.0666252083453669,0.22784835200222253,0.08876707829789354,1.851859256545485,-8.019255804196467,-8.019255804196467,0.6682713170163722,0.6682713170163722,0.02794825967690885,0.03488548141370651,5.313955614807398
4,4,2.728261849297234,0.20666131519148934,2.2684828684277702,2.767670009856146,2.3808228299595564,2.176117254038334,0.04427591256142227,0.7096367008162294,-5.6215552178248895,-8.019255804196467,0.4684629348187408,0.6682713170163722,0.0012721458921660918,0.03488548141370651,6.939766430612469
5,5,2.763442748960597,0.31203374712888166,1.2561174094760832,2.9343428769664732,1.6463061325573256,0.6971774736945547,1.6826247931296086,1.955603311204581,-6.679496466696013,-8.019255804196467,0.556624705558001,0.6682713170163722,0.019629459079369936,0.03488548141370651,5.954038537185191
6,6,0.7615457953308028,2.5511593306319984,1.102004876656374,1.3572763008410793,1.1269246727510176,0.4019357126521377,2.07701958039763,2.477812401917255,-6.983247287726599,-8.019255804196467,0.5819372739772166,0.6682713170163722,0.004014557496996467,0.03488548141370651,4.482835919506677
7,7,2.5579761582281226,1.2633574846378475,2.4066594758874165,0.1848409505089026,2.6441517363087073,3.0737064854445477,0.6919303145848993,2.414393482751838,-6.075468639541393,-8.019255804196467,0.5062890532951161,0.6682713170163722,0.00013045472240131114,0.03488548141370651,4.721824846745768
8,8,1.9587526342236512,1.1388626702667999,0.9845822203537045,2.7207935737920605,1.5114330512441139,0.9355346375845465,1.7673116946235536,0.892003644892983,-7.336827717536841,-8.019255804196467,0.6114023097947368,0.6682713170163722,0.005752547552765663,0.03488548141370651,4.49518618745779
9,9,0.2224074834548968,0.6051266821561413,2.4333624014179702,2.826468422964582,2.1182808653546696,1.0402193724981132,2.6878663376182477,0.05416387558944891,-6.266839396761295,-8.019255804196467,0.5222366163967745,0.6682713170163722,0.0008032017360690388,0.03488548141370651,3.9731823434357167
