,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.27418812807629844,1.4799497685851222,2.5328506515315823,0.27820980330446526,0.7752970970696991,2.8059034154889013,1.5088149441330014,0.606257359007923,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.72900543964683,-7.72900543964683,0.6440837866372359,0.6440837866372359,0.013159480261414194,0.013159480261414194,5.094613594423421
1,1,0.27418814297745964,1.4799497685851222,2.5328506515315823,0.27820980330446526,0.7752970970696991,2.8059034154889013,1.5088149441330014,0.606257359007923,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.729005430374449,-7.72900543964683,0.6440837858645374,0.6440837866372359,0.013159481415781197,0.013159481415781197,5.094613646315288
2,2,0.27418812807629844,1.4799497834862834,2.5328506515315823,0.27820980330446526,0.7752970970696991,2.8059034154889013,1.5088149441330014,0.606257359007923,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.7290054473394605,-7.7290054473394605,0.6440837872782884,0.6440837872782884,0.013159480147345904,0.013159481415781197,5.094613630355042
3,3,0.27418812807629844,1.4799497685851222,2.5328506664327435,0.27820980330446526,0.7752970970696991,2.8059034154889013,1.5088149441330014,0.606257359007923,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.7290054329235085,-7.7290054473394605,0.644083786076959,0.6440837872782884,0.013159481237209454,0.013159481415781197,5.094613653934893
4,4,0.27418812807629844,1.4799497685851222,2.5328506515315823,0.27820981820562646,0.7752970970696991,2.8059034154889013,1.5088149441330014,0.606257359007923,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.72900544978039,-7.72900544978039,0.6440837874816991,0.6440837874816991,0.013159479923749391,0.013159481415781197,5.094613597581024
5,5,0.27418812807629844,1.4799497685851222,2.5328506515315823,0.27820980330446526,0.7752971119708603,2.8059034154889013,1.5088149441330014,0.606257359007923,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.729005443224127,-7.72900544978039,0.6440837869353438,0.6440837874816991,0.013159481090320602,0.013159481415781197,5.094613637307788
6,6,0.27418812807629844,1.4799497685851222,2.5328506515315823,0.27820980330446526,0.7752970970696991,2.8059034303900625,1.5088149441330014,0.606257359007923,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.729005432243297,-7.72900544978039,0.6440837860202747,0.6440837874816991,0.013159482519104369,0.013159482519104369,5.094613680819364
7,7,0.27418812807629844,1.4799497685851222,2.5328506515315823,0.27820980330446526,0.7752970970696991,2.8059034154889013,1.5088149590341626,0.606257359007923,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.729005448720156,-7.72900544978039,0.6440837873933464,0.6440837874816991,0.013159481323069593,0.013159482519104369,5.094613600191785
8,8,0.27418812807629844,1.4799497685851222,2.5328506515315823,0.27820980330446526,0.7752970970696991,2.8059034154889013,1.5088149441330014,0.6062573739090842,0.8024314607795537,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.7290054336932466,-7.72900544978039,0.6440837861411038,0.6440837874816991,0.013159479332580139,0.013159482519104369,5.094613600745653
9,9,0.27418812807629844,1.4799497685851222,2.5328506515315823,0.27820980330446526,0.7752970970696991,2.8059034154889013,1.5088149441330014,0.606257359007923,0.8024314756807149,2.397335987614311,3.0117575701660266,2.397267955774577,1.0121319663025445,2.488910514324856,-7.7290054509270485,-7.7290054509270485,0.644083787577254,0.644083787577254,0.013159479451534754,0.013159482519104369,5.094613591274602
