,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,noise_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,0.15462811240963406,1.1551386080260344,2.3996972971894475,1.4585191948040814,2.5192058405216153,2.943439164108853,-8.505558731434334,-8.505558731434334,0.7087965609528611,0.7087965609528611,0.0089500123697035,0.0089500123697035,1.730952165134397,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,1.36462554010413,2.0987837442290345,0.7365552808022173,2.1636049189337334,1.5595968385092733,1.3095510292136958,-7.0317469765061755,-8.505558731434334,0.585978914708848,0.7087965609528611,0.0018844598504065713,0.0089500123697035,5.255613964327885,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,0.6335327267917056,0.6429676653457913,1.9431311974977075,1.0167409742614515,0.9344200066113225,2.137153329300873,-7.609189153484075,-8.505558731434334,0.6340990961236729,0.7087965609528611,0.005382813667995931,0.0089500123697035,3.9403317821964237,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,2.2491308261842127,2.692993630741354,2.945095256435022,0.9111839298989628,2.456921178204989,0.16743521111826642,-6.612203292035128,-8.505558731434334,0.5510169410029273,0.7087965609528611,0.00034086094729155825,0.0089500123697035,2.6450285234495823,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,2.5905993929684326,0.4672572452067027,1.5423258399087054,1.6177013961419824,0.2794237838359027,1.751272691801951,-4.862046193288866,-8.505558731434334,0.4051705161074055,0.7087965609528611,0.00011380092773809303,0.0089500123697035,6.293149380073068,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,0.7657004460967658,1.4758517030847536,1.1317195259674575,2.2375129745250684,1.1204202587539211,2.659563158631733,-7.170822432603165,-8.505558731434334,0.5975685360502637,0.7087965609528611,0.01499290283862509,0.01499290283862509,4.943304655607278,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,1.8981971875895804,1.8025289158968643,0.04294742746961768,2.7151149789740914,2.1043963217390798,0.6734939193745016,-6.800637679223844,-8.505558731434334,0.5667198066019871,0.7087965609528611,0.027916955777899148,0.027916955777899148,6.276211395291632,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,3.121081740049337,0.05175818406176077,2.5692102889563504,0.04297102301415447,0.6176049887497684,2.440489938317564,-7.072808136355736,-8.505558731434334,0.5894006780296447,0.7087965609528611,0.002695717387986532,0.027916955777899148,4.261269743423014,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,1.019890524756421,2.3784704702952,1.8872917273013123,2.9246924018949896,2.891137370034175,0.9577373904171997,-7.394845337519543,-8.505558731434334,0.616237111459962,0.7087965609528611,0.001871028447734843,0.027916955777899148,4.253722159563729,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,1.8417737240723522,3.062690618737814,0.3728386658138177,0.6075676530089982,1.8030652224697044,0.4948448533787165,-7.825307404975019,-8.505558731434334,0.6521089504145849,0.7087965609528611,0.018239610200586565,0.027916955777899148,3.7584924162055486,5.180598052531986,45.38169722351792,9.999999999999997e-06,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1,0.01,2.5017310596763984,0.01,0.01,3.141592653589793,3.141592653589793,-7.540178959439229,-8.505558731434334,0.6283482466199357,0.7087965609528611,0.0041025119796376745,0.027916955777899148,3.718649497658774,24.151589544793218,50.55443501381819,0.6818201796012688,0.00012123668270526897,0.009768914227103404,102,3.270796537399292,5.875466346740723,0.2699284553527832,9.41623854637146
