,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,2.8355934332825132,3.0384779344414703,1.8608950651317429,1.6992788286171785,2.676524820892991,1.9521223360353663,-6.023471962168671,-6.023471962168671,0.5019559968473892,0.5019559968473892,0.0006334783154841961,0.0006334783154841961,4.640353507576691
1,1,2.3698847231530022,0.5603779693253739,1.6977093910492658,1.879583016402633,2.1968620287837197,2.8931018621346563,-4.994339804077091,-6.023471962168671,0.41619498367309093,0.5019559968473892,0.0017008098528883363,0.0017008098528883363,9.802060213024795
2,2,2.511696715379165,2.781675563761495,2.3932173164998294,0.18856000962269737,0.28012650821959273,0.05058104619868242,-10.093968704256625,-10.093968704256625,0.8411640586880521,0.8411640586880521,0.158938328498791,0.158938328498791,2.362690112006547
3,3,1.5445589342595385,0.2531653296849474,1.5175141478872323,1.6025307777807178,0.17844899751347443,0.6524063457778388,-7.551764250223904,-10.093968704256625,0.6293136875186587,0.8411640586880521,0.0028767197094100353,0.158938328498791,2.979940036191202
4,4,1.9555624437945598,1.4132416766462743,1.1743861061742302,1.0055560579465856,0.8842382920499078,2.909750619403005,-6.513450162693402,-10.093968704256625,0.5427875135577834,0.8411640586880521,0.0002320566045110302,0.158938328498791,3.1557146397675098
5,5,0.14329757432206214,2.7214853313820804,0.43986959395744885,2.2832670511080098,0.14131225760846844,1.278598277848904,-5.926190471320924,-10.093968704256625,0.4938492059434103,0.8411640586880521,5.274252314021731e-05,0.158938328498791,3.8898910422500492
6,6,1.8607032446794167,0.871785426877385,2.2465973119198495,0.3996153907154243,2.3801831251124472,2.187853345634062,-7.099800593336544,-10.093968704256625,0.591650049444712,0.8411640586880521,0.013352581584710449,0.158938328498791,4.37322081698516
7,7,1.0351136434424348,1.7160977781590727,0.09030924921059214,0.8785189302581886,2.796111176211397,1.0019748732282152,-6.443913160987611,-10.093968704256625,0.5369927634156343,0.8411640586880521,0.01227731324695027,0.158938328498791,5.55342283671947
8,8,0.7666867360801877,3.001140948173863,1.4513096231436189,0.782782205588953,1.7746866689703304,2.2149954936246345,-7.01177900233074,-10.093968704256625,0.584314916860895,0.8411640586880521,0.020095213113441437,0.158938328498791,5.356395096719595
9,9,1.7285499258756076,2.1046342055776135,2.81104187766325,1.3477566369679144,0.649144752035827,0.04377927563991024,-7.375346188870167,-10.093968704256625,0.6146121824058473,0.8411640586880521,0.0033552790354128554,0.158938328498791,4.736674652511972
10,10,1.4074075345534265,1.044137424012666,3.0381549573317743,1.7522246221725846,2.017271703585699,0.8654160313608611,-7.423871790829301,-10.093968704256625,0.6186559825691084,0.8411640586880521,0.02693640793707975,0.158938328498791,4.316872239006528
11,11,2.16806727948309,3.024562404423907,3.088853158819414,0.5938419021759099,0.40425384066959813,0.6879260069421679,-6.6379839401618215,-10.093968704256625,0.5531653283468184,0.8411640586880521,0.019482286085211766,0.158938328498791,5.42110336288053
12,12,0.09334987297178232,3.1351445275053393,0.07771409193205381,2.439488430530683,2.320029528876454,2.9968347906098303,-8.639964790847571,-10.093968704256625,0.7199970659039643,0.8411640586880521,0.023272773590873652,0.158938328498791,4.041043691435831
13,13,2.5260454395953325,0.5272424078668367,1.7624047456641596,1.2568910493074155,2.2737899248447593,2.4499753055416433,-7.363938613154075,-10.093968704256625,0.6136615510961729,0.8411640586880521,0.014205236064440147,0.158938328498791,5.1519324830060995
14,14,1.8174957795207338,2.3030978464242806,0.5104330161689776,0.33273867999765705,2.1158721582992253,0.3118055154689614,-7.720631218781848,-10.093968704256625,0.6433859348984873,0.8411640586880521,0.007119357613627132,0.158938328498791,4.41624815265034
15,15,2.281658764790214,1.8914871524129782,2.412792637871523,1.4968725605382494,2.141643637686146,2.0335890001362746,-4.140232818965647,-10.093968704256625,0.3450194015804706,0.8411640586880521,9.556385710195807e-05,0.158938328498791,6.826399902480336
16,16,0.8813664435584065,1.385532119477066,1.208249255383492,0.8325052768305099,1.4416628510933585,1.164133924375847,-7.376717003258989,-10.093968704256625,0.614726416938249,0.8411640586880521,0.004333313815367057,0.158938328498791,4.259512763244217
17,17,1.9993862859812621,1.6909592827551732,1.897661538053256,2.5471027679602094,0.9699276858074067,0.7826743057830353,-6.815747261289808,-10.093968704256625,0.5679789384408173,0.8411640586880521,0.00921949798726219,0.158938328498791,6.565909544061775
18,18,1.9881058010864898,1.8022600347815831,1.978924339389899,2.739095711040644,1.6417079000261166,1.8444466108780744,-6.755674810940203,-10.093968704256625,0.5629729009116836,0.8411640586880521,0.0014851983926677048,0.158938328498791,3.6698255231338806
19,19,0.28473735629258967,0.8150102691136758,0.3943667792764687,0.11755309267533232,1.4208232289456448,1.5781915770492982,-6.771178151183837,-10.093968704256625,0.5642648459319864,0.8411640586880521,0.003746792494884926,0.158938328498791,5.158601632180243
20,20,1.2856379355089864,0.7705914400407075,2.8946667315617316,0.09453799900741333,0.34899964607139444,0.4571823662092096,-6.450549358862122,-10.093968704256625,0.5375457799051768,0.8411640586880521,0.0019908335706016653,0.158938328498791,4.157208933295763
21,21,1.7113642506312858,2.749411735381189,1.9306351203595575,3.1199526467407246,2.480495538716289,0.2590062265967079,-7.5849566762485425,-10.093968704256625,0.6320797230207119,0.8411640586880521,0.009604712510843622,0.158938328498791,4.854474232117198
