,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,0.04248762409566799,1.581666785796364,1.5625600026249111,0.42909956972225305,-7.487369943155588,-7.487369943155588,0.6239474952629657,0.6239474952629657,0.0035386091376926362,0.0035386091376926362,3.4864984496641114
1,1,0.04248763899682918,1.581666785796364,1.5625600026249111,0.42909956972225305,-7.487369932127995,-7.487369943155588,0.6239474943439997,0.6239474952629657,0.0035386091075026577,0.0035386091376926362,3.4864984733939153
2,2,0.04248762409566799,1.5816668006975252,1.5625600026249111,0.42909956972225305,-7.487369943294735,-7.487369943294735,0.6239474952745613,0.6239474952745613,0.0035386091238734613,0.0035386091376926362,3.4864984490780486
3,3,0.04248762409566799,1.581666785796364,1.5625600175260723,0.42909956972225305,-7.487369932096268,-7.487369943294735,0.6239474943413557,0.6239474952745613,0.003538609111046324,0.0035386091376926362,3.4864984735345317
4,4,0.04248762409566799,1.581666785796364,1.5625600026249111,0.42909958462341424,-7.487369943411827,-7.487369943411827,0.6239474952843189,0.6239474952843189,0.0035386087431586227,0.0035386091376926362,3.486498588005631
5,5,-0.6705393263780159,1.590663837594022,0.8474816007558004,0.44566761539664546,-6.233563647329025,-7.487369943411827,0.5194636372774187,0.6239474952843189,0.0004631283660145321,0.0035386091376926362,4.2111238087993925
6,6,-0.6705393114768547,1.590663837594022,0.8474816007558004,0.44566761539664546,-6.23356353549696,-7.487369943411827,0.51946362795808,0.6239474952843189,0.00046312827603178027,0.0035386091376926362,4.211123853372968
7,7,-0.6705393263780159,1.5906638524951833,0.8474816007558004,0.44566761539664546,-6.233563712974077,-7.487369943411827,0.5194636427478397,0.6239474952843189,0.0004631282698056059,0.0035386091376926362,4.21112357534723
8,8,-0.6705393263780159,1.590663837594022,0.8474816156569616,0.44566761539664546,-6.233563538214792,-7.487369943411827,0.519463628184566,0.6239474952843189,0.00046312827463006694,0.0035386091376926362,4.2111238457701035
9,9,-0.6705393263780159,1.590663837594022,0.8474816007558004,0.44566763029780665,-6.233563646123237,-7.487369943411827,0.5194636371769364,0.6239474952843189,0.0004631283832496056,0.0035386091376926362,4.211123825540334
10,10,0.01858394632978484,1.5819684050084728,1.5385875515355567,0.4296550006561722,-7.498018333457827,-7.498018333457827,0.6248348611214856,0.6248348611214856,0.003555181364942151,0.003555181364942151,3.468736984471107
11,11,0.018583961230946033,1.5819684050084728,1.5385875515355567,0.4296550006561722,-7.498018337901017,-7.498018337901017,0.6248348614917514,0.6248348614917514,0.003555181371933929,0.003555181371933929,3.4687369747851733
12,12,0.01858394632978484,1.581968419909634,1.5385875515355567,0.4296550006561722,-7.49801833349064,-7.498018337901017,0.6248348611242199,0.6248348614917514,0.0035551813587961865,0.003555181371933929,3.4687369843078955
13,13,0.01858394632978484,1.5819684050084728,1.538587566436718,0.4296550006561722,-7.498018337878001,-7.498018337901017,0.6248348614898335,0.6248348614917514,0.0035551813756242254,0.0035551813756242254,3.468736974889154
14,14,0.01858394632978484,1.5819684050084728,1.5385875515355567,0.4296550155573334,-7.498018333611059,-7.498018337901017,0.6248348611342549,0.6248348614917514,0.003555180965388066,0.0035551813756242254,3.4687371225402472
15,15,0.026337174208255917,1.5861279499589602,1.5446482623802777,0.4417604098529556,-7.50034422433777,-7.50034422433777,0.6250286853614808,0.6250286853614808,0.0032168866532626974,0.0035551813756242254,3.576026760386327
16,16,0.02633718910941711,1.5861279499589602,1.5446482623802777,0.4417604098529556,-7.50034422448324,-7.50034422448324,0.6250286853736033,0.6250286853736033,0.003216886648611471,0.0035551813756242254,3.576026760257278
17,17,0.026337174208255917,1.5861279648601214,1.5446482623802777,0.4417604098529556,-7.50034422465855,-7.50034422465855,0.6250286853882124,0.6250286853882124,0.0032168866454347963,0.0035551813756242254,3.576026760010329
18,18,0.026337174208255917,1.5861279499589602,1.544648277281439,0.4417604098529556,-7.500344224296601,-7.50034422465855,0.6250286853580501,0.6250286853882124,0.0032168866531759595,0.0035551813756242254,3.5760267604734324
19,19,0.026337174208255917,1.5861279499589602,1.5446482623802777,0.4417604247541168,-7.500344224658988,-7.500344224658988,0.6250286853882491,0.6250286853882491,0.0032168862198227546,0.0035551813756242254,3.5760268975731933
20,20,0.03568272734521368,1.6111445561212479,1.5396547693151994,0.4690351580218008,-7.502876351533929,-7.502876351533929,0.6252396959611607,0.6252396959611607,0.0023598263656536013,0.0035551813756242254,3.822036144671891
21,21,0.035682742246374875,1.6111445561212479,1.5396547693151994,0.4690351580218008,-7.502876351423906,-7.502876351533929,0.6252396959519921,0.6252396959611607,0.002359826354039173,0.0035551813756242254,3.8220361467386326
22,22,0.03568272734521368,1.611144571022409,1.5396547693151994,0.4690351580218008,-7.502876352622024,-7.502876352622024,0.6252396960518353,0.6252396960518353,0.002359826357408362,0.0035551813756242254,3.822036143888795
23,23,0.03568272734521368,1.6111445561212479,1.5396547842163606,0.4690351580218008,-7.502876350201693,-7.502876352622024,0.625239695850141,0.6252396960518353,0.002359826363487774,0.0035551813756242254,3.8220361475835176
24,24,0.03568272734521368,1.6111445561212479,1.5396547693151994,0.469035172922962,-7.502876352532089,-7.502876352622024,0.6252396960443408,0.6252396960518353,0.002359825891652608,0.0035551813756242254,3.8220362763904703
25,25,0.07306493989304474,1.7112109807703983,1.519680797054886,0.5781341506971815,-7.5480437150476645,-7.5480437150476645,0.6290036429206387,0.6290036429206387,5.83352915789837e-06,0.0035551813756242254,4.582991718029092
26,26,0.07306495479420594,1.7112109807703983,1.519680797054886,0.5781341506971815,-7.548043721022723,-7.548043721022723,0.6290036434185603,0.6290036434185603,5.8335308085268054e-06,0.0035551813756242254,4.5829917191012655
27,27,0.07306493989304474,1.7112109956715595,1.519680797054886,0.5781341506971815,-7.548043719751236,-7.548043721022723,0.6290036433126031,0.6290036434185603,5.833529675842716e-06,0.0035551813756242254,4.582991714317274
28,28,0.07306493989304474,1.7112109807703983,1.5196808119560472,0.5781341506971815,-7.548043711673914,-7.548043721022723,0.6290036426394928,0.6290036434185603,5.833529526336338e-06,0.0035551813756242254,4.582991725544929
29,29,0.07306493989304474,1.7112109807703983,1.519680797054886,0.5781341655983427,-7.548043717557174,-7.548043721022723,0.6290036431297645,0.6290036434185603,5.833569088423322e-06,0.0035551813756242254,4.5829917906239075
30,30,0.22259379008436897,2.1114766793670006,1.4397849080136322,1.0145301213987044,-6.953461235493036,-7.548043721022723,0.5794551029577529,0.6290036434185603,0.005357414226701255,0.005357414226701255,4.818835297334985
31,31,0.22259380498553016,2.1114766793670006,1.4397849080136322,1.0145301213987044,-6.95346120634951,-7.548043721022723,0.5794551005291259,0.6290036434185603,0.00535741332889065,0.005357414226701255,4.818835294077765
32,32,0.22259379008436897,2.1114766942681618,1.4397849080136322,1.0145301213987044,-6.9534612418357105,-7.548043721022723,0.5794551034863092,0.6290036434185603,0.005357413963234126,0.005357414226701255,4.818835309217405
33,33,0.22259379008436897,2.1114766793670006,1.4397849229147934,1.0145301213987044,-6.953461222489077,-7.548043721022723,0.5794551018740898,0.6290036434185603,0.0053574148808357355,0.0053574148808357355,4.818835315872946
34,34,0.22259379008436897,2.1114766793670006,1.4397849080136322,1.0145301362998655,-6.953461200505527,-7.548043721022723,0.5794551000421272,0.6290036434185603,0.005357413820136675,0.0053574148808357355,4.818835364044688
35,35,0.09045844954116819,1.7577707268090048,1.510387139576036,0.628896645808239,-7.581115373632012,-7.581115373632012,0.6317596144693344,0.6317596144693344,0.0010956382487915615,0.0053574148808357355,4.749710333475456
36,36,0.09045846444232938,1.7577707268090048,1.510387139576036,0.628896645808239,-7.581115383921702,-7.581115383921702,0.6317596153268085,0.6317596153268085,0.0010956382666331308,0.0053574148808357355,4.749710328597963
37,37,0.09045844954116819,1.757770741710166,1.510387139576036,0.628896645808239,-7.581115378779494,-7.581115383921702,0.6317596148982911,0.6317596153268085,0.001095638255299442,0.0053574148808357355,4.749710329256963
38,38,0.09045844954116819,1.7577707268090048,1.5103871544771972,0.628896645808239,-7.581115371899449,-7.581115383921702,0.6317596143249541,0.6317596153268085,0.0010956382482146187,0.0053574148808357355,4.749710337412694
39,39,0.09045844954116819,1.7577707268090048,1.510387139576036,0.6288966607094002,-7.581115374338911,-7.581115383921702,0.6317596145282426,0.6317596153268085,0.0010956388516784959,0.0053574148808357355,4.749710369773673
40,40,0.11975815727794056,1.8362015311048296,1.494731791492485,0.714407063247412,-7.610378471296309,-7.610378471296309,0.6341982059413591,0.6341982059413591,0.007181399998003105,0.007181399998003105,4.772517220246208
41,41,0.11975817217910176,1.8362015311048296,1.494731791492485,0.714407063247412,-7.610378486088647,-7.610378486088647,0.634198207174054,0.634198207174054,0.007181400010109787,0.007181400010109787,4.77251720592659
42,42,0.11975815727794056,1.8362015460059908,1.494731791492485,0.714407063247412,-7.6103784735041815,-7.610378486088647,0.6341982061253485,0.634198207174054,0.007181399982753205,0.007181400010109787,4.772517220403643
43,43,0.11975815727794056,1.8362015311048296,1.4947318063936461,0.714407063247412,-7.6103784755548345,-7.610378486088647,0.6341982062962362,0.634198207174054,0.007181400022148973,0.007181400022148973,4.772517211908145
44,44,0.11975815727794056,1.8362015311048296,1.494731791492485,0.7144070781485732,-7.610378463664588,-7.610378486088647,0.6341982053053824,0.634198207174054,0.0071814014004695104,0.0071814014004695104,4.772517207142343
45,45,0.11611182978818844,1.8264408740936229,1.4966800882670308,0.7037653534880578,-7.610579557780533,-7.610579557780533,0.6342149631483778,0.6342149631483778,0.006206392193571362,0.0071814014004695104,4.782888257695859
46,46,0.11611184468934964,1.8264408740936229,1.4966800882670308,0.7037653534880578,-7.6105795723612575,-7.6105795723612575,0.6342149643634382,0.6342149643634382,0.006206392210769586,0.0071814014004695104,4.782888244105955
47,47,0.11611182978818844,1.826440888994784,1.4966800882670308,0.7037653534880578,-7.610579560613919,-7.6105795723612575,0.6342149633844932,0.6342149643634382,0.006206392185646444,0.0071814014004695104,4.7828882569282385
48,48,0.11611182978818844,1.8264408740936229,1.496680103168192,0.7037653534880578,-7.610579561167538,-7.6105795723612575,0.6342149634306281,0.6342149643634382,0.006206392209112198,0.0071814014004695104,4.78288825101788
49,49,0.11611182978818844,1.8264408740936229,1.4966800882670308,0.703765368389219,-7.610579551528832,-7.6105795723612575,0.6342149626274026,0.6342149643634382,0.006206393536920107,0.0071814014004695104,4.782888249237779
50,50,0.11744293832241537,1.8300040465963106,1.4959688536148792,0.7076501583277912,-7.610674386804177,-7.610674386804177,0.6342228655670147,0.6342228655670147,0.006558186663548485,0.0071814014004695104,4.779414409552366
51,51,0.11744295322357656,1.8300040465963106,1.4959688536148792,0.7076501583277912,-7.610674401476561,-7.610674401476561,0.6342228667897134,0.6342228667897134,0.006558186679078408,0.0071814014004695104,4.779414395674152
52,52,0.11744293832241537,1.8300040614974717,1.4959688536148792,0.7076501583277912,-7.610674389417006,-7.610674401476561,0.6342228657847505,0.6342228667897134,0.006558186653165664,0.0071814014004695104,4.779414409111901
53,53,0.11744293832241537,1.8300040465963106,1.4959688685160404,0.7076501583277912,-7.610674390508045,-7.610674401476561,0.6342228658756704,0.6342228667897134,0.006558186681942257,0.0071814014004695104,4.779414402263704
54,54,0.11744293832241537,1.8300040465963106,1.4959688536148792,0.7076501732289524,-7.610674380058527,-7.610674401476561,0.6342228650048772,0.6342228667897134,0.0065581880303735894,0.0071814014004695104,4.779414399337888
55,55,1.974877935080538,6.444398402710972,0.43726255849554074,5.461431014380011,-7.784199758152637,-7.784199758152637,0.6486833131793864,0.6486833131793864,0.03763552033484916,0.03763552033484916,5.512779088873366
56,56,1.9748779499816993,6.444398402710972,0.43726255849554074,5.461431014380011,-7.784199798449501,-7.784199798449501,0.6486833165374585,0.6486833165374585,0.03763552102264388,0.03763552102264388,5.512779046864011
57,57,1.974877935080538,6.444398417612133,0.43726255849554074,5.461431014380011,-7.784199933526832,-7.784199933526832,0.6486833277939027,0.6486833277939027,0.03763552498282246,0.03763552498282246,5.512778892070628
58,58,1.974877935080538,6.444398402710972,0.43726257339670194,5.461431014380011,-7.784199784964216,-7.784199933526832,0.6486833154136847,0.6486833277939027,0.03763552048550524,0.03763552498282246,5.5127790374232575
59,59,1.974877935080538,6.444398402710972,0.43726255849554074,5.461431029281172,-7.784199915834116,-7.784199933526832,0.6486833263195096,0.6486833277939027,0.03763552422912291,0.03763552498282246,5.512778928743018
60,60,9.40461792211303,24.90197582716962,-3.7975626219818133,24.476554438588888,-4.750494969923328,-7.784199933526832,0.395874580826944,0.6486833277939027,0.001621771594472785,0.03763552498282246,6.374888416961927
61,61,9.40461793701419,24.90197582716962,-3.7975626219818133,24.476554438588888,-4.750494981880085,-7.784199933526832,0.3958745818233404,0.6486833277939027,0.0016217716547586459,0.03763552498282246,6.37488843012445
62,62,9.40461792211303,24.90197584207078,-3.7975626219818133,24.476554438588888,-4.7504949694315215,-7.784199933526832,0.3958745807859601,0.6486833277939027,0.0016217715966198713,0.03763552498282246,6.37488842152402
63,63,9.40461792211303,24.90197582716962,-3.797562607080652,24.476554438588888,-4.750494980493197,-7.784199933526832,0.3958745817077664,0.6486833277939027,0.0016217716051344316,0.03763552498282246,6.3748883794261
64,64,9.40461792211303,24.90197582716962,-3.7975626219818133,24.47655445349005,-4.750494846096694,-7.784199933526832,0.3958745705080578,0.6486833277939027,0.0016217712024074347,0.03763552498282246,6.37488831058177
65,65,4.88570373888262,13.675713729567786,-1.2218585455321858,12.911181883491626,-7.768186757713581,-7.784199933526832,0.6473488964761317,0.6486833277939027,0.0070020095463893504,0.03763552498282246,4.448600598313682
66,66,4.8857037537837815,13.675713729567786,-1.2218585455321858,12.911181883491626,-7.768186760201559,-7.784199933526832,0.6473488966834632,0.6486833277939027,0.007002008867946129,0.03763552498282246,4.448600548757504
67,67,4.88570373888262,13.675713744468947,-1.2218585455321858,12.911181883491626,-7.768186809766214,-7.784199933526832,0.6473489008138512,0.6486833277939027,0.007002009160809923,0.03763552498282246,4.448600627696393
68,68,4.88570373888262,13.675713729567786,-1.2218585306310246,12.911181883491626,-7.768186729758615,-7.784199933526832,0.6473488941465513,0.6486833277939027,0.007002009900870989,0.03763552498282246,4.448600654179685
69,69,4.88570373888262,13.675713729567786,-1.2218585455321858,12.911181898392787,-7.7681867661316275,-7.784199933526832,0.6473488971776357,0.6486833277939027,0.007002008660452232,0.03763552498282246,4.448600565943302
70,70,2.8549675332369646,8.630790110467231,-0.06437351461791962,7.713866814625419,-6.267265884731756,-7.784199933526832,0.5222721570609797,0.6486833277939027,0.0019092655287913664,0.03763552498282246,5.10615828836481
71,71,2.854967548138126,8.630790110467231,-0.06437351461791962,7.713866814625419,-6.267265968617867,-7.784199933526832,0.5222721640514889,0.6486833277939027,0.0019092655795831253,0.03763552498282246,5.106158208850026
72,72,2.8549675332369646,8.630790125368392,-0.06437351461791962,7.713866814625419,-6.267265971553949,-7.784199933526832,0.5222721642961624,0.6486833277939027,0.001909265830706752,0.03763552498282246,5.106158302767035
73,73,2.8549675332369646,8.630790110467231,-0.06437349971675843,7.713866814625419,-6.267265821058572,-7.784199933526832,0.5222721517548811,0.6486833277939027,0.001909265373138097,0.03763552498282246,5.106158308489817
74,74,2.8549675332369646,8.630790110467231,-0.06437351461791962,7.71386682952658,-6.267265947323648,-7.784199933526832,0.5222721622769707,0.6486833277939027,0.001909265765892447,0.03763552498282246,5.106158308556687
75,75,2.1872709367744405,6.972042745584425,0.3162021669743893,6.005013851558253,-5.11434494773366,-7.784199933526832,0.4261954123111384,0.6486833277939027,0.0009141397867761567,0.03763552498282246,6.4170065073533245
76,76,2.1872709516756017,6.972042745584425,0.3162021669743893,6.005013851558253,-5.114344844897076,-7.784199933526832,0.426195403741423,0.6486833277939027,0.0009141396617149991,0.03763552498282246,6.417006521243639
77,77,2.1872709367744405,6.972042760485587,0.3162021669743893,6.005013851558253,-5.1143448988871825,-7.784199933526832,0.42619540824059854,0.6486833277939027,0.0009141396586096597,0.03763552498282246,6.417006549270184
78,78,2.1872709367744405,6.972042745584425,0.3162021818755505,6.005013851558253,-5.1143449833394765,-7.784199933526832,0.4261954152782897,0.6486833277939027,0.0009141398701849303,0.03763552498282246,6.417006523681319
79,79,2.1872709367744405,6.972042745584425,0.3162021669743893,6.005013866459414,-5.114344891481011,-7.784199933526832,0.42619540762341757,0.6486833277939027,0.0009141396164720388,0.03763552498282246,6.417006560439898
80,80,2.034272565357419,6.591951478437178,0.4034086313970584,5.613441209544489,-10.163983608260398,-10.163983608260398,0.8469986340216998,0.8469986340216998,0.11850769991240231,0.11850769991240231,2.389624820306338
81,81,2.0342725802585804,6.591951478437178,0.4034086313970584,5.613441209544489,-10.163983653992787,-10.163983653992787,0.8469986378327322,0.8469986378327322,0.11850770109693973,0.11850770109693973,2.3896246919341735
82,82,2.034272565357419,6.591951493338339,0.4034086313970584,5.613441209544489,-10.163983637300483,-10.163983653992787,0.8469986364417069,0.8469986378327322,0.118507701803759,0.118507701803759,2.389624825769758
83,83,2.034272565357419,6.591951478437178,0.4034086462982196,5.613441209544489,-10.163983623503313,-10.163983653992787,0.8469986352919427,0.8469986378327322,0.11850770098103595,0.118507701803759,2.389624794817891
