,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,1.0603607567407105,1.9594772805821654,1.3820804712359054,2.314482998149741,1.6322790221089254,1.8227493399355046,2.030989277263378,3.1109790536392965,-7.3059372144685515,-7.3059372144685515,0.6088281012057126,0.6088281012057126,0.00919137795367356,0.00919137795367356,5.3532444341972365
1,1,3.106053514645243,1.9846045446844267,1.4072077346296477,2.33961027090265,1.6574062926025557,0.7368494406028552,2.0561165434570476,3.1361063194723293,-7.424893353733588,-7.424893353733588,0.6187411128111323,0.6187411128111323,0.004226042454150647,0.00919137795367356,3.9453698300367677
2,2,0.7314358280027824,0.9246942076800304,0.34729739762525136,3.096585229029099,2.4143812507290043,2.8085317584565797,2.8130915015834965,0.7614886240089851,-5.0541906777211745,-7.424893353733588,0.42118255647676456,0.6187411128111323,0.0006266468504574555,0.00919137795367356,7.03957916950548
3,3,0.04678632131955162,0.24004469624897973,2.794240539783994,2.048863253505301,1.7297317366971685,1.7608097837728975,1.7653695260596989,2.845359301973005,-7.4918192924317015,-7.4918192924317015,0.6243182743693084,0.6243182743693084,0.022385545176524038,0.022385545176524038,6.586598977140987
4,4,1.4104233824504642,2.6088648432075416,2.031468033254738,1.2860907459860995,3.093368797828081,3.1244468458784844,3.1290065863026406,2.0825867945557786,-7.511371084530674,-7.511371084530674,0.6259475903775561,0.6259475903775561,0.019985107859649427,0.022385545176524038,5.38427917843709
5,5,0.051981431955798955,1.646552217575657,1.069155407520878,0.3237781202522394,1.7349268473334158,1.7660048953838194,1.7705646358079756,0.7241448439307059,-6.9394678264182375,-7.511371084530674,0.5782889855348531,0.6259475903775561,0.0026995655613180837,0.022385545176524038,5.692604675499872
6,6,2.1560489271889356,3.0363097365532887,0.04163024930524294,1.7135356392298713,0.7074016889767594,0.02416975318005598,0.028729493604212168,2.8282123391638425,-8.582172371106143,-8.582172371106143,0.7151810309255119,0.7151810309255119,0.014766191624353959,0.022385545176524038,2.986582840736048
7,7,0.3162211205703207,2.318384141633281,1.3333950961744458,3.0053004870927005,3.121068754103499,2.4378368191984467,2.442396559622603,2.1102867433521837,-7.294485537810892,-8.582172371106143,0.6078737948175743,0.7151810309255119,0.03719451524495535,0.03719451524495535,6.364612104214771
8,8,1.3088460930662704,0.17941646223305363,2.3260200687723707,3.043915951156759,0.02809156627138009,0.2988691399001946,0.3034288803243508,3.1029117175417493,-8.457660680168305,-8.582172371106143,0.704805056680692,0.7151810309255119,0.01804871859105571,0.03719451524495535,2.9985254823571523
9,9,2.063340913144149,0.17941646223305363,2.3260200687723707,3.043915951156759,0.02809156627138009,0.2988691399001946,0.3034288803243508,3.1029117175417493,-6.340573062266739,-8.582172371106143,0.5283810885222283,0.7151810309255119,0.001288902674596374,0.03719451524495535,6.050049556558697
10,10,2.063340913144149,2.4349910538660975,2.3260200687723707,3.043915951156759,0.02809156627138009,0.2988691399001946,0.3034288803243508,3.1029117175417493,-7.742761989007387,-8.582172371106143,0.6452301657506155,0.7151810309255119,0.02801044689777497,0.03719451524495535,4.858489586282637
