,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
0,0,2.333827809337234,2.0777814961394174,1.5223320482243892,1.436944797061435,0.12918695831637228,0.6251041463196025,1.1591080159129046,1.5859123901166885,-7.200551387948282,-7.200551387948282,0.6000459489956902,0.6000459489956902,0.011746824204324338,0.011746824204324338,5.031943428534213
1,1,3.0034870528822775,0.27390913085864255,2.575057682272837,0.7791245991451442,0.21833320568300563,0.6714610029016836,0.047269144912762684,0.5112388014217257,-9.708241263960241,-9.708241263960241,0.8090201053300201,0.8090201053300201,0.06411615482766353,0.06411615482766353,2.708183733761018
2,2,2.1569576099836656,0.5783084647467279,2.2572448621211914,0.7515214539449442,3.0251707135052364,2.573315855184081,2.5503626791177383,0.03861573466597368,-4.650459528382962,-9.708241263960241,0.3875382940319135,0.8090201053300201,0.0002748959735035488,0.06411615482766353,6.674550205764838
3,3,0.22555129990191447,1.0920751898501575,1.5384775717025463,2.8407871547628085,0.44433393164148005,2.2133556559821885,2.1735696957355564,0.06745802427052028,-6.79660978118906,-9.708241263960241,0.5663841484324217,0.8090201053300201,0.0033535403687775774,0.06411615482766353,4.600701674218435
4,4,0.4496002706801898,2.9517122767774895,2.0959795787789623,2.00763240804745,0.06794245505651642,1.263126585391103,1.6620695423209362,1.1356621163155758,-5.982962589447059,-9.708241263960241,0.4985802157872549,0.8090201053300201,0.0010562965767373813,0.06411615482766353,5.132603589517679
5,5,0.5430327513183677,1.4176817569120101,1.014797776275984,2.1153396673075826,2.7405481350389596,2.5380172858887162,1.6390598826090175,0.10657707384491788,-8.564815900380415,-9.708241263960241,0.7137346583650346,0.8090201053300201,0.11444345481740956,0.11444345481740956,4.9980901652423455
6,6,0.48905890749441716,0.6976194997282581,1.2290557397462596,0.8302055735398868,1.767609126820383,0.6510207347875062,1.7089607613301132,1.549660661525807,-7.429033976252055,-9.708241263960241,0.6190861646876712,0.8090201053300201,0.02519675615603157,0.11444345481740956,4.921599640910976
7,7,2.914566890037894,2.7293295572788594,0.24048566032730223,2.4367059910515607,1.3695953039344024,2.3039260692019212,1.9425253945756882,2.5829675708260074,-7.514235695488171,-9.708241263960241,0.6261863079573476,0.8090201053300201,0.043233593311445453,0.11444345481740956,5.222304358091712
8,8,0.8496739139609051,0.2288693562611417,1.1541044879095501,1.9041768151446852,1.9522355866687149,1.7183701664109923,1.1566303828144107,0.36202405692398676,-6.443637406285203,-9.708241263960241,0.5369697838571003,0.8090201053300201,0.002768476819004562,0.11444345481740956,4.573601564625356
9,9,2.7209491608689014,2.622202116530236,1.5959162347815408,2.395590785691421,2.802386991151675,2.9608711344344734,2.1360713373523024,3.0606499598058168,-6.895950287732554,-9.708241263960241,0.5746625239777129,0.8090201053300201,6.564488093510444e-05,0.11444345481740956,5.047678742022583
